In Millions of USD except Per Share,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
  Field Services,,2658,0.492861116261821,2872,0.53732460243218,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Natural Gas Transmission,,1191,0.22084183200445,764,0.142937324602432,869,0.281959766385464,1231,0.405200789993417,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Crescent,,64,0.011867235305025,112,0.0209541627689429,105,0.0340687865022712,214,0.0704410796576695,71,0.0432136335970785,85,0.0288526816021724,66,0.0199576655579075,-1,-0.000352485019386676,0,,0,,0,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,-65,,-71,,-54,,-371,,-23,,-43,,-28,,-15,,-25,,-50,,-27,,—,,-24,,-23,,-23,,-27,,-24,,-23,,—,,-30,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,5328,1.0,5274,1.0,3028,1.0,2667,1.0,1620,1.0,2903,1.0,3279,1.0,2805,1.0,3035,1.0,2966,1.0,3688,1.0,3031,1.0,3337,1.0,3229,1.0,3508,1.0,3133,1.0,3312,1.0,2913,1.0,3921,1.0,3110,1.0,3594,1.0,3287,1.0,3946,1.0,3445,1.0,3663,1.0,3534,1.0,3964,1.0,3368,1.0,3630,1.0,3577,1.0,6722,1.0,5695,1.0,5898,1.0,5879,1.0,6217,1.0,4270,1.0,6263,1.0,5708,1.0
  Regulated Electric,,1259,0.236298798798799,1226,0.232461130072052,1614,0.533025099075297,1307,0.490063742032246,1286,0.793827160493827,2027,0.698243196693076,2403,0.73284537968893,1962,0.699465240641711,2052,0.676112026359143,2128,0.717464598786244,2682,0.727223427331887,2114,0.697459584295612,2233,0.669163919688343,2279,0.70579126664602,2603,0.742018244013683,2210,0.705394190871369,2556,0.679064824654623,2398,0.722071665161096,2784,0.710022953328233,2227,0.658291457286432,2637,0.651593773165308,2539,0.707045391255918,3091,0.686278863232682,2500,0.660851176315094,2583,0.632778049975502,2588,0.659867414584396,3028,0.761569416498994,2500,0.660851176315094,2513,0.61547881459711,2637,0.673219300485065,3044,0.76023976023976,4411,0.735902569235903,2786,0.688921859545005,2630,0.646986469864699,3045,0.690006798096533,2787,0.654994124559342,3184,0.90531703156099,2810,0.840562369129524
    Electric Unilities & Infrastracture,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1353,0.359458023379384,1290,0.38843721770551,1544,0.393777097679163,1308,0.386639077741649,1545,0.381764269829503,1513,0.421331105541632,1877,0.416740674955595,1489,0.39360296061327,1552,0.380205781479667,1607,0.409739928607853,1868,0.469818913480885,1489,0.39360296061327,1501,0.367621846681362,1616,0.412560633137605,1939,0.484265734265734,1609,0.268435101768435,1729,0.427546983184965,1591,0.391389913899139,1919,0.434851574892363,1715,0.403055229142186,2000,0.568666477111174,1755,0.524977565061322
    Gas Utilities & Infrastructure,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,613,0.162858660998937,550,0.165612767238784,622,0.158633001785259,470,0.138929943836831,610,0.15072893501359,579,0.161236424394319,694,0.154085257548845,637,0.168384879725086,659,0.161440470357668,620,0.1580826109128,718,0.180583501006036,637,0.168384879725086,688,0.168503551310311,685,0.174878733724789,718,0.179320679320679,626,0.104437771104438,724,0.179030662710188,700,0.17220172201722,755,0.171085429413098,747,0.175558166862515,845,0.240261586579471,748,0.223751121746934
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,590,0.156748140276302,558,0.168021680216802,637,0.162458556490691,449,0.132722435707952,482,0.119100568322214,447,0.124477861319967,520,0.115452930728242,374,0.098863335976738,372,0.0911317981381676,361,0.092044875063743,442,0.111167002012072,374,0.098863335976738,324,0.0793534166054372,336,0.0857799336226704,387,0.0966533466533467,2176,0.36302969636303,333,0.0823442136498516,339,0.0833948339483395,371,0.0840697937910719,325,0.0763807285546416,339,0.0963889678703441,307,0.0918336823212683
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-452,,-408,,—,,-273,,-453,,-304,,-558,,-338,,-419,,-388,,-12,,-415,,-453,,-340,,2718,,-299,,1854,,1814,,1804,,15,,2746,,2365,
