In Millions of CNY except Per Share,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
        Plug - In Hybrid Electric Vehicle,,—,,—,,—,,—,,—,,—,,—,,—,,3429,0.0559626589199158,7759,0.0796980124287402,25513,0.0948526814759736,48084,0.112616283971783,14781,0.141927120841135,—,,145674,0.321757991271005,272935,0.368765799567914,141514,0.494235651994733,173124,0.480806509845308,593192,0.500540459352478,353047,0.516573510476413,283270,0.513099645700954,348081,0.494741749471616,390491,0.473896269543362,416242,0.440570757817437,324284,0.517808013566185,556708,0.56420058375223
        Battery Electric Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,18218,0.297325086090121,28043,0.288048893225823,78349,0.291287294358212,130970,0.306741425667257,38599,0.370627490518028,—,,185124,0.408893326029721,320810,0.433450294610008,143223,0.500204310426118,180296,0.500724859055184,582129,0.491205405774857,329011,0.481404366147723,264647,0.479366971214108,352163,0.500543662880688,431603,0.523789412876926,526409,0.55717686358397,300114,0.47921400434003,426039,0.431772944705692
      Commercial Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,670,0.0109346694302548,2558,0.026274973036824,7079,0.0263184310809555,10635,0.0249079564936342,1371,0.0131643381823419,—,,6781,0.0149775590620748,10038,0.013562463942194,1592,0.00556003757914846,1601,0.00444635765267865,4733,0.00399374569130278,1382,0.00202212337586328,4159,0.00753338308493758,3317,0.00471458764769508,1907,0.00231431757971168,2128,0.0022523785985929,1865,0.00297798209378488,3973,0.00402647154207881
        Others,,—,,—,,—,,—,,—,,—,,—,,—,,43,0.00070177729179247,304,0.00312259257357095,1006,0.00374012454689097,1510,0.003536531669524,549,0.00527149647126602,—,,2947,0.00650919725054335,4266,0.00576384450860726,355,0.00123983250037544,232,0.000644319160163302,773,0.000652263980430393,472,0.000690623902610324,3416,0.00618755388750824,2135,0.00303456274580314,1024,0.00124271693845032,231,0.000244501624189361,1070,0.0017085473674798,2670,0.00270593481433436
        Bus,,—,,—,,—,,—,,—,,—,,—,,—,,627,0.0102328921384623,2254,0.023152380463253,6073,0.0225783065340645,9125,0.0213714248241102,822,0.0078928417110759,—,,3834,0.00846836181153146,5772,0.00779861943358676,1237,0.00432020507877302,1369,0.00380203849251534,3960,0.00334148171087239,910,0.00133149947325296,743,0.00134582919742934,1182,0.00168002490189195,883,0.00107160064126136,1897,0.00200787697440354,795,0.00126943472630508,1303,0.00132053672774445
    Oil-Fueled Vehicle,,—,,—,,—,,—,,—,,—,,—,,—,,39253,0.640624744993717,58698,0.602927430537723,158034,0.587541593084859,237283,0.555734333867326,49394,0.474281050458495,—,,115165,0.254371123637199,136348,0.184221441879883,5049,0.0176335613926637,0,,5049,0.00426038918136229,0,,0,,0,,0,,0,,—,,—,
      MPV,,—,,—,,—,,—,,—,,—,,—,,—,,3190,0.0520620828097204,3732,0.0383339325150223,14790,0.0549865229110512,23410,0.0548279512473886,4194,0.0402707763214749,—,,8400,0.018553531355468,9935,0.013423299388892,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,
      SUV,,—,,—,,—,,—,,—,,—,,—,,—,,28266,0.461312486739673,46808,0.480797082841148,116901,0.434616600055767,174298,0.408218805917016,31607,0.303490325987805,—,,77408,0.170975208948103,93012,0.125669644968256,3505,0.0122411631375096,0,,3505,0.0029575488375272,0,,0,,0,,0,,0,,—,,—,
      Sedan,,—,,—,,—,,—,,—,,—,,—,,—,,7797,0.127250175444323,8158,0.0837964151815521,26343,0.0979384701180407,39575,0.092687576702922,13539,0.130001440299582,—,,29357,0.0648423833336278,33401,0.0451284975227358,1544,0.00539239825515404,0,,1544,0.00130284034383509,0,,0,,0,,0,,0,,—,,—,
Vehicles Produced - Worldwide,,—,,—,,—,,—,,—,,—,,—,,—,,61570,1.0,96981,1.0,110942,1.0,158179,1.0,108184,1.0,145681,1.0,207620,1.0,286055,1.0,287530,1.0,365019,1.0,543669,1.0,679336,1.0,567183,1.0,708364,1.0,837188,1.0,932496,1.0,612315,1.0,1019718,1.0
