Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Vulcan Materials Co (VMC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Adjustment,,74.075,,61.354,,49.216,,76.774,,80.616,,-524.779,,66.387,,80.362,,81.021,,73.604,,30.687,,42.144,,28.431,,-1.71,,-16.461,,-12.349,,-14.851,,-19.457,,-14.406,,-10.941,,-17.808,,34.377,,-12.436,,-0.009148,,-12.296,,-7.914,,-7.8,,-2.329,,-3.348,,36.437,,-4.118,,5.636,,—,,—,,—,,-1.767,,—,,-63.232,,—,,—,
  Construction Materials,,649.3,1.0,547.3,1.0,479.4,1.0,705.3,1.0,749.4,1.0,1279.4,1.0,642.3,1.0,807.8,1.0,848.3,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,59.2,0.0911751116587094,-17.3,-0.031609720445825,19.2,0.0400500625782228,29.2,0.0414008223451014,30.4,0.040565785962103,24.8,0.0193840862904486,32.2,0.0501323369142146,39.5,0.0488982421391434,42.3,0.0498644347518567,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,53.9,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Asphalt Mix and Concrete,,—,,—,,—,,—,,—,,—,,—,,—,,—,,133.1,0.193234610917538,145.9,0.222239146991622,183.8,0.219672523007052,203.864,0.232605954805547,232.3,0.270556720242255,266.6,0.31974094507076,325.4,0.314730631589129,340.7,0.331355767360436,268.511,0.327990022671305,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Intersegment Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-62.133,,-46.8,,-51.4,,-5.73e-05,,-45.003,,-41.2,,-52.5,,-55.7,,-45.326,,-38.7,,-46.8,,-49.1,,-37.883,,-40.1,,-49.2,,—,,-45.554,,-44.3,,-56.3,,-68.8,,-63.232,,-86.5,,-43.1,
  Calcium,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-14.799,0.238182608275796,-9.6,0.205128205128205,-8.5,0.165369649805447,-9.2e-06,0.160558464223386,-7.835,0.174099504477479,-8.6,0.20873786407767,-10.1,0.192380952380952,-10.9,0.195691202872531,-10.471,0.231015311300357,-8.9,0.229974160206718,-7.3,0.155982905982906,-6.7,0.136456211812627,-7.081,0.186917614761239,-8.5,0.211970074812968,-9.6,0.195121951219512,—,,-10.243,0.224854019405541,-10.7,0.241534988713318,-11.9,0.211367673179396,-12.3,0.178779069767442,-12.428,0.196546052631579,-43,0.497109826589595,0,
  Aggregates,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-47.254,0.760529831168622,-37.1,0.792735042735043,-42.9,0.834630350194553,-4.81e-05,0.839441535776614,-37.162,0.825767171077484,-32,0.776699029126214,-42.4,0.807619047619048,-44.8,0.804308797127469,-34.855,0.768984688699642,-29.8,0.770025839793282,-39.5,0.844017094017094,-42.4,0.863543788187373,-30.802,0.813082385238761,-31.1,0.775561097256858,-39.2,0.796747967479675,—,,-35.311,0.775145980594459,-33.6,0.758465011286682,-44.4,0.788632326820604,-56.5,0.821220930232558,-50.804,0.803453947368421,-43.5,0.502890173410405,-43.1,1.0
  Asphalt,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,-0.6,0.0145631067961165,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,0,,—,,—,,—,,0,,—,,—,
  Concrete,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-0.1,0.00213675213675214,0,,0,,-0.006,0.000133324445036998,0,,0,,0,,0,,0,,0,,0,,0,,-0.5,0.0124688279301746,-0.4,0.00813008130081301,—,,0,,—,,—,,—,,0,,—,,—,
