Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 1997,,FY 1998,,FY 1999,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Membership Fees,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2.23,,2.28,,2.26,,2.27,,2.24,,—,,2.17,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Softlines,,—,,—,,—,,12,,11,,11,,14,,13,,12,,12,,11,,10,,10,,10,,10,,10,,11,,11,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Fresh Foods,,—,,—,,—,,—,,—,,—,,—,,—,,11,,11,,12,,12,,12,,12,,12,,13,,13,,13,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Hardlines,,—,,—,,—,,20,,19,,19,,16,,16,,20,,20,,21,,20,,19,,18,,17,,16,,16,,16,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,—,,—,,—,,8,,9,,9,,10,,11,,13,,14,,14,,17,,15,,16,,18,,18,,17,,17,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Food,,—,,—,,—,,30,,30,,30,,30,,31,,19,,19,,19,,19,,21,,21,,21,,21,,21,,22,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Sundries,,—,,—,,—,,30,,31,,31,,30,,29,,25,,24,,23,,22,,23,,23,,22,,22,,22,,21,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Same Store Sales %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,,3,,4,,6,,6,,6,,6,,7,,4,,4,,6.8,,6.1,,9.2,,13.4,,11,,—,,—,
Same Store Sales % with fuel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,11,,4,,6,,5,,10,,7,,8,,5,,8,,-4,,7,,10,,7,,6,,4,,1,,0,,4,,9.5,,6.1,,7.7,,16,,14,,3,,5.3,
Total Square Feet/Meter,,—,,—,,—,,—,,—,,—,,—,,56069.325,1.0,59352.41,1.0,64214.081,1.0,68668.068,1.0,72451.456,1.0,79937,1.0,81796,1.0,84415,1.0,86944,1.0,90800,1.0,95472,1.0,98784,1.0,103200,1.0,107300,1.0,110700,1.0,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,—,,—,,—,,—,,56069.325,1.0,59352.41,1.0,64214.081,1.0,68668.068,1.0,72451.456,1.0,79937,1.0,81796,1.0,84415,1.0,86944,1.0,90800,1.0,95472,1.0,98784,1.0,103200,1.0,107300,1.0,110700,1.0,—,,—,,—,,—,,—,,—,
Internet Sales Growth,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13,,32.2,,23.1,,49.5,,44.4,,10.1,,-5.7,,16.1,
Number of Locations,,—,,—,,—,,—,,—,,—,,—,,441,1.0,—,,—,,—,,—,,—,,540,1.0,—,,608,1.0,634,1.0,663,1.0,686,1.0,715,1.0,741,1.0,—,,—,,—,,—,,—,,—,,—,
  Leased,,—,,—,,—,,—,,—,,—,,—,,91,0.206349206349206,—,,—,,—,,—,,—,,117,0.216666666666667,—,,130,0.213815789473684,136,0.214511041009464,141,0.212669683257919,144,0.209912536443149,147,0.205594405594406,154,0.207827260458839,—,,—,,—,,—,,—,,—,,—,
    Japan,,—,,—,,—,,—,,—,,—,,—,,4,0.0090702947845805,—,,—,,—,,—,,—,,8,0.0148148148148148,—,,12,0.0197368421052632,14,0.0220820189274448,15,0.0226244343891403,15,0.021865889212828,14,0.0195804195804196,14,0.0188933873144399,—,,—,,—,,—,,—,,—,,—,
    Korea,,—,,—,,—,,—,,—,,—,,—,,3,0.00680272108843537,—,,—,,—,,—,,—,,4,0.00740740740740741,—,,5,0.00822368421052632,6,0.00946372239747634,6,0.00904977375565611,7,0.0102040816326531,7,0.00979020979020979,7,0.00944669365721997,—,,—,,—,,—,,—,,—,,—,
    France,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,
    Australia,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,1,0.00164473684210526,1,0.00157728706624606,1,0.00150829562594269,2,0.00291545189504373,3,0.0041958041958042,3,0.00404858299595142,—,,—,,—,,—,,—,,—,,—,
    Mexico,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00164473684210526,1,0.00157728706624606,1,0.00150829562594269,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,
    Spain,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,
    Taiwan,,—,,—,,—,,—,,—,,—,,—,,3,0.00680272108843537,—,,—,,—,,—,,—,,6,0.0111111111111111,—,,9,0.0148026315789474,10,0.0157728706624606,10,0.0150829562594268,11,0.0160349854227405,12,0.0167832167832168,13,0.0175438596491228,—,,—,,—,,—,,—,,—,,—,
    Iceland,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00134952766531714,—,,—,,—,,—,,—,,—,,—,
    United States,,—,,—,,—,,—,,—,,—,,—,,71,0.160997732426304,—,,—,,—,,—,,—,,87,0.161111111111111,—,,89,0.146381578947368,89,0.140378548895899,92,0.138763197586727,92,0.134110787172012,94,0.131468531468531,98,0.13225371120108,—,,—,,—,,—,,—,,—,,—,
    United Kingdom,,—,,—,,—,,—,,—,,—,,—,,2,0.00453514739229025,—,,—,,—,,—,,—,,3,0.00555555555555556,—,,3,0.00493421052631579,5,0.00788643533123028,5,0.00754147812971342,6,0.0087463556851312,6,0.00839160839160839,6,0.00809716599190283,—,,—,,—,,—,,—,,—,,—,
    Canada,,—,,—,,—,,—,,—,,—,,—,,8,0.018140589569161,—,,—,,—,,—,,—,,9,0.0166666666666667,—,,10,0.0164473684210526,10,0.0157728706624606,11,0.0165912518853695,11,0.0160349854227405,11,0.0153846153846154,12,0.0161943319838057,—,,—,,—,,—,,—,,—,,—,
  Owned,,—,,—,,—,,—,,—,,—,,—,,350,0.793650793650794,—,,—,,—,,—,,—,,423,0.783333333333333,—,,478,0.786184210526316,498,0.785488958990536,522,0.787330316742082,542,0.790087463556851,568,0.794405594405594,587,0.792172739541161,—,,—,,—,,—,,—,,—,,—,
    Japan,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,1,0.00185185185185185,—,,1,0.00164473684210526,4,0.00630914826498423,5,0.00754147812971342,8,0.0116618075801749,11,0.0153846153846154,12,0.0161943319838057,—,,—,,—,,—,,—,,—,,—,
    United Kingdom,,—,,—,,—,,—,,—,,—,,—,,13,0.0294784580498866,—,,—,,—,,—,,—,,19,0.0351851851851852,—,,19,0.03125,20,0.0315457413249211,21,0.0316742081447964,21,0.0306122448979592,22,0.0307692307692308,22,0.0296896086369771,—,,—,,—,,—,,—,,—,,—,
    United States,,—,,—,,—,,—,,—,,—,,—,,256,0.580498866213152,—,,—,,—,,—,,—,,329,0.609259259259259,—,,350,0.575657894736842,362,0.570977917981073,376,0.567119155354449,388,0.565597667638484,407,0.569230769230769,416,0.56140350877193,—,,—,,—,,—,,—,,—,,—,
    France,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00134952766531714,—,,—,,—,,—,,—,,—,,—,
    Canada,,—,,—,,—,,—,,—,,—,,—,,55,0.124716553287982,—,,—,,—,,—,,—,,70,0.12962962962963,—,,72,0.118421052631579,75,0.118296529968454,77,0.116138763197587,78,0.113702623906706,80,0.111888111888112,85,0.114709851551957,—,,—,,—,,—,,—,,—,,—,
    Korea,,—,,—,,—,,—,,—,,—,,—,,2,0.00453514739229025,—,,—,,—,,—,,—,,3,0.00555555555555556,—,,3,0.00493421052631579,3,0.00473186119873817,5,0.00754147812971342,5,0.00728862973760933,5,0.00699300699300699,6,0.00809716599190283,—,,—,,—,,—,,—,,—,,—,
    Mexico,,—,,—,,—,,—,,—,,—,,—,,24,0.054421768707483,—,,—,,—,,—,,—,,—,,—,,31,0.0509868421052632,32,0.0504731861198738,32,0.0482654600301659,36,0.0524781341107872,36,0.0503496503496504,37,0.0499325236167341,—,,—,,—,,—,,—,,—,,—,
    Taiwan,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,0,,—,,0,,0,,0,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,
    Australia,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00185185185185185,—,,2,0.00328947368421053,2,0.00315457413249211,5,0.00754147812971342,5,0.00728862973760933,5,0.00699300699300699,6,0.00809716599190283,—,,—,,—,,—,,—,,—,,—,
    Spain,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00150829562594269,1,0.00145772594752187,2,0.0027972027972028,2,0.00269905533063428,—,,—,,—,,—,,—,,—,,—,
    Iceland,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,
Retail - Number of Locations Opened,,—,,—,,—,,43,1.0,39,1.0,35,1.0,29,1.0,23,1.0,24,1.0,30,1.0,31,1.0,35,1.0,20,1.0,14,1.0,24,1.0,17,1.0,26,1.0,30,1.0,26,1.0,33,1.0,28,1.0,25,1.0,—,,—,,—,,21,1.0,—,,—,
  Warehouse Clubs,,—,,—,,—,,43,1.0,39,1.0,35,1.0,29,1.0,23,1.0,24,1.0,30,1.0,31,1.0,35,1.0,20,1.0,14,1.0,24,1.0,17,1.0,26,1.0,30,1.0,26,1.0,33,1.0,28,1.0,25,1.0,—,,—,,—,,21,1.0,—,,—,
Retail - Number of Locations Closed,,—,,—,,—,,4,1.0,7,1.0,6,1.0,6,1.0,0,,5,1.0,3,1.0,0,,10,1.0,4,1.0,1,1.0,4,1.0,1,1.0,0,,1,1.0,3,1.0,4,1.0,2,1.0,4,1.0,—,,—,,—,,0,,—,,—,
