Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,    Foods & Sundries,    Non - Foods,    Warehouse Ancillary and Other Business,    Fresh Foods,    Softlines,    Hardlines,  Membership Fees,  Membership Fees,Percentage of Revenue,  Membership Fees,  Membership Fees,Same Store Sales %,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Foreign Exchange Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Cannibalization Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Gas Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Internet Sales Growth,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Locations,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Ticket or Ticket per Transaction,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Warehouse Club Membership Base,  Paid Members,"    Business, Including Affiliates",    Gold Star,  Household Card,    Executive,Source: Bloomberg
05/07/2017,28860,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,—,—,—,—,—,644,2.28,—,644,2.28,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,105400,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,2,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,28216,5,5,105400,-0.63,—,0.145,—,4,2,—,88900,48600,—,—,40300,18300,
09/03/2017,42300,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,—,—,—,—,—,943,—,—,943,—,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,107300,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,741,154,154,14,12,14,12,7,6,7,6,0,1,0,1,3,6,3,6,0,37,0,37,0,2,0,2,13,0,13,0,1,0,1,0,98,416,98,416,6,22,6,22,12,85,12,85,587,587,14,12,14,12,6,22,6,22,98,416,98,416,0,1,0,1,12,85,12,85,7,6,7,6,0,37,0,37,13,0,13,0,3,6,3,6,0,2,0,2,1,0,1,0,12,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,0,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,741,154,154,14,12,14,12,7,6,7,6,0,1,0,1,3,6,3,6,0,37,0,37,0,2,0,2,13,0,13,0,1,0,1,0,98,416,98,416,6,22,6,22,12,85,12,85,587,587,14,12,14,12,6,22,6,22,98,416,98,416,0,1,0,1,12,85,12,85,7,6,7,6,0,37,0,37,13,0,13,0,3,6,3,6,0,2,0,2,1,0,1,0,—,41357,5.7,6.1,107300,0.5,—,6.1,21,12,0,2.1,90300,49400,10800,38600,40900,18500,
11/26/2017,31809,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,—,—,—,—,—,692,2.22,—,692,2.22,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,108000,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,2,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31117,7.9,10.5,108000,1.04,-1.05,1.44,43.5,7,2,—,91500,49900,—,—,41600,18800,
02/18/2018,32995,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,—,—,—,—,—,716,2.22,—,716,2.22,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,108000,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,0,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32279,5.4,8.4,108000,1.9,-0.055,1.32,28.5,1,0,4.6,92200,50400,—,—,41800,18800,
05/13/2018,32361,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,—,—,—,—,—,737,2.33,—,737,2.33,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,108000,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,0,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31624,7,10.2,108000,1.46,-0.06,1.79,36.8,2,0,—,93000,50900,—,—,42100,19000,
09/02/2018,44411,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,—,—,—,—,—,997,—,—,997,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,110700,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,15,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,2,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43414,7.2,9.5,110700,—,—,—,26.2,15,2,—,94300,51600,10900,40700,42700,19300,
11/25/2018,35069,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,13641,—,6414,4293,4123,5840,758,2.21,—,758,2.21,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,111000,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,0,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,34311,7.5,8.8,111000,1.01,-0.7,1.35,32.3,6,0,—,95400,52200,—,—,43200,19700,
02/17/2019,35396,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,13966,—,5978,4690,4224,5770,768,2.22,—,768,2.22,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,112000,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,0,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,34628,6.7,5.4,112000,1.42,-0.7,0.6,20.2,2,0,—,96300,52700,—,—,43600,20000,
05/12/2019,34740,33964,5.6,5.5,—,—,—,—,22,—,—,—,13524,—,6793,4568,3413,5666,776,2.29,—,776,2.29,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,33964,5.6,5.5,—,—,—,—,22,—,—,—,97200,53100,—,—,44100,20400,
09/01/2019,47498,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,18541,12124,9386,6397,—,—,1050,—,—,1050,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,46448,5.1,5.1,—,—,—,—,19.8,—,—,—,98500,53900,11000,42900,44600,20800,
11/24/2019,37040,36236,5,4.3,—,—,—,—,—,—,—,—,14532,—,6988,4576,4297,5843,804,2.22,—,804,2.22,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36236,5,4.3,—,—,—,—,—,—,—,—,99900,54700,—,—,45200,21400,
02/16/2020,39072,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,14984,—,6915,5079,4504,6774,816,2.13,—,816,2.13,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,114000,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,0,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38256,7.9,8.9,114000,0.25,—,0.92,28.4,0,0,—,100900,55300,—,—,45600,21700,
05/10/2020,37266,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,16897,—,5270,5587,2806,5891,815,2.24,—,815,2.24,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,115000,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,0,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36451,7.8,4.8,115000,—,—,—,64.5,2,0,—,101800,55800,—,—,46000,21800,
08/30/2020,53383,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,22246,14692,7377,7962,—,—,1106,—,—,1106,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52277,14.1,11.4,—,—,—,—,90.6,—,—,—,105500,58100,11300,46800,47400,22600,
