Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Korea,,—,,—,,—,,3,0.00652173913043478,—,,—,,—,,3,0.00616016427104723,—,,—,,—,,3,0.00579150579150579,—,,—,,—,,3,0.00552486187845304,—,,—,,—,,4,0.00715563506261181,—,,—,,—,,4,0.00740740740740741,—,,—,,—,,4,0.00675675675675676,—,,—,,—,,5,0.00822368421052632,—,,—,,—,,6,0.00946372239747634,—,,—,,—,,6,0.00904977375565611
    United Kingdom,,—,,—,,—,,2,0.00434782608695652,—,,—,,—,,2,0.00410677618069815,—,,—,,—,,1,0.00193050193050193,—,,—,,—,,2,0.00368324125230203,—,,—,,—,,2,0.0035778175313059,—,,—,,—,,3,0.00555555555555556,—,,—,,—,,3,0.00506756756756757,—,,—,,—,,3,0.00493421052631579,—,,—,,—,,5,0.00788643533123028,—,,—,,—,,5,0.00754147812971342
    Australia,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,1,0.00168918918918919,—,,—,,—,,1,0.00164473684210526,—,,—,,—,,1,0.00157728706624606,—,,—,,—,,1,0.00150829562594269
    Mexico,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,0.00168918918918919,—,,—,,—,,1,0.00164473684210526,—,,—,,—,,1,0.00157728706624606,—,,—,,—,,1,0.00150829562594269
    Spain,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,
Ticket or Ticket per Transaction,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5.5,,5,,4.5,,6,,-1.5,,-7,,-10.5,,4.5,,-1.5,,4,,6,,1.1,,2,,4.2,,7,,8,,6,,2.4,,1.7,,5,,2.5,,2,,1.5,,5,,-2,,-1,,0.2,,2,
Warehouse Club Membership Base,,—,,—,,—,,—,,—,,—,,—,,47679,1.0,—,,—,,—,,50400,1.0,—,,—,,—,,53500,1.0,—,,—,,—,,56000,1.0,—,,—,,—,,58000,1.0,—,,—,,—,,64000,1.0,—,,—,,—,,67000,1.0,—,,—,,—,,71200,1.0,72500,1.0,40300,1.0,74600,1.0,76400,1.0
  Paid Members,,—,,—,,—,,—,,—,,—,,—,,22552,0.472996497409761,—,,—,,—,,24000,0.476190476190476,—,,—,,—,,25800,0.482242990654206,—,,—,,—,,30600,0.546428571428571,—,,—,,—,,31600,0.544827586206897,—,,—,,—,,35300,0.5515625,—,,—,,—,,36900,0.550746268656716,—,,—,,—,,39000,0.547752808988764,39800,0.548965517241379,40300,1.0,40900,0.548257372654156,42000,0.549738219895288
    Gold Star,,—,,—,,—,,—,,—,,—,,—,,17338,0.363640177017135,—,,—,,—,,18600,0.369047619047619,—,,—,,—,,20200,0.377570093457944,—,,—,,—,,21500,0.383928571428571,—,,—,,—,,22500,0.387931034482759,—,,—,,—,,25000,0.390625,—,,—,,—,,26700,0.398507462686567,—,,—,,—,,28900,0.405898876404494,—,,—,,—,,31600,0.413612565445026
"    Business, Including Affiliates",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10100,0.14185393258427,—,,—,,—,,10400,0.136125654450262
"    Business, Add-on",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3400,0.0607142857142857,—,,—,,—,,3300,0.0568965517241379,—,,—,,—,,4000,0.0625,—,,—,,—,,3800,0.0567164179104478,—,,—,,—,,—,,—,,—,,—,,—,
    Business,,—,,—,,—,,—,,—,,—,,—,,5214,0.109356320392626,—,,—,,—,,5400,0.107142857142857,—,,—,,—,,5600,0.104672897196262,—,,—,,—,,5700,0.101785714285714,—,,—,,—,,5800,0.1,—,,—,,—,,6300,0.0984375,—,,—,,—,,6400,0.0955223880597015,—,,—,,—,,—,,—,,—,,—,,—,
  Household Card,,—,,—,,—,,—,,—,,—,,—,,25127,0.527003502590239,—,,—,,—,,26400,0.523809523809524,—,,—,,—,,27700,0.517757009345794,—,,—,,—,,25400,0.453571428571429,—,,—,,—,,26400,0.455172413793103,—,,—,,—,,28700,0.4484375,—,,—,,—,,30100,0.449253731343284,—,,—,,—,,32200,0.452247191011236,32700,0.451034482758621,40300,1.0,33700,0.451742627345845,34400,0.450261780104712
    Executive,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,14400,0.193029490616622,15000,0.196335078534031
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
