date,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,534,395,371,366,466,426,437,437,516,510,490,478,549,553,550,502,577,584,621,552,641,657,669,645,760,760,212,834,313,294,257,235,368,333,270,240,397,430,321,1001,1175,1110,345,1088,1144,954,515,1125,1251,1217,919,1141,1179,1174,970,1036,1246,1749,1076,1028,1302,1761,1046
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,1625.585,1360.262,1424.848,1534.298,2039.234,1680.911,1768.45,1702.319,2090.7371,1699.327,1798.319,1828.304,2348.2561,1993.9611,1993.55,2109.95,2587.4099,2348.3979,2518.0181,2628.23,3274.2451,3064.958,3081.6389,3315.913,3867.8169,3495.9031,3447.0229,3470.118,4074.905,3760.7849,3693.2051,3882.457,4688.7109,4312.7559,4385.5518,4630.539,5069.6401,5060.6499,5199.8462,5711.5381,6617.8301,6499.595,6925.4092,7269.099,8387.021,8363.116,8569.366,8238.001,8842.185,8452.13,8347.133,8232.082,8864.259,8275.765,9690.443,9324.153,10301.909,9669.405,10078.466,9462.045,10100,9691,10087,10337,11627,11501,12057,11708,13558,13138,14069,13706,14993,14360,14591,13526,15405,15110,15863,15840,17473,16634,17533,17588,19156,18058,17634,16779,18858,15529,16542,15218,18570,17460,17256,17317,19897,18899,19693,20289,22954,21648,22285,23485,26643,23703,25254,28120,32096,26308,27916,29505,33850,32565,33008,32696,34150,34330,34289,35879,40080,32146,33288,34246
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,2069.125,2134.3701,2148.438,2146.396,2218.6931,2260.948,2363.0959,2535.593,2625.801,2703.9099,2768.4829,2888.3101,2984.624,3041.377,3079.978,3154.634,3290.677,3319.3579,3328.7529,3395.372,3531.418,3669.656,3771.105,3906.888,4102.9248,4315.7739,4444.5708,4834.116,5110.47,5375.1069,5514.6938,5826.585,6044.415,6159.833,6339.2002,6523.619,6710.0942,6807.2402,6902.3301,6960.0078,7159.27,7202.888,7148.7212,7219.829,7454.743,7516.21,7629.579,7790.192,7915.639,8066.278,8274.019,8564.295,8831.818,8916.771,9098.325,9519.78,9919.546,10047.942,10249.026,10354.996,10192,10354,10498,10900,11115,11105,11058,11314,12019,12102,12300,12432,12381,12519,12596,12961,13251,13386,13546,13881,14254,14348,14583,14830,14798,14872,15083,15401,15867,16065,16491,17043,17156,17342,17535,18161,18682,19049,19178,19681,19879,20145,20475,20890,23834,24077,24276,24595,25073,25418,26052,26382,26790,26892,26874,27420,27931,28583,28737,29397,29840,30341,30705,31649
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,2422.156,2512.5891,2548.4419,2571.5049,2673.104,2737.135,2864.5891,3062.0349,3177.637,3283.7329,3378.8721,3543.5359,3677.9031,3761.759,3829.771,3950.342,4123.1909,4185.3091,4230.5688,4330.975,4507.1821,4693.1851,4838.7568,5024.157,5270.355,5529.21,5702.9302,6141.389,6466.577,6793.1118,6986.8062,7375.174,7645.9238,7811.7451,8066.1099,8317.302,8560.7227,8715.9971,8886.5137,9005.4258,9299.707,9434.673,9442.5693,9541.376,9927.861,10070.508,10277.597,10487.03,10704.204,10974.062,11307.37,11642.436,12018.097,12206.633,12526.084,13068.516,13633.514,13870.54,14200.181,14329.222,14181,14485,14800,15323,15708,15857,15970,16360,17449,17722,18147,18368,18439,18787,19039,19546,20023,20319,20637,21022,21587,21834,22267,22675,22759,22884,23315,23664,24356,24702,25452,26167,26438,26891,27324,28341,29109,29803,30110,30714,31144,31702,32224,32626,35908,36457,36855,37491,,,,40548,,,,42706,,,,46082,,,,49567
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,353.031,378.219,400.004,425.1089,454.411,476.187,501.493,526.4419,551.836,579.823,610.389,655.2258,693.279,720.382,749.793,795.708,832.514,865.951,901.816,935.603,975.764,1023.529,1067.652,1117.269,1167.4301,1213.436,1258.359,1307.273,1356.107,1418.005,1472.1121,1548.589,1601.509,1651.912,1726.91,1793.683,1850.629,1908.757,1984.184,2045.418,2140.437,2231.785,2293.8479,2321.547,2473.118,2554.298,2648.018,2696.838,2788.565,2907.784,3033.351,3078.141,3186.279,3289.862,3427.759,3548.736,3713.968,3822.598,3951.155,3974.226,3989,4131,4302,4423,4593,4752,4912,5046,5430,5620,5847,5936,6058,6268,6443,6585,6772,6933,7091,7141,7333,7486,7684,7845,7961,8012,8232,8263,8489,8637,8961,9124,9282,9549,9789,10180,10427,10754,10932,11033,11265,11557,11749,11736,12074,12380,12579,12896,,,,14166,,,,15286,,,,16685,,,,17918
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,,,,,,0,,,,0,0,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,622.202,645.956,672.243,554.965,553.481,178.929,179.671,199.507,208.934,197.454,193.791,195.247,187.719,190.035,185.436,211.73,207.079,205.949,205.727,236.218,238.814,242.676,265.026,282.2,277.304,296.669,306.671,329.706,332.382,370.39,368.014,380.744,375.687,416.759,422.765,466.105,455.721,474.953,496.655,520.142,549.19,574.985,541.152,603.62,568.554,569.741,583.474,637.012,624.396,657.158,663.175,698.693,719.097,732.685,749.717,762.653,782.614,951.53,875.858,865.307,705,692,719,742,736,760,784,793,466,476,605,623,630,632,649,653,667,593,597,562,592,584,585,606,659,670,774,837,726,794,840,902,806,828,840,869,799,755,734,860,981,1006,992,1025,954,1002,2202,2841,3048,3192,3306,3381,3509,3621,3970,4050,3946,3935,3726,3718,3803,3836,3918,3936
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.568,,,,49.23,,,,43.831,43.226,43.343,43.705,43.92,43.631,44.515,46.566,46.549,76.937,76.762,60.266,65.721,,,,71.848,,,,72.953,,,,75.707,,,,73.707,,,,71,,,,71,,,,74,,,,66,,,,63,,,,0,,,,0,,,,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.568,,,,49.23,,,,43.831,43.226,43.343,43.705,43.92,43.631,44.515,46.566,46.549,76,76.762,60.266,65.721,,,,71.848,,,,72.953,,,,75.707,,,,73.707,,,,71,,,,71,,,,74,,,,66,,,,63,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,,,0,0
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0.937,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,0,,,,0,,,,0,,,,0,,,,3,,,,0,,,,0,,,,0,,,,0,,,,15,,,,1,,,,17,24,13,54,34,19,6,,18,7,12,,1
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,622.202,645.956,672.243,554.965,553.481,178.929,179.671,199.507,208.934,197.454,193.791,195.247,187.719,190.035,185.436,211.73,207.079,205.949,205.727,236.218,238.814,242.676,265.026,239.632,277.304,296.669,306.671,280.476,332.382,370.39,368.014,336.913,332.461,373.416,379.06,422.185,412.09,430.438,450.089,473.593,472.253,498.223,480.886,537.899,568.554,569.741,583.474,565.164,624.396,657.158,663.175,625.74,719.097,732.685,749.717,686.946,782.614,951.53,875.858,791.6,705,692,718,669,736,760,784,722,466,476,605,549,630,632,649,587,667,593,597,499,592,584,585,603,659,670,774,837,726,794,840,902,806,828,840,869,799,755,734,860,981,1006,992,1010,954,1002,2202,2840,3048,3192,3306,3364,3485,3608,3916,4016,3927,3929,3726,3700,3796,3824,3918,3935
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,2691.327,2780.3261,2820.681,2701.361,2772.1741,2439.877,2542.767,2735.1,2834.735,2901.3639,2962.2739,3083.5571,3172.343,3231.412,3265.414,3366.364,3497.756,3525.3069,3534.4799,3631.59,3770.232,3912.332,4036.131,4189.088,4380.2288,4612.4429,4751.2418,5163.822,5442.852,5745.4969,5882.7079,6207.329,6420.1021,6576.592,6761.9652,6989.724,7165.8152,7282.1932,7398.9851,7480.1498,7708.46,7777.873,7689.8732,7823.449,8023.297,8085.951,8213.053,8427.204,8540.035,8723.436,8937.194,9262.988,9550.915,9649.456,9848.042,10282.433,10702.16,10999.472,11124.884,11220.303,10897,11046,11217,11642,11851,11865,11842,12107,12485,12578,12905,13055,13011,13151,13245,13614,13918,13979,14143,14443,14846,14932,15168,15436,15457,15542,15857,16238,16593,16859,17331,17945,17962,18170,18375,19030,19481,19804,19912,20541,20860,21151,21467,21915,24788,25079,26478,27436,28121,28610,29358,29763,30299,30513,30844,31470,31877,32518,32463,33115,33643,34177,34623,35585
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,4316.9121,4140.5879,4245.5288,4235.6592,4811.4082,4120.7881,4311.2168,4437.4189,4925.4722,4600.6909,4760.5928,4911.8608,5520.5991,5225.373,5258.9639,5476.314,6085.166,5873.7051,6052.498,6259.82,7044.4771,6977.29,7117.77,7505.001,8248.0459,8108.3462,8198.2646,8633.94,9517.757,9506.2822,9575.9131,10089.786,11108.8096,10889.3496,11147.5195,11620.263,12235.46,12342.8398,12598.8301,13191.6904,14326.29,14277.468,14615.2803,15092.548,16410.318,16449.067,16782.419,16665.205,17382.22,17175.566,17284.327,17495.07,18415.174,17925.221,19538.485,19606.586,21004.069,20668.877,21203.35,20682.348,20997,20737,21304,21979,23478,23366,23899,23815,26043,25716,26974,26761,28004,27511,27836,27140,29323,29089,30006,30283,32319,31566,32701,33024,34613,33600,33491,33017,35451,32388,33873,33163,36532,35630,35631,36347,39378,38703,39605,40830,43814,42799,43752,45400,51431,48782,51732,55556,60217,54918,57274,59268,64149,63078,63852,64166,66027,66848,66752,68994,73723,66323,67911,69831
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,-32.991,62.275,32.04,-173.692,48.527,-18.592,32.615,71.328,49.553,71.426,41.274,86.545,31.81,97.449,66.265,116.673,97.926,125.993,85.227,150.696,-13.789,152.032,105.877,153.178,129.318,181.608,120.329,200.182,129.521,176.577,105.257,190.734,129.656,192.556,130.37,247.401,145.729,182.065,153.78,239.426,160.175,226.792,198.658,296.768,193.153,305.452,209.788,354.699,215.818,296.203,235.595,355.599,236.886,249.478,223.986,372.422,261.981,327.85,295.066,397.828,263,239,210,374,266,299,306,432,312,348,324,478,320,394,386,609,416,547,459,617,425,463,473,697,496,598,516,767,480,546,545,779,545,515,700,919,640,701,750,1043,767,889,906,1097,844,931,838,1389,1166,951,1220,1670,1324,1299,1353,1868,1364,1466,1302,2160,1589,1743,1681,2354
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,-19.312,89.246,130.719,47.152,-37.906,30.189,69.178,216.921,-76.329,166.388,149.745,186.555,80.812,166.934,120.295,222.208,209.748,224.117,76.538,227.207,159.426,264.868,219.209,297.36,240.011,168.442,172.494,489.411,118.07,322.737,312.754,279.002,224.732,347.405,278.179,167.927,300.363,606.15,169.646,431.049,703.281,569.403,345.965,480.134,44.534,719.74,493.627,518.06,133.573,838.35,286.66,608.78,407.49,318.425,827.699,522.79,270.883,582.505,909.823,447.822,-15,889,693,584,751,609,809,611,720,726,811,941,664,580,1083,730,1102,423,1349,563,939,713,1490,842,1128,900,1229,1028,811,791,1859,-169,2793,493,1606,1834,2006,109,2105,1554,2177,-219,2105,2293,2102,619,1898,4242,2647,38,3333,2940,3258,401,1227,2506,2610,3192,1541,3725,4651,731,2999,2958
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,-131.676,-133.4,-89.393,-152.313,-164.764,-120.349,-105.895,-162.366,-180.178,-85.516,-51.745,-173.767,-168.765,-168.209,-143.7119,-248.566,-225.552,-255.828,-211.3,-473.011,-380.203,-335.648,-214.41,-407.286,-309.296,-204.869,-229.579,-262.012,-278.855,-155.233,-141.604,-183.144,-221.637,-108.205,-85.024,-235.354,-206.48,-197.105,-217.836,-354.578,-262.91,-232.226,-257.853,-460.38,-385.392,-271.303,-219.306,-495.644,-432.336,-335.948,-365.901,-416.815,-375,-292,-225,-351,-312,-192,-137,-410,-299,-233,-277,-465,-336,-296,-268,-569,-488,-455,-436,-704,-574,-447,-405,-567,-555,-612,-421,-805,-715,-624,-461,-849,-667,-516,-540,-779,-820,-508,-585,-1056,-730,-587,-672,-1009,-715,-545,-698,-852,-893,-573,-1028,-1094,-1055,-723,-854,-1259,-1057,-890,-820,-1556,-1040,-1031,-1062,-1577
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.861,8.524,33.785,31.528,13.801,16.3,18.292,10.277,12.919,20.819,11.499,17.493,0.203,12.268,35.563,61.968,0.264,10.741,6.853,14.991,4.294,10.841,17.559,19.135,0.441,0.635,29.21,25.114,4.648,1.265,0.723,12.796,3.354,5.134,0.878,6.374,3.408,1.638,7.39,1.618,4.731,5.745,4.469,33.055,0,4,1,2,1,1,1,1,7,1,1,7,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,-131.676,-133.4,-89.393,-152.313,-164.764,-120.349,-105.895,-162.366,-187.039,-94.04,-85.53,-205.295,-182.566,-184.509,-162.0039,-258.843,-238.471,-276.647,-222.799,-490.504,-380.406,-347.916,-249.973,-469.254,-309.56,-215.61,-236.432,-277.003,-283.149,-166.074,-159.163,-202.279,-222.078,-108.84,-114.234,-260.468,-211.128,-198.37,-218.559,-367.374,-266.264,-237.36,-258.731,-466.754,-388.8,-272.941,-226.696,-497.262,-437.067,-341.693,-370.37,-449.87,-375,-296,-226,-353,-313,-193,-138,-411,-306,-234,-278,-472,-343,-296,-268,-580,-488,-455,-436,-704,-574,-447,-405,-567,-555,-612,-421,-805,-715,-624,-461,-849,-667,-516,-540,-779,-820,-508,-585,-1056,-730,-587,-672,-1009,-715,-545,-698,-852,-893,-573,-1028,-1094,-1055,-723,-854,-1259,-1057,-890,-820,-1556,-1040,-1031,-1062,-1577
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1133,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1133,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,-2.08,-0.813,0.138,-115.485,-3.128,-231.84,34.6719,-24.375,86.512,-2.55,1.32,34.745,34.968,-45.128,16.001,-8.137,7.266,-24.984,-3.243,-7.098,2.874,-12.494,-11.235,-10.897,-207.317,4.646,-189.813,-5.777,-31.004,-400.352,-589.482,-54.676,117.634,-0.048,-17.564,-48.403,542.286,103.717,-11.211,81.543,107.518,-537.527,98.356,330.612,73,35,6,28,16,-18,-269,-693,162,-491,-100,523,-16,196,203,-150,-367,455,175,-431,-252,382,-191,-39,-98,85,-174,100,383,4,93,-176,12,119,42,-37,35,135,-109,-39,-7,153,-102,89,85,75,-19,-59,211,218,-315,-61,143,242,-181,-228,0,82,-462,-269,674,-355,108,-126
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
