Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Prologis Inc (PLD US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
    Americas,,—,,—,,—,,—,,—,,10.303,0.0468375664286071,17.018,0.07179167000637,25.547,0.125061191721005,16.149,0.0702536684256548,16.548,0.0515655382160842,20.96,0.0446777806909282,35.9,0.035846839137559,18.354,0.0382829610162067,16.47,0.0328623790606587,16.934,0.0339044812217947,17.664,0.0367659149330308,16.187,0.0337249542159839,15.428,0.0375657729739733,18.357,0.0433912134979128,22.502,0.0515198139040763,14.575,0.0335302589019099,47.315,0.102838798580275,18.567,0.044723486153231
    Asia,,—,,—,,—,,—,,—,,0.559,0.00254122096802789,1.588,0.00669909342872932,-1.521,-0.00744580861187805,0.361,0.00157047336068248,2.451,0.0076376078177195,4.928,0.0105043942387831,8.841,0.00882790821212142,4.866,0.010149552593705,5.197,0.0103695072239371,5.243,0.0104972950895163,5.004,0.0104153441080665,6.835,0.0142404436934731,14.326,0.0348825034758323,9.928,0.0234672314434427,12.115,0.0277380919672867,9.035,0.0207853097206694,19.453,0.0422809499901106,10.79,0.0259905431999441
  Adjustment,,—,,—,,—,,—,,—,,-0.827,,-8.433,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Asia,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  CDFS Business,,—,,—,,—,,180.237,0.175469323024112,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income,,-134.893,,33.102,1.0,31.988,1.0,24.477,1.0,22.162,1.0,34.318,1.0,35.737,1.0,-694.092,,28.787,1.0,-46.968,,79.339,1.0,49.651,1.0,100.607,1.0,101.604,1.0,75.25,1.0,-162.543,,97.039,1.0,58.514,1.0,77.381,1.0,71.479,1.0,71.466,1.0,95.274,1.0,78.112,1.0
  Real Estate Operations,,-134.893,1.0,33.102,1.0,31.988,1.0,463.845,0.622085514377794,22.162,1.0,132.101,0.873083328927193,134.126,0.811517564346132,264.271,0.893462436989279,134.725,0.874797898796808,205.15,0.905619564737562,310.639,0.94667471208672,268.76,0.916468887252094,324.007,0.954413033936898,350.497,0.95655745534435,335.737,0.954554888675968,323.804,0.954090487204797,311.629,0.957812235865439,250.477,0.930867886382809,261.555,0.908637712173533,268.433,0.894779649265498,273.802,0.92830285913836,268.729,0.847121610460681,253.889,0.889225510214803
    Americas,,—,,—,,—,,—,,—,,107.363,0.709584677206154,104.991,0.635238809762945,207.257,0.700706261008915,102.453,0.665248982189121,135.72,0.599125943583631,186.244,0.567580004693162,149.449,0.509619581526039,198.489,0.58468023435636,219.032,0.597770287788437,210.004,0.597075522928685,203.799,0.60049501303829,216.128,0.66428362865178,216.666,0.805213338833577,225.664,0.783952976161526,240.595,0.801986006620022,253.461,0.85933839409525,243.269,0.766863371854766,230.515,0.807359982067618
    Europe,,—,,—,,—,,—,,—,,10.407,0.06878205467139,12.81,0.0775057781434916,26.758,0.0904649692511064,15.284,0.0992422422357425,43.537,0.192190879795171,85.094,0.259324611366594,82.509,0.281354857189623,84.044,0.247564679232833,88.181,0.240658815823588,79.103,0.224902692759318,79.413,0.233990895295903,67.206,0.206562062977363,18.492,0.0687233117411615,18.623,0.0646959917180237,11.857,0.0395234650782169,8.224,0.0278827865156349,11.41,0.0359680480162408,12.072,0.0422811951652616
    Asia,,—,,—,,—,,—,,—,,14.331,0.0947165970496484,16.325,0.0987729764396955,30.256,0.102291206729258,16.988,0.110306674371944,25.893,0.11430274135876,39.301,0.119770096026964,36.082,0.123039255803803,41.474,0.122168120347705,43.284,0.118128351732325,46.63,0.132576672987965,40.592,0.119604578870604,28.295,0.0869665442362957,15.319,0.0569312358080712,17.268,0.0599887442939824,15.981,0.0532701775672586,12.117,0.0410816785274742,14.05,0.0442901905896742,11.302,0.039584332981924
  Strategic Capital Management,,—,,—,,—,,101.547,0.136189713651159,—,,19.203,0.126916671072807,31.152,0.188482435653868,31.512,0.106537563010721,19.282,0.125202101203192,21.38,0.0943804352624376,17.498,0.0533252879132801,24.496,0.0835311127479063,15.476,0.0455869660631018,15.918,0.04344254465565,15.984,0.0454451113240324,15.581,0.0459095127952031,13.726,0.0421877641345607,18.602,0.0691321136171905,26.299,0.0913622878264676,31.566,0.105220350734502,21.147,0.0716971408616405,48.497,0.152878389539319,31.628,0.110774489785197
    Europe,,—,,—,,—,,—,,—,,15.119,0.0999246549992069,19.353,0.1170936240758,6.728,0.0227464053038883,9.804,0.0636594440512444,10.038,0.0443120116540856,5.34,0.0162736905621737,5.525,0.0188401942330251,5.384,0.0158594097495309,5.418,0.0147865125608941,5.762,0.0163823030185858,5.135,0.0151303092358236,6.871,0.0211184705936592,7.53,0.0279843466045288,14.115,0.0490352748268219,12.747,0.0424901416338054,13.684,0.0463944614153633,12.125,0.038221961629879,17.791,0.0623115261087781
    Asia,,—,,—,,—,,—,,—,,0.396,0.00261724739597103,1.403,0.00848872808238241,-1.486,-0.00502395337122147,0.087,0.000564909387235645,2.019,0.00891272679115349,1.492,0.00454688133310172,5.707,0.0194608123959953,2.145,0.00631843126165375,2.702,0.00737415225905053,2.641,0.0075087924804035,2.135,0.00629079069493348,3.972,0.0122082033471132,10.711,0.0398061535831484,6.606,0.0229491339359536,8.856,0.029520098400328,5.407,0.0183319828173684,6.28,0.0197966118792281,7.386,0.0258688624495214
    Americas,,—,,—,,—,,—,,—,,3.688,0.0243747686776291,10.396,0.0629000834956861,26.27,0.0888151110780538,9.391,0.060977747764712,9.323,0.0411556968171986,10.666,0.0325047160180047,13.264,0.0452301061188859,7.947,0.0234091250519172,7.798,0.0212818798357054,7.581,0.0215540158250431,8.311,0.024488412864446,2.883,0.00886109019378832,0.361,0.00134161342951327,5.578,0.019377879063692,9.963,0.033210110700369,2.056,0.00697069662890873,30.092,0.0948598160302119,6.451,0.0225941012268972
  Adjustment,,—,,—,,—,,—,,—,,-116.986,,-129.541,,-989.875,,-125.22,,-273.498,,-248.798,,—,,-238.876,,-264.811,,-276.471,,-501.928,,-228.316,,-210.565,,-210.473,,-228.52,,-223.483,,-221.952,,-207.405,
  CDFS Business,,—,,—,,—,,180.237,0.241724771971047,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,-721.152,,—,,—,,—,,—,,—,,—,,—,,-243.605,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Assets,,6912.935,1.0,6885.248,1.0,6873.266,1.0,6841.958,1.0,6909.471,1.0,7059.992,1.0,7123.726,1.0,14902.667,1.0,27723.912,1.0,29134.506,1.0,28586.304,1.0,27723.912,1.0,28867.953,1.0,28415.563,1.0,28576.422,1.0,27310.145,1.0,24075.299,1.0,24037.568,1.0,24789.543,1.0,24572.307,1.0,24655.148,1.0,24131.562,1.0,24072.103,1.0
  Real Estate Operations,,6912.935,1.0,6885.248,1.0,6873.266,1.0,6841.958,1.0,6909.471,1.0,7059.992,1.0,7123.726,1.0,11808.978,0.99639511692076,23630.994,0.995169315272296,25100.244,0.886920125951327,24681.116,0.889232379997788,23630.994,0.995169315272296,25426.823,0.996235030511404,25290.415,0.996313425053858,25268.174,0.996330659475428,24452.165,0.996261924341971,19146.435,0.995380625922458,19257.178,0.995505610542698,19972.339,0.995637703300414,19084.509,0.995507970945547,19220.876,0.995590646080393,17918.398,0.995331798689255,17548.188,0.995466444324762
    Americas,,—,,—,,—,,—,,—,,—,,—,,7299.644,0.615915249978442,13305.147,0.560318115674155,14192.651,0.501499021782547,13839.379,0.498616996324696,13305.147,0.560318115674154,15342.375,0.601121556800171,15274.332,0.601730815027343,15216.074,0.599973747333184,15236.921,0.620802462133991,15222.23,0.791369924758088,15217.342,0.786665073072859,15885.306,0.791895710465574,16272.868,0.848843939560861,16276.368,0.843072903282984,14848.22,0.82478944378475,14811.609,0.840226908097784
    Europe,,—,,—,,—,,—,,—,,—,,—,,2619.455,0.221019310137903,6823.814,0.287370489194213,7815.816,0.276172793823534,7430.336,0.267706507495984,6823.814,0.287370489194213,6676.158,0.261575048869808,6400.136,0.252132731668124,6258.089,0.246758073631515,5738.245,0.233795044571542,2167.953,0.112707060824141,2173.011,0.112334457430419,2160.506,0.107703020252498,1634.867,0.0852798010122153,1675.895,0.0868069377177658,1786.672,0.0992461187338136,1865.727,0.105838199520697
    Asia,,—,,—,,—,,—,,—,,—,,—,,1889.879,0.159460556804415,3502.033,0.147480710403929,3091.777,0.109248310345247,3411.401,0.122908876177108,3502.033,0.147480710403929,3408.29,0.133538424841425,3615.947,0.142449878358391,3794.011,0.14959883851073,3476.999,0.141664417636439,1756.252,0.0913036403402288,1866.825,0.0965060800394208,1926.527,0.0960389725823419,1176.774,0.0613842303724699,1268.613,0.0657108050796428,1283.506,0.0712962361706918,870.852,0.0494013367062803
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,3050.965,,3978.21,,834.05,,830.774,,—,,3345.037,,3031.568,,3215.189,,2766.233,,4840.009,,4693.45,,4729.697,,5401.683,,5349.145,,6129.125,,6443.997,
  Strategic Capital Management,,—,,—,,—,,—,,—,,—,,—,,42.724,0.00360488307924043,114.708,0.00483068472770357,3200.212,0.113079874048673,3074.414,0.110767620002212,114.708,0.00483068472770357,96.093,0.00376496948859605,93.58,0.00368657494614224,93.059,0.0036693405245715,91.747,0.00373807565802876,88.855,0.00461937407754185,86.94,0.0044943894573017,87.507,0.00436229669958583,86.115,0.00449202905445331,85.127,0.00440935391960728,84.039,0.00466820131074476,79.918,0.00453355567523817
    Europe,,—,,—,,—,,—,,—,,—,,—,,28.424,0.00239830532357293,61.946,0.002608724728374,866.144,0.0306053019075028,792.382,0.0285486171584545,61.946,0.002608724728374,62.344,0.00244266760114714,60.576,0.00238638559454491,60.891,0.00240094793498408,61.266,0.00249617909321057,59.777,0.00310767344812581,58.974,0.00304867867327939,60.089,0.00299548660543057,60.327,0.00314684592426412,59.816,0.00309831092432753,59.235,0.00329038785137812,56.103,0.00318258807837892
    Americas,,—,,—,,—,,—,,—,,—,,—,,14.3,0.0012065777556675,43.394,0.00182744649958127,1996.312,0.0705399234556503,1996.113,0.0719176682988939,43.394,0.00182744649958127,25.514,0.000999650666875211,25.137,0.000990269656135687,24.75,0.000975898924157197,24.373,0.000993036480900029,24.035,0.00124952626136648,23.657,0.00122295573259013,23.28,0.00116052735399863,22.154,0.00115562226873784,21.836,0.00113104716703918,21.484,0.00119339398327015,20.954,0.00118866995694262
    Asia,,—,,—,,—,,—,,—,,—,,—,,—,,9.368,0.000394513499748291,337.756,0.0119346486855194,285.919,0.0103013345448637,9.368,0.000394513499748291,8.235,0.000322651220573699,7.867,0.000309919695461648,7.418,0.000292493665430226,6.108,0.000248860083918163,5.043,0.000262174368049559,4.309,0.000222755051432172,4.138,0.000206282740156629,3.634,0.000189560861451354,3.475,0.000179995828240574,3.32,0.000184419476096486,2.861,0.000162297639916619
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3978.21,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Rent,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  DHL,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2.5,,2.6,,2.2,,2,,2,,1.8,,1.9,,1.8,,2.2,,2.1,,1.9,
  CEVA Logistics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1.4,,1.4,,1.3,,1.4,,1.3,,1.3,,1.3,,1.3,,1.4,,1.4,,1.3,
  Kuehne + Nagel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1.4,,1.4,,1.3,,1.3,,1.2,,1.1,,1.3,,1.2,,1.2,,1.3,,1.2,
  Geodis,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.9,,0.9,,1.1,,1,,0.9,,0.9,,0.9,,0.9,,1.1,,1.2,,1.2,
  Nippon Express Group,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.6,,0.6,,0.6,,0.6,,0.5,,0.5,,0.5,,0.4,,0.4,,0.4,,0.9,
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.5,,0.6,,0.5,,0.5,,0.5,,0.5,,0.5,,1,,0.9,
  Amazon.com,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.8,,1,,0.9,,0.9,,0.9,,1.1,,0.9,,1,,1,,1,,0.9,
"  Home Depot, Inc.",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.9,,0.9,,0.8,,0.9,,0.9,,0.9,,0.9,,0.9,,0.8,,0.8,,0.8,
  FedEx Corporation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.7,,0.7,,0.7,,0.8,,0.8,,0.8,,0.8,,0.8,,0.7,,0.8,,0.8,
  Tesco PLC,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.6,,0.6,,0.7,,0.7,,0.7,,0.6,,0.7,,0.7,,0.6,,0.6,,0.7,
  Hitachi,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.6,,0.5,,0.6,,0.8,,0.7,,0.8,,0.8,,0.8,,0.8,,0.7,,0.7,
  United States Government,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.7,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.7,,0.7,,0.7,
  PepsiCo,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.7,,0.7,,0.7,,0.8,,0.8,,0.7,,0.7,,0.7,,0.6,,0.6,,0.6,
  DB Schenker,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.6,,0.5,,0.4,,0.5,,0.4,,0.4,,0.4,,0.4,,0.5,,0.6,,0.6,
  ND Logistics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.4,,0.6,,0.5,,0.5,,0.5,,0.4,,0.5,,0.6,,0.5,
  Panalpina Inc,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,0.6,,0.5,,0.6,,0.6,,0.6,,0.6,,0.5,,0.6,,0.5,,0.5,
  Ingram Micro,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.5,,0.4,,0.5,,0.5,
  Bayerische Motoren Werke Ag (BMW),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.5,,0.5,,0.4,,0.5,,0.5,
  Con-Way (Menlo Logistics),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,
  Schneider Electic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.4,
  UTi,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,
  Rhenus AG & CO KG,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,—,,0.4,
  La Poste,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.5,,0.4,
  LG,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,,0.4,
  UPS,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.4,,0.4,,0.5,,0.5,,0.4,,0.4,,0.5,,0.4,,0.4,,0.4,
"  Panasonic Co., Ltd.",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.7,,0.8,,0.8,,0.7,,0.6,,0.6,,0.7,,—,,0.5,,0.6,,—,
  National Distribution Centers LP,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,0.4,,0.4,,—,,0.5,,—,,—,
  Caterpillar Logistics Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,—,,0.5,,—,,—,,—,,—,,—,,—,,—,,—,
  Sagawa Express,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,0.6,,0.6,,—,,—,,—,,—,,—,,—,,—,,—,
  Unilever,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,—,,—,,—,,—,,—,,—,,—,,—,
"  Kraft Foods, Inc.",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.6,,—,,—,,—,,—,,—,,—,,—,,—,
  APL (Neptune Orient Lines),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.5,,0.5,,0.4,,—,,—,,—,,—,,—,,—,,—,,—,
Net Operating Income( NOI),,—,,—,,—,,—,,—,,151.304,1.0,165.278,1.0,142.665,1.0,154.007,1.0,226.53,1.0,383.763,1.0,209.297,1.0,339.483,1.0,410.466,1.0,405.249,1.0,339.385,1.0,325.355,1.0,344.977,1.0,287.854,1.0,299.999,1.0,294.949,1.0,317.226,1.0,285.517,1.0
  Real Estate Operations,,—,,—,,—,,—,,—,,132.101,0.873083328927193,134.126,0.811517564346132,136.456,0.956478463533452,134.725,0.874797898796808,205.15,0.905619564737562,335.44,0.874081138619408,245.62,1.17354763804546,324.007,0.954413033936898,337.043,0.954901533030561,335.737,0.954554888675968,323.804,0.954090487204797,311.629,0.957812235865439,250.477,0.930867886382809,261.555,0.908637712173533,268.433,0.894779649265498,273.802,0.92830285913836,268.729,0.847121610460681,253.889,0.889225510214803
    Americas,,—,,—,,—,,—,,—,,107.363,0.709584677206154,104.991,0.635238809762945,100.505,0.704482529001507,102.453,0.665248982189121,135.72,0.599125943583631,196.812,0.512847773235044,139.68,0.667376981036518,198.489,0.58468023435636,210.748,0.597085797014401,210.004,0.597075522928685,203.799,0.60049501303829,216.128,0.66428362865178,216.666,0.805213338833577,225.664,0.783952976161526,240.595,0.801986006620022,253.461,0.85933839409525,243.269,0.766863371854766,230.515,0.807359982067618
