Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2000,,06/30/2000,,09/30/2000,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
    Non-U.S.,,2616,0.0425621918878024,2760,0.0427257809839314,2977,0.0427073321187255,3348,0.0420772169716469,3031,0.0449376565998013,2793,0.041643059490085,2787,0.0451562727847178,2621,0.0475085645924342,2518,0.0478852883006238,3048,0.049314004659591,3191,0.050268592762961,3246,0.0498426103646833,3973,0.0531576130586032,3790,0.0552881108679796,3729,0.0512838144485855,4143,0.0567588672886441,4580,0.0557252187032328,1484,0.0614263835423652
    United States,,2640,0.0429526707124612,2810,0.0434997987553794,2932,0.0420617728492117,2721,0.0341971646893223,2663,0.0394816824563744,2487,0.0370806619949307,1996,0.0323401221665938,1958,0.0354909460022839,2017,0.038357675338506,2571,0.0415965570799896,2500,0.0393831030734574,2469,0.0379117082533589,2763,0.036968156275087,2700,0.0393873085339169,2880,0.0396077730254562,2852,0.0390722398038168,3253,0.0395795057732787,1368,0.0566248603005091
  All Other Corporate,,256,,255,,315,,287,,277,,241,,259,,579,,75,,83,,101,,339,,86,,85,,93,,69,,97,,-91,
Net Income,,3025,1.0,4530,1.0,4490,1.0,8700,1.0,5000,1.0,4460,1.0,3180,1.0,2680,1.0,2090,1.0,2640,1.0,2640,1.0,4090,1.0,7040,1.0,4170,1.0,3650,1.0,6650,1.0,5440,1.0,5790,1.0
  Upstream,,2754,0.79988382224804,2765,0.67030303030303,3100,0.728212356119333,6504,0.75928087788933,3778,0.759091822382962,2850,0.64276048714479,2131,0.659956642923506,1977,0.616848673946958,2089,0.952576379388965,2230,0.774036792780285,2277,0.826497277676951,3234,0.782861292665214,5693,0.849321199462927,2838,0.641645941668551,2702,0.703096539162113,3269,0.72952465967418,4013,0.719046765812578,3846,0.645302013422819
    Non-U.S.,,1874,0.54429276793494,1679,0.407030303030303,1885,0.442800093962885,4260,0.497314966145225,2150,0.4319871408479,1739,0.392196662156067,1364,0.422421802415609,1550,0.483619344773791,1641,0.74829001367989,1553,0.539048941339813,1635,0.593466424682396,2469,0.597676107480029,4434,0.661494853050873,1931,0.436581505765318,1819,0.473328129065834,2413,0.538495871457264,2859,0.512273786059846,2609,0.437751677852349
    United States,,880,0.255591054313099,1086,0.263272727272727,1215,0.285412262156448,2244,0.261965911744105,1628,0.327104681535061,1111,0.250563824988723,767,0.237534840507897,427,0.133229329173167,448,0.204286365709074,677,0.234987851440472,642,0.233030852994555,765,0.185185185185185,1259,0.187826346412054,907,0.205064435903233,883,0.229768410096279,856,0.191028788216916,1154,0.206772979752732,1237,0.20755033557047
  Downstream,,369,0.107173976183561,998,0.241939393939394,893,0.209772140004698,1527,0.178262899836563,999,0.200723327305606,1267,0.28574650428507,942,0.291731186125736,1019,0.317940717628705,-28,-0.0127678978568171,382,0.132592849704964,125,0.0453720508166969,821,0.198741224885016,723,0.107862151275548,1146,0.259100158263622,911,0.237054384595368,736,0.164249051550993,1004,0.179896075972048,1507,0.252852348993289
    United States,,182,0.0528608771420273,594,0.144,392,0.0920836269673479,575,0.0671258463693673,409,0.0821780188868796,844,0.190347316193054,390,0.120780427376897,281,0.0876755070202808,14,0.00638394892840857,234,0.0812217979868101,42,0.0152450090744102,403,0.0975550714112806,174,0.0259585260331195,419,0.0947320822970834,371,0.0965391621129326,384,0.0856951573309529,392,0.0702383085468554,907,0.152181208053691
    Non-U.S.,,187,0.0543130990415335,404,0.0979393939393939,501,0.11768851303735,952,0.111137053467196,590,0.118545308418726,423,0.0953991880920162,552,0.170950758748839,738,0.230265210608424,-42,-0.0191518467852257,148,0.0513710517181534,83,0.0301270417422867,418,0.101186153473735,549,0.0819036252424288,727,0.164368075966539,540,0.140515222482436,352,0.0785538942200402,612,0.109657767425193,600,0.100671140939597
  Chemical Prime Product,,320,0.0929422015683996,362,0.0877575757575758,264,0.062015503875969,535,0.0624562222741069,200,0.0401848503114326,317,0.0714930085701398,156,0.0483121709507588,209,0.065210608424337,132,0.0601915184678523,269,0.0933703575147518,353,0.128130671506352,76,0.01839748244977,287,0.0428166492615247,439,0.0992539000678272,230,0.0598490762425189,476,0.106226288774827,564,0.101057158215374,607,0.101845637583893
    Non-U.S.,,139,0.0403717688062736,124,0.0300606060606061,132,0.0310077519379845,261,0.0304692972215737,155,0.0311432589913603,168,0.0378890392422192,80,0.0247754722824404,81,0.0252730109204368,62,0.0282717738258094,182,0.0631725095452968,197,0.0715063520871143,5,0.00121036068748487,271,0.0404296583619275,311,0.0703142663350667,205,0.053343741868332,264,0.0589154206650301,446,0.0799139939079018,459,0.0770134228187919
    United States,,181,0.0525704327621261,238,0.0576969696969697,132,0.0310077519379845,274,0.0319869250525333,45,0.00904159132007233,149,0.0336039693279206,76,0.0235366986683184,128,0.0399375975039002,70,0.0319197446420429,87,0.0301978479694551,156,0.0566243194192378,71,0.0171871217622852,16,0.0023869908995972,128,0.0289396337327606,25,0.00650533437418683,212,0.0473108681097969,118,0.0211431643074718,148,0.0248322147651007
  All Other Corporate,,-418,,405,,233,,134,,23,,26,,-49,,-525,,-103,,-241,,-115,,-41,,337,,-253,,-193,,2169,,-141,,-170,
Assets,,—,,—,,—,,149000,1.0,—,,—,,—,,143174,1.0,—,,—,,—,,152644,1.0,—,,—,,—,,174278,1.0,—,,—,
  Upstream,,—,,—,,—,,58451,0.440574357428205,—,,—,,—,,59797,0.469795652208072,—,,—,,—,,66425,0.475684075593844,—,,—,,—,,75433,0.485296293675251,—,,—,
    United States,,—,,—,,—,,18825,0.141893419763323,—,,—,,—,,18896,0.148456588861042,—,,—,,—,,19385,0.138820260525204,—,,—,,—,,19196,0.123496979483649,—,,—,
    Non-U.S.,,—,,—,,—,,39626,0.298680937664883,—,,—,,—,,40901,0.32133906334703,—,,—,,—,,47040,0.33686381506864,—,,—,,—,,56237,0.361799314191602,—,,—,
  All Other Corporate,,—,,—,,—,,16330,,—,,—,,—,,15891,,—,,—,,—,,13003,,—,,—,,—,,18841,,—,,—,
  Chemical Prime Product,,—,,—,,—,,18281,0.137793020275872,—,,—,,—,,17019,0.133709921984868,—,,—,,—,,18124,0.129789961401021,—,,—,,—,,19508,0.125504223576111,—,,—,
    Non-U.S.,,—,,—,,—,,10234,0.0771387653576543,—,,—,,—,,9524,0.0748253890935946,—,,—,,—,,10581,0.0757728747287688,—,,—,,—,,11786,0.0758249322876793,—,,—,
    United States,,—,,—,,—,,8047,0.0606542549182181,—,,—,,—,,7495,0.0588845328912738,—,,—,,—,,7543,0.0540170866722524,—,,—,,—,,7722,0.049679291288432,—,,—,
  Downstream,,—,,—,,—,,55938,0.421632622295922,—,,—,,—,,50467,0.39649442580706,—,,—,,—,,55092,0.394525963005135,—,,—,,—,,60496,0.389199482748638,—,,—,
    Non-U.S.,,—,,—,,—,,42422,0.319755785030527,—,,—,,—,,37617,0.29553828869527,—,,—,,—,,41530,0.29740548979168,—,,—,,—,,46060,0.296325842624343,—,,—,
    United States,,—,,—,,—,,13516,0.101876837265395,—,,—,,—,,12850,0.10095613711179,—,,—,,—,,13562,0.0971204732134545,—,,—,,—,,14436,0.0928736401242947,—,,—,
Capital Expenditures,,—,,—,,—,,—,,—,,—,,—,,-3863,,-2974,,-3393,,-3563,,-4025,,-3496,,-3831,,-3838,,-4360,,-3401,,-3617,
  All Other Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-55,,-5,
  Chemical Prime Product,,—,,—,,—,,—,,—,,—,,—,,-435,0.112606782293554,-317,0.106590450571621,-248,0.0730916592985558,-241,0.0676396295256806,-305,0.0757763975155279,-131,0.0374713958810069,-197,0.051422605063952,-191,0.0497655028660761,-237,0.0543577981651376,-132,0.0394500896592947,-148,0.0409745293466224
    United States,,—,,—,,—,,—,,—,,—,,—,,-212,0.0548796272327207,-193,0.0648957632817754,-137,0.040377247273799,-139,0.0390120684816166,-151,0.0375155279503106,-63,0.0180205949656751,-107,0.0279300443748369,-94,0.0244919228764982,-133,0.0305045871559633,-51,0.0152420800956366,-64,0.017718715393134
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,-223,0.0577271550608335,-124,0.0416946872898453,-111,0.0327144120247569,-102,0.028627561044064,-154,0.0382608695652174,-68,0.0194508009153318,-90,0.0234925606891151,-97,0.0252735799895779,-104,0.0238532110091743,-81,0.0242080095636581,-84,0.0232558139534884
  Downstream,,—,,—,,—,,—,,—,,—,,—,,-773,0.200103546466477,-392,0.131809011432414,-585,0.172413793103448,-634,0.17793993825428,-839,0.208447204968944,-581,0.166189931350114,-713,0.186113286348212,-668,0.174048983845753,-819,0.187844036697248,-510,0.152420800956366,-624,0.172757475083056
    United States,,—,,—,,—,,—,,—,,—,,—,,-276,0.0714470618690137,-149,0.0501008742434432,-250,0.0736811081638668,-257,0.0721302273365142,-324,0.0804968944099379,-308,0.0881006864988558,-333,0.0869224745497259,-312,0.0812923397602918,-291,0.066743119266055,-202,0.0603705917513449,-196,0.0542635658914729
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,-497,0.128656484597463,-243,0.0817081371889711,-335,0.0987326849395815,-377,0.105809710917766,-515,0.127950310559006,-273,0.0780892448512586,-380,0.099190811798486,-356,0.0927566440854612,-528,0.121100917431193,-308,0.0920502092050209,-428,0.118493909191584
  Upstream,,—,,—,,—,,—,,—,,—,,—,,-2655,0.687289671239969,-2265,0.761600537995965,-2560,0.754494547597996,-2688,0.754420432220039,-2881,0.715776397515528,-2784,0.796338672768879,-2921,0.762464108587836,-2979,0.776185513288171,-3304,0.757798165137615,-2704,0.808129109384339,-2840,0.786267995570321
    United States,,—,,—,,—,,—,,—,,—,,—,,-667,0.172663732850116,-586,0.197041022192334,-568,0.167403477748305,-619,0.173730002806624,-584,0.145093167701863,-489,0.13987414187643,-526,0.137300965805273,-539,0.140437727983325,-571,0.130963302752294,-455,0.135983263598326,-464,0.128460686600221
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,-1988,0.514625938389852,-1679,0.564559515803632,-1992,0.587091069849691,-2069,0.580690429413416,-2297,0.570683229813665,-2295,0.656464530892448,-2395,0.625163142782563,-2440,0.635747785304846,-2733,0.626834862385321,-2249,0.672145845786013,-2376,0.6578073089701
Total Refining Inputs (mbpd),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5603,1.0,5596,1.0,5589,1.0
  Refinery Throughput,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5603,1.0,5596,1.0,5589,1.0
Total Refining Outputs (mbpd),,—,,—,,—,,—,,—,,—,,—,,—,,7675,1.0,7569,1.0,7763,1.0,8017,1.0,7861,1.0,7800,1.0,7935,1.0,8237,1.0,8126,1.0,8023,1.0
"  Gasoline, naphthas",,—,,—,,—,,—,,—,,—,,—,,—,,3083,0.401693811074919,3143,0.415246399788611,3253,0.419039031302332,3224,0.402145440938007,3035,0.386083195522198,3263,0.418333333333333,3308,0.416887208569628,3342,0.405730241592813,3157,0.388506030027074,3302,0.411566745606382
"  Heating oils, kerosene, diesel oils",,—,,—,,—,,—,,—,,—,,—,,—,,2383,0.310488599348534,2173,0.287092086140838,2206,0.28416849156254,2406,0.300112261444431,2517,0.320188271212314,2284,0.292820512820513,2360,0.297416509136736,2568,0.311763991744567,2651,0.326236770858971,2360,0.294154306369189
  Specialty petroleum products,,—,,—,,—,,—,,—,,—,,—,,—,,946,0.123257328990228,1020,0.134760206103845,999,0.128687363132809,1009,0.125857552700511,1007,0.128100750540644,982,0.125897435897436,969,0.122117202268431,992,0.120432196187932,1017,0.125153827221265,1033,0.128754829864141
  Aviation fuels,,—,,—,,—,,—,,—,,—,,—,,—,,663,0.0863843648208469,674,0.0890474303078346,728,0.0937781785392245,698,0.0870649869028315,660,0.0839587838697367,643,0.0824358974358975,672,0.0846880907372401,673,0.0817045040670147,659,0.0810977110509476,679,0.0846316839087623
