In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
    United States,,3926,0.0879499988799032,4329,0.103300164650297,4278,0.0943308857577562,5219,0.0991752812404986,6852,0.114173359549438,6253,0.12406007578914,7378,0.122682452318795,6793,0.114310234577458,7470,0.122402831487186,6489,0.148353909465021,7022,0.132992424242424,8073,0.12906062156286,7252,0.117511707419831,3611,0.0629620588645557,9833,0.13169843161941,12111,0.127923189048736,11036,0.125404815744918,5665,0.131301425425889,4402,0.11025949303677,4270,0.0909439427500426,4985,0.0933625500992621,5926,0.101835303821831,6593,0.117449006858466,5722,0.0945066560961913,5892,0.101969471461701,5948,0.0950129388837418,6666,0.0933600369742721,7357,0.0907196409194042,6891,0.092376369022883,6824,0.0951942526330474,6201,0.0849591713706363,5732,0.0789303369548753,5579,0.0815464444931667,6133,0.0884150736672145,6267,0.0933005806163466,6413,0.0951568388877348,6396,0.0909323551991811,5841,0.0863976570126912,6745,0.106992163954189,5965,0.0855638752617839
  All Other,,342,0.00766146195031251,305,0.00727802037845706,233,0.00513770368900355,304,0.00577683186378839,306,0.00509881027760189,1186,0.0235303454159475,271,0.00450622724022681,332,0.00558678019722007,364,0.00596447532280265,337,0.00770461819844536,288,0.00545454545454545,393,0.00628277273308607,307,0.00497464067538444,173,0.00301645975728832,343,0.00459397559701592,458,0.00483765342121385,467,0.0053066372737293,549,0.0127245335496581,299,0.00748922953611863,437,0.0093073777474868,492,0.00921451848522306,473,0.00812826505361562,309,0.0055045871559633,399,0.00659003072044396,426,0.00737253816067287,485,0.00774735631449474,375,0.00525202728253106,409,0.00504340534674953,413,0.00553641567355256,447,0.00623561414521867,338,0.004630898229846,449,0.00618278459398796,435,0.00635825476869108,508,0.00732347259464291,384,0.00571683787405091,458,0.00679585719797015,503,0.00715118428161165,571,0.00844599591752211,394,0.00624980171948859,494,0.00708609461514187
    United States,,250,0.00560048388180739,283,0.00675304841673229,213,0.00469669908050539,283,0.00537777439951353,284,0.00473222914653248,783,0.0155347895958574,258,0.0042900613578543,313,0.0052670548244876,347,0.0056859146621223,319,0.0072930955647005,271,0.00513257575757576,372,0.00594705205269216,286,0.0046343558083386,172,0.00299902357372018,325,0.00435289232953404,439,0.00463696474216786,448,0.00509073554310649,520,0.0120523815042299,286,0.00716361086063521,421,0.00896660419151474,473,0.0088586732591677,448,0.00769865273577124,294,0.00523737418722722,381,0.00629273610147656,413,0.0071475546017791,469,0.00749177342576914,365,0.00511197322166356,397,0.00489543257373976,401,0.00537555129562851,435,0.00606821510776313,326,0.00446648764180413,436,0.00600377301331571,424,0.00619747131477015,492,0.00709281204048093,378,0.00562751228226887,449,0.00666231415259519,494,0.00702323068611561,561,0.00829808005206639,389,0.00617048951492656,486,0.0069713400464756
    International,,92,0.00206097806850512,22,0.000524971961724771,20,0.000441004608498159,21,0.000399057464274856,22,0.000366581131069417,403,0.00799555582009007,13,0.000216165882372504,19,0.000319725372732474,17,0.000278560660680343,18,0.000411522633744856,17,0.000321969696969697,21,0.000335720680393912,21,0.000340284867045841,1,1.74361835681406e-05,18,0.000241083267481885,19,0.000200688679045989,19,0.00021590173062282,29,0.000672152045428207,13,0.000325618675483419,16,0.000340773555972057,19,0.000355845226055362,25,0.000429612317844377,15,0.000267212968736083,18,0.000297294618967397,13,0.000224983558893773,16,0.0002555828887256,10,0.000140054060867495,12,0.000147972773009766,12,0.000160864377924045,12,0.000167399037455535,12,0.00016441058804187,13,0.000179011580672257,11,0.000160783453920924,16,0.000230660554161981,6,8.93255917820455e-05,9,0.000133543045374959,9,0.000127953595496033,10,0.000147915865455729,5,7.9312204562038e-05,8,0.000114754568666265
  Reconciliation,,-7081,,—,,-7026,,-7539,,-8905,,—,,-8730,,-9689,,-10573,,—,,-8912,,-10817,,-10718,,—,,-12541,,-16364,,-14388,,—,,-6847,,-9339,,-10293,,-12690,,-11466,,-11696,,-11410,,-12886,,-15123,,-16689,,-15310,,-15371,,-15879,,-14770,,-14918,,-15243,,-14907,,-14195,,-15958,,-15784,,-14010,,-16251,
  Chemicals,,358,0.00801989291874818,341,0.00813706540673396,360,0.00793808295296686,390,0.00741106719367589,363,0.00604858866264538,158,0.00313473404360852,392,0.00651823276077088,460,0.00774071955036516,465,0.00761945336566822,482,0.0110196616369456,462,0.00875,518,0.00828111011638317,496,0.00803720447879701,322,0.00561445110894128,525,0.00703159530155499,575,0.00607347318165494,589,0.00669295364930741,478,0.011078919921196,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,217,0.00486122000940881,201,0.00479633474121269,217,0.00478490000220502,233,0.00442763757981149,236,0.00393241576965375,74,0.00146816657738627,247,0.00410715176507757,297,0.00499781240534446,304,0.0049813200498132,334,0.00763603109282122,311,0.00589015151515151,346,0.00553139787696636,361,0.00584965890493089,125,0.00217952294601758,393,0.00526365134002116,429,0.00453133912161734,443,0.00503391929820574,332,0.00769498203731603,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    United States,,141,0.00315867290933937,140,0.00334073066552127,143,0.00315318295076184,157,0.0029834296138644,127,0.00211617289299164,84,0.00166656746622225,145,0.00241108099569331,163,0.0027429071450207,161,0.00263813331585502,148,0.00338363054412437,151,0.00285984848484849,172,0.00274971223941681,135,0.00218754557386612,197,0.0034349281629237,132,0.00176794396153383,146,0.0015421340600376,146,0.00165903435110167,146,0.00338393788387994,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Intersegment Revenue,,5041,1.0,4736,1.0,4910,1.0,-5377,,6585,1.0,6892,1.0,6615,1.0,7273,1.0,-10004,,20079,1.0,6498,1.0,8208,1.0,-4580,,13085,1.0,10004,1.0,13712,1.0,11811,1.0,5812,1.0,4937,1.0,7305,1.0,8214,1.0,9500,1.0,9394,1.0,9495,1.0,9228,1.0,10750,1.0,12989,1.0,14425,1.0,13336,1.0,13658,1.0,14092,1.0,-12841,,-12755,,13112,1.0,12874,1.0,12087,1.0,13735,1.0,13656,1.0,12064,1.0,14131,1.0
  Upstream,,4696,0.931561198174965,4486,0.947212837837838,4676,0.95234215885947,-5103,0.949042216849544,6273,0.952619589977221,6251,0.906993615786419,6183,0.93469387755102,6851,0.941977175855905,-9621,0.96171531387445,18926,0.942576821554858,6129,0.943213296398892,7773,0.947002923976608,-4744,1.03580786026201,12626,0.964921666029805,9621,0.96171531387445,13181,0.9612747957993,11301,0.956819913639827,5243,0.902099105299381,4749,0.961920194450071,6992,0.957152635181383,7880,0.959337716094473,9153,0.963473684210526,9178,0.97700659995742,9183,0.967140600315956,8922,0.966840052015605,10390,0.966511627906977,12718,0.979136192162599,14094,0.977053726169844,13005,0.975179964007199,13310,0.974520427588227,13823,0.980911155265399,-12466,0.970796666926252,-12371,0.969894159153273,12663,0.965756558877364,12550,0.974832996737611,11666,0.965169190038885,13120,0.955223880597015,12563,0.919961921499707,9694,0.80354774535809,10857,0.768310806029297
