In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
    United States,,52,0.010315413608411,53,0.0111908783783784,52,0.0105906313645621,-61,0.0113446159568533,50,0.00759301442672741,78,0.0113174695298897,55,0.00831443688586546,61,0.00838718548054448,-58,0.00579768092762895,173,0.00861596693062404,52,0.0080024622960911,66,0.00804093567251462,-46,0.0100436681222707,71,0.00542606037447459,58,0.00579768092762895,71,0.0051779463243874,60,0.00508001016002032,77,0.0132484514796972,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Including Intersegment Revenue,,44639,1.0,46408,1.0,45351,1.0,52624,1.0,60014,1.0,59468,1.0,60139,1.0,59426,1.0,61028,1.0,48393,1.0,52800,1.0,62552,1.0,61713,1.0,26906,1.0,74663,1.0,94674,1.0,88003,1.0,48900,1.0,39924,1.0,46952,1.0,53394,1.0,58192,1.0,56135,1.0,60546,1.0,57782,1.0,62602,1.0,71401,1.0,81096,1.0,74597,1.0,71685,1.0,72988,1.0,72621,1.0,68415,1.0,69366,1.0,67170,1.0,67394,1.0,70338,1.0,67606,1.0,63042,1.0,69714,1.0
  Downstream,,35415,0.793364546696835,36839,0.793807102223755,35751,0.788317787920884,41312,0.785041045910611,45753,0.762372113173593,43381,0.729484764915585,44681,0.742962137714295,43405,0.730404200181739,44329,0.72637150160582,33639,0.695121195214184,37650,0.713068181818182,44849,0.716987466427932,45361,0.735031516860305,39853,1.48119378577269,53523,0.716861095857386,67750,0.715613579229778,63616,0.722884447121121,35049,0.716748466257669,28818,0.721821460775473,34688,0.738797069347419,39582,0.74131924935386,42109,0.723621803684355,39685,0.706956444286096,44315,0.73192283553001,41480,0.717870617147208,44677,0.713667294974601,51491,0.721152364812818,58792,0.724967939232515,53535,0.717656206013647,50481,0.70420590081607,51934,0.711541623280539,53255,0.733327825284697,49600,0.724987210407074,49673,0.716100106680506,47608,0.708768795593271,48777,0.723758791583821,50440,0.717108817424436,48209,0.713087595775523,44022,0.698296373846007,49801,0.714361534268583
    International,,19147,0.428929859539864,19874,0.428245130149974,19143,0.422107561024013,21739,0.413100486470052,23149,0.385726663778452,23389,0.393303961794579,23926,0.397844992434194,23972,0.403392454481204,25344,0.415284787310743,18083,0.373669745624367,21947,0.415662878787879,25602,0.409291469497378,25750,0.417254063163353,23879,0.887497212517654,31369,0.420141167646626,39793,0.420316031856687,35924,0.408213356362851,20144,0.411942740286299,17379,0.435302073940487,19453,0.414316749020276,21557,0.403734502003971,23977,0.412032581798185,21967,0.391324485615035,25093,0.414445215208271,23042,0.398774704925409,25020,0.399667742244657,30057,0.420960490749429,34180,0.421475781789484,30407,0.407616928294704,28577,0.398646857780568,29250,0.400750808352058,30598,0.421338180416133,28042,0.409880874077322,28815,0.415405241761093,27178,0.404615155575406,27222,0.403923197910793,28015,0.39829110864682,27516,0.407005295387983,23804,0.37758954347895,28599,0.410233238660814
    United States,,16268,0.36443468715697,16965,0.36556197207378,16608,0.366210226896871,19573,0.371940559440559,22604,0.376645449395141,19992,0.336180803121006,20755,0.345117145280101,19433,0.327011745700535,18985,0.311086714295078,15556,0.321451449589817,15703,0.297405303030303,19247,0.307695996930554,19611,0.317777453696952,15974,0.593696573255036,22154,0.29671992821076,27957,0.295297547373091,27692,0.31467109075827,14905,0.30480572597137,11439,0.286519386834986,15235,0.324480320327143,18025,0.33758474734989,18132,0.31158922188617,17718,0.315631958671061,19222,0.317477620321739,18438,0.319095912221799,19657,0.313999552729945,21434,0.300191874063388,24612,0.30349215744303,23128,0.310039277718943,21904,0.305559043035503,22684,0.310790814928481,22657,0.311989644868564,21558,0.315106336329752,20858,0.300694864919413,20430,0.304153640017865,21555,0.319835593673027,22425,0.318817708777617,20693,0.30608230038754,20218,0.320706830367057,21202,0.304128295607769
  Upstream,,8524,0.190954098434105,8923,0.19227288398552,9007,0.198606425437146,10618,0.201771055031925,13592,0.22648048788616,15373,0.258508777830094,14795,0.246013402284707,15229,0.256268300070676,15870,0.260044569705709,13935,0.28795486950592,14400,0.272727272727273,16792,0.268448650722599,15549,0.251956637985514,-12792,-0.475432988924403,20272,0.271513333244043,25891,0.273475294167353,23331,0.265115961955842,12824,0.262249488752556,10807,0.270689309688408,11827,0.251895552905095,13320,0.249466232160917,15610,0.268249931262029,16141,0.287538968557941,15832,0.261487133749546,15876,0.274756844692119,17440,0.278585348710904,19535,0.273595607904651,21895,0.269988655420736,20649,0.276807378312801,20757,0.289558485038711,20716,0.283827478489615,18917,0.260489390121315,18380,0.268654534824234,19185,0.276576420724851,19178,0.285514366532678,18159,0.269445351218209,19395,0.275739998293952,18826,0.278466408306955,18626,0.295453824434504,19419,0.278552371116275
    International,,4598,0.103004099554201,4594,0.0989915531804861,4729,0.10427553967939,5399,0.102595773791426,6740,0.112307128336721,6975,0.117289971076882,7417,0.123330949965912,8436,0.141958065493218,8400,0.137641738218523,7446,0.15386522844213,7378,0.139734848484848,8719,0.139388029159739,8297,0.134444930565683,-9181,-0.341225005574965,10439,0.139814901624633,13780,0.145552105118618,12295,0.139711146210925,7159,0.14640081799591,6405,0.160429816651638,7557,0.160951610155052,8335,0.156103682061655,9684,0.166414627440198,9548,0.170089961699474,10110,0.166980477653354,9984,0.172787373230418,11492,0.183572409827162,12869,0.180235570930379,14538,0.179269014501332,13758,0.184431009289918,13933,0.194364232405664,14515,0.198868307118978,13185,0.181559053166439,12801,0.187108090331068,13052,0.188161347057636,12911,0.192213785916332,11746,0.174288512330475,12999,0.184807643094771,12985,0.192068751294264,11881,0.188461660480315,13454,0.192988495854491
    United States,,3926,0.0879499988799032,4329,0.0932813308050336,4278,0.0943308857577562,5219,0.0991752812404986,6852,0.114173359549438,8398,0.141218806753212,7378,0.122682452318795,6793,0.114310234577458,7470,0.122402831487186,6489,0.13408964106379,7022,0.132992424242424,8073,0.12906062156286,7252,0.117511707419831,-3611,-0.134207983349439,9833,0.13169843161941,12111,0.127923189048736,11036,0.125404815744918,5665,0.115848670756646,4402,0.11025949303677,4270,0.0909439427500426,4985,0.0933625500992621,5926,0.101835303821831,6593,0.117449006858466,5722,0.0945066560961913,5892,0.101969471461701,5948,0.0950129388837418,6666,0.0933600369742721,7357,0.0907196409194042,6891,0.092376369022883,6824,0.0951942526330474,6201,0.0849591713706363,5732,0.0789303369548753,5579,0.0815464444931667,6133,0.0884150736672145,6267,0.0933005806163466,6413,0.0951568388877348,6396,0.0909323551991811,5841,0.0863976570126912,6745,0.106992163954189,5965,0.0855638752617839
  All Other,,342,0.00766146195031251,305,0.00657214273401138,233,0.00513770368900355,304,0.00577683186378839,306,0.00509881027760189,338,0.00568372906437075,271,0.00450622724022681,332,0.00558678019722007,364,0.00596447532280265,337,0.00696381708098279,288,0.00545454545454545,393,0.00628277273308607,307,0.00497464067538444,-173,-0.00642979261131346,343,0.00459397559701592,458,0.00483765342121385,467,0.0053066372737293,549,0.0112269938650307,299,0.00748922953611863,437,0.0093073777474868,492,0.00921451848522306,473,0.00812826505361562,309,0.0055045871559633,399,0.00659003072044396,426,0.00737253816067287,485,0.00774735631449474,375,0.00525202728253106,409,0.00504340534674953,413,0.00553641567355256,447,0.00623561414521867,338,0.004630898229846,449,0.00618278459398796,435,0.00635825476869108,508,0.00732347259464291,384,0.00571683787405091,458,0.00679585719797015,503,0.00715118428161165,571,0.00844599591752211,394,0.00624980171948859,494,0.00708609461514187
    United States,,250,0.00560048388180739,283,0.006098086536804,213,0.00469669908050539,283,0.00537777439951353,284,0.00473222914653248,331,0.00556601869913231,258,0.0042900613578543,313,0.0052670548244876,347,0.0056859146621223,319,0.00659186245944661,271,0.00513257575757576,372,0.00594705205269216,286,0.0046343558083386,-172,-0.00639262618003419,325,0.00435289232953404,439,0.00463696474216786,448,0.00509073554310649,520,0.0106339468302659,286,0.00716361086063521,421,0.00896660419151474,473,0.0088586732591677,448,0.00769865273577124,294,0.00523737418722722,381,0.00629273610147656,413,0.0071475546017791,469,0.00749177342576914,365,0.00511197322166356,397,0.00489543257373976,401,0.00537555129562851,435,0.00606821510776313,326,0.00446648764180413,436,0.00600377301331571,424,0.00619747131477015,492,0.00709281204048093,378,0.00562751228226887,449,0.00666231415259519,494,0.00702323068611561,561,0.00829808005206639,389,0.00617048951492656,486,0.0069713400464756
    International,,92,0.00206097806850512,22,0.000474056197207378,20,0.000441004608498159,21,0.000399057464274856,22,0.000366581131069417,7,0.000117710365238448,13,0.000216165882372504,19,0.000319725372732474,17,0.000278560660680343,18,0.000371954621536173,17,0.000321969696969697,21,0.000335720680393912,21,0.000340284867045841,-1,-3.71664312792686e-05,18,0.000241083267481885,19,0.000200688679045989,19,0.00021590173062282,29,0.000593047034764826,13,0.000325618675483419,16,0.000340773555972057,19,0.000355845226055362,25,0.000429612317844377,15,0.000267212968736083,18,0.000297294618967397,13,0.000224983558893773,16,0.0002555828887256,10,0.000140054060867495,12,0.000147972773009766,12,0.000160864377924045,12,0.000167399037455535,12,0.00016441058804187,13,0.000179011580672257,11,0.000160783453920924,16,0.000230660554161981,6,8.93255917820455e-05,9,0.000133543045374959,9,0.000127953595496033,10,0.000147915865455729,5,7.9312204562038e-05,8,0.000114754568666265
  Chemicals,,358,0.00801989291874818,341,0.00734787105671436,360,0.00793808295296686,390,0.00741106719367589,363,0.00604858866264538,376,0.0063227281899509,392,0.00651823276077088,460,0.00774071955036516,465,0.00761945336566822,482,0.00996011819891307,462,0.00875,518,0.00828111011638317,496,0.00803720447879701,18,0.000668995763026834,525,0.00703159530155499,575,0.00607347318165494,589,0.00669295364930741,478,0.00977505112474438,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,217,0.00486122000940881,201,0.00433114980175832,217,0.00478490000220502,233,0.00442763757981149,236,0.00393241576965375,219,0.00368265285531715,247,0.00410715176507757,297,0.00499781240534446,304,0.0049813200498132,334,0.00690182464406009,311,0.00589015151515151,346,0.00553139787696636,361,0.00584965890493089,125,0.00464580390990857,393,0.00526365134002116,429,0.00453133912161734,443,0.00503391929820574,332,0.00678936605316973,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    United States,,141,0.00315867290933937,140,0.00301672125495604,143,0.00315318295076184,157,0.0029834296138644,127,0.00211617289299164,157,0.00264007533463375,145,0.00241108099569331,163,0.0027429071450207,161,0.00263813331585502,148,0.00305829355485297,151,0.00285984848484849,172,0.00274971223941681,135,0.00218754557386612,-107,-0.00397680814688174,132,0.00176794396153383,146,0.0015421340600376,146,0.00165903435110167,146,0.00298568507157464,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Income,,3201,1.0,3440,1.0,2677,1.0,3684,1.0,3594,1.0,4144,1.0,3996,1.0,4353,1.0,5017,1.0,4058,1.0,4715,1.0,5380,1.0,3718,1.0,3756,1.0,5168,1.0,5975,1.0,7893,1.0,6861,1.0,1837,1.0,1745,1.0,3831,1.0,3070,1.0,4552,1.0,5409,1.0,3768,1.0,5295,1.0,6211,1.0,7732,1.0,7829,1.0,5123,1.0,6471,1.0,7210,1.0,5253,1.0,5875,1.0,6178,1.0,5347,1.0,4933,1.0,4930,1.0,4512,1.0,5665,1.0
  Upstream,,2324,0.726023117775695,2227,0.647383720930233,2379,0.888681359731042,2772,0.752442996742671,3323,0.924596549805231,3250,0.784266409266409,3458,0.865365365365365,3272,0.75166551803354,3503,0.698226031492924,2909,0.716855593888615,2907,0.616542948038176,3639,0.67639405204461,3431,0.9228079612695,3720,0.990415335463259,5128,0.992260061919505,7248,1.21305439330544,6182,0.783225642974788,3152,0.459408249526308,1378,0.750136091453457,1657,0.949570200573066,3736,0.975202297050379,4161,1.35537459283388,4724,1.0377855887522,4542,0.839711591791459,3564,0.945859872611465,4847,0.915391879131256,5977,0.962324907422315,6871,0.888644593895499,6201,0.792055179460978,5737,1.11985164942417,6171,0.953639313861845,5620,0.779472954230236,5139,0.97829811536265,6858,1.16731914893617,5916,0.957591453544837,4949,0.925565737796895,5092,1.03223190756132,4852,0.984178498985801,4307,0.954565602836879,5264,0.929214474845543
    International,,1218,0.380506091846298,1268,0.368604651162791,1612,0.602166604407919,1800,0.488599348534202,2117,0.589037284362827,2027,0.489140926640927,2244,0.561561561561562,2371,0.544681828623938,2234,0.445286027506478,2023,0.498521439132578,2111,0.447720042417816,2416,0.44907063197026,2296,0.617536309844002,3461,0.921458998935037,3529,0.682856037151703,5057,0.846359832635983,3995,0.506144685164069,2003,0.291939950444542,1351,0.735438214480131,1377,0.789111747851003,2847,0.743148003132341,3095,1.00814332247557,3568,0.783831282952548,3452,0.638195599926049,2618,0.6947983014862,3917,0.73975448536355,4528,0.729029141845113,4921,0.636445938954992,4693,0.599437986971516,4132,0.806558657036892,4642,0.717354350177716,4302,0.596671289875173,4017,0.764705882352941,5495,0.93531914893617,4784,0.77436063450955,3866,0.723022255470357,4066,0.824244881410906,4049,0.821298174442191,3395,0.752437943262411,4210,0.743159752868491
    United States,,1106,0.345517025929397,959,0.278779069767442,767,0.286514755323123,972,0.263843648208469,1206,0.335559265442404,1223,0.295125482625483,1214,0.303803803803804,901,0.206983689409603,1269,0.252940003986446,886,0.218334154756037,796,0.168822905620361,1223,0.227323420074349,1135,0.305271651425498,259,0.0689563365282215,1599,0.309404024767802,2191,0.366694560669456,2187,0.277080957810718,1149,0.167468299081766,27,0.0146978769733261,280,0.160458452722063,889,0.232054293918037,1066,0.347231270358306,1156,0.253954305799649,1090,0.201515991865409,946,0.251061571125265,930,0.175637393767705,1449,0.233295765577202,1950,0.252198654940507,1508,0.192617192489462,1605,0.313292992387273,1529,0.236284963684129,1318,0.182801664355062,1122,0.213592233009709,1363,0.232,1132,0.183230819035287,1083,0.202543482326538,1026,0.207987026150416,803,0.162880324543611,912,0.202127659574468,1054,0.186054721977052
  Downstream,,490,0.153077163386442,1076,0.312790697674419,409,0.152782966006724,976,0.264929424538545,573,0.159432387312187,808,0.194980694980695,580,0.145145145145145,998,0.229267172065242,1441,0.28722344030297,1293,0.318629866929522,1623,0.344220572640509,1298,0.241263940520446,377,0.101398601398601,204,0.0543130990415335,252,0.0487616099071207,-734,-0.122845188284519,1831,0.231977701761054,2080,0.303162804255939,753,0.409907457811649,131,0.0750716332378223,262,0.0683894544505351,-673,-0.219218241042345,196,0.0430579964850615,975,0.180255130338325,565,0.149946921443737,742,0.140132200188857,622,0.100144904202222,1044,0.135023279875841,1986,0.253672244220207,-61,-0.0119070856919774,804,0.124246638850255,1881,0.260887656033287,689,0.131163144869598,925,0.157446808510638,701,0.113467141469731,766,0.143257901627081,380,0.0770322319075613,390,0.0791075050709939,710,0.157358156028369,721,0.127272727272727
    United States,,96,0.0299906279287723,372,0.108139534883721,58,0.0216660440791931,398,0.108034744842562,139,0.0386755703951029,385,0.0929054054054054,210,0.0525525525525526,554,0.127268550424994,831,0.16563683476181,682,0.168063085263677,350,0.0742311770943796,781,0.145167286245353,-110,-0.029585798816568,-55,-0.014643237486688,4,0.000773993808049536,-682,-0.114142259414226,1014,0.128468263017864,1033,0.15056114269057,136,0.0740337506804573,-51,-0.0292263610315186,127,0.0331506134168624,-333,-0.108469055374593,82,0.0180140597539543,433,0.080051765575892,349,0.0926220806794055,475,0.0897072710103872,442,0.071164063757849,564,0.0729436109674082,704,0.0899220845574147,-204,-0.0398204177239899,459,0.0709318497913769,802,0.11123439667129,456,0.0868075385494003,331,0.0563404255319149,135,0.0218517319520881,138,0.025808864783991,249,0.0504763835394283,265,0.0537525354969574,422,0.0935283687943262,517,0.0912621359223301
    International,,394,0.123086535457669,704,0.204651162790698,351,0.131116921927531,578,0.156894679695983,434,0.120756816917084,423,0.10207528957529,370,0.0925925925925926,444,0.101998621640248,610,0.12158660554116,611,0.150566781665845,1273,0.269989395546129,517,0.0960966542750929,487,0.130984400215169,259,0.0689563365282215,248,0.0479876160990712,-52,-0.00870292887029289,817,0.10350943874319,1047,0.152601661565369,617,0.335873707131192,182,0.104297994269341,135,0.0352388410336727,-340,-0.110749185667752,114,0.0250439367311072,542,0.100203364762433,216,0.0573248407643312,267,0.0504249291784703,180,0.0289808404443729,480,0.0620796689084325,1282,0.163750159662792,143,0.0279133320320125,345,0.0533147890588781,1079,0.149653259361997,233,0.044355606320198,594,0.101106382978723,566,0.0916154095176433,628,0.11744903684309,131,0.026555848368133,125,0.0253549695740365,288,0.0638297872340425,204,0.0360105913503972
  All Other,,16,0.00499843798812871,62,0.0180232558139535,-248,-0.0926410160627568,-148,-0.0401737242128122,-308,-0.0856983861992209,15,0.00361969111969112,-195,-0.0487987987987988,-11,-0.00252699287847462,-95,-0.0189356188957544,-421,-0.103745687530803,65,0.0137857900318134,339,0.0630111524163569,-193,-0.0519096288327058,-237,-0.0630990415335463,-296,-0.0572755417956656,-580,-0.097071129707113,-190,-0.0240719624984163,1601,0.233347908468153,-294,-0.160043549265106,-43,-0.0246418338108883,-167,-0.0435917515009136,-418,-0.136156351791531,-368,-0.0808435852372583,-108,-0.0199667221297837,-361,-0.0958067940552017,-294,-0.0555240793201133,-388,-0.0624698116245371,-183,-0.0236678737713399,-358,-0.0457274236811853,-553,-0.107944563732188,-504,-0.0778859527121001,-291,-0.0403606102635229,-575,-0.109461260232248,-1908,-0.324765957446808,-439,-0.0710585950145678,-368,-0.0688236394239761,-539,-0.109264139468883,-312,-0.0632860040567951,-505,-0.111923758865248,-320,-0.0564872021182701
    United States,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20,0.00309071240921032,—,,—,,—,,21,0.00339915830365814,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-524,-0.0809766651213105,—,,—,,—,,-460,-0.074457753318226,—,,—,,—,,—,,—,
  Adjustment,,265,0.0827866291783818,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Chemicals,,106,0.0331146516713527,75,0.0218023255813953,137,0.0511766903249907,84,0.0228013029315961,6,0.00166944908180301,71,0.0171332046332046,153,0.0382882882882883,94,0.0215943027796922,168,0.0334861470998605,277,0.0682602267126663,120,0.0254506892895016,104,0.0193308550185874,103,0.0277030661646046,69,0.018370607028754,84,0.0162538699690402,41,0.00686192468619247,70,0.00886861776257443,28,0.00408103774959918,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,21,0.0065604498594189296,75,0.0218023255813953,8,0.00298841987299216,84,0.0228013029315961,13,0.00361713967723984,71,0.0171332046332046,19,0.00475475475475476,24,0.00551343900758098,34,0.00677695834163843,277,0.0682602267126663,41,0.00869565217391304,44,0.00817843866171004,33,0.00887573964497041,69,0.018370607028754,42,0.00812693498452012,40,0.00669456066945607,70,0.00886861776257443,20,0.00291502696399942,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    United States,,85,0.0265542018119338,0,,129,0.0481882704519985,0,,-7,-0.00194769059543684,—,,134,0.0335335335335335,70,0.0160808637721112,134,0.026709188758222,0,,79,0.0167550371155885,60,0.0111524163568773,70,0.0188273265196342,0,,42,0.00812693498452012,1,0.000167364016736402,0,,8,0.00116601078559977,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Property/Plant/Equipment,,—,,44458,1.0,—,,—,,—,,63690,1.0,—,,—,,—,,68858,1.0,—,,—,,—,,78610,1.0,—,,—,,—,,91780,1.0,—,,—,,—,,96468,1.0,—,,—,,—,,104504,1.0,—,,—,,—,,122608,1.0,—,,—,,—,,141348,1.0,—,,—,,—,,164829,1.0,—,,—,
  All Other,,—,,1481,0.0333123397363804,—,,—,,—,,1670,0.026220756790705,—,,—,,—,,1728,0.0250951232972204,—,,—,,—,,2193,0.0278972140948989,—,,—,,—,,2534,0.0276095009806058,—,,—,,—,,2559,0.0265269312103495,—,,—,,—,,2512,0.0240373574217255,—,,—,,—,,2886,0.0235384314237244,—,,—,,—,,2858,0.0202195998528455,—,,—,,—,,3278,0.0198872771174975,—,,—,
    United States,,—,,1466,0.032974942642494,—,,—,,—,,1655,0.0259852410111478,—,,—,,—,,1709,0.0248191931220773,—,,—,,—,,2179,0.0277191197048722,—,,—,,—,,2523,0.0274896491610373,—,,—,,—,,2548,0.0264129037608326,—,,—,,—,,2496,0.023884253234326,—,,—,,—,,2872,0.0234242463787029,—,,—,,—,,2845,0.0201276282649914,—,,—,,—,,3194,0.0193776580577447,—,,—,
    International,,—,,15,0.000337397093886365,—,,—,,—,,15,0.00023551577955723,—,,—,,—,,19,0.000275930175143048,—,,—,,—,,14,0.000178094390026714,—,,—,,—,,11,0.000119851819568533,—,,—,,—,,11,0.000114027449516938,—,,—,,—,,16,0.000153104187399525,—,,—,,—,,14,0.000114185045021532,—,,—,,—,,13,9.19715878540906e-05,—,,—,,—,,84,0.000509619059752835,—,,—,
  Downstream,,—,,11054,0.248639165054658,—,,—,,—,,11698,0.183670905950699,—,,—,,—,,11974,0.173894100903308,—,,—,,—,,12375,0.157422719755756,—,,—,,—,,14978,0.163194595772499,—,,—,,—,,14186,0.147053945349753,—,,—,,—,,14327,0.137095230804563,—,,—,,—,,13718,0.111885031971813,—,,—,,—,,15263,0.10798171887823,—,,—,,—,,15620,0.0947648775397533,—,,—,
    United States,,—,,5611,0.126209006253093,—,,—,,—,,6169,0.0968597896059036,—,,—,,—,,6741,0.097897121612594,—,,—,,—,,7685,0.097761099096807,—,,—,,—,,8977,0.0978099803878841,—,,—,,—,,10032,0.103993033959448,—,,—,,—,,10379,0.0993167725637296,—,,—,,—,,10723,0.0874575884118491,—,,—,,—,,11333,0.0801780003961853,—,,—,,—,,11481,0.0696540050597892,—,,—,
    International,,—,,5443,0.122430158801566,—,,—,,—,,5529,0.0868111163447951,—,,—,,—,,5233,0.0759969792907142,—,,—,,—,,4690,0.0596616206589492,—,,—,,—,,6001,0.0653846153846154,—,,—,,—,,4154,0.0430609113903056,—,,—,,—,,3948,0.0377784582408329,—,,—,,—,,2995,0.0244274435599635,—,,—,,—,,3930,0.0278037184820443,—,,—,,—,,4139,0.0251108724799641,—,,—,
  Chemicals,,—,,684,0.0153853074812182,—,,—,,—,,684,0.0107395195478097,—,,—,,—,,720,0.0104563013738418,—,,—,,—,,761,0.00968070220073782,—,,—,,—,,834,0.00908694704728699,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,392,0.00881731072023033,—,,—,,—,,402,0.00631182289213377,—,,—,,—,,431,0.00625925818350809,—,,—,,—,,453,0.00576262562015011,—,,—,,—,,496,0.00540422750054478,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    United States,,—,,292,0.0065679967609879,—,,—,,—,,282,0.00442769665567593,—,,—,,—,,289,0.00419704319033373,—,,—,,—,,308,0.00391807658058771,—,,—,,—,,338,0.00368271954674221,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Upstream,,—,,31239,0.702663187727743,—,,—,,—,,49638,0.779368817710787,—,,—,,—,,54436,0.79055447442563,—,,—,,—,,63281,0.804999363948607,—,,—,,—,,73434,0.800108956199608,—,,—,,—,,79723,0.826419123439897,—,,—,,—,,87665,0.838867411773712,—,,—,,—,,106004,0.864576536604463,—,,—,,—,,123227,0.871798681268925,—,,—,,—,,145931,0.885347845342749,—,,—,
    International,,—,,21192,0.476674614242656,—,,—,,—,,34311,0.538718794159209,—,,—,,—,,37730,0.547939237270905,—,,—,,—,,43431,0.552486960946444,—,,—,,—,,51140,0.557202004794073,—,,—,,—,,57450,0.595534270431646,—,,—,,—,,64388,0.61612952614254,—,,—,,—,,72543,0.591666122928357,—,,—,,—,,85318,0.603602456348869,—,,—,,—,,104100,0.631563620479406,—,,—,
    United States,,—,,10047,0.225988573485087,—,,—,,—,,15327,0.240650023551578,—,,—,,—,,16706,0.242615237154724,—,,—,,—,,19850,0.252512403002163,—,,—,,—,,22294,0.242906951405535,—,,—,,—,,22273,0.230884853008251,—,,—,,—,,23277,0.222737885631172,—,,—,,—,,33461,0.272910413676106,—,,—,,—,,37909,0.268196224920055,—,,—,,—,,41831,0.253784224863343,—,,—,
Goodwill,,—,,—,,—,,—,,4636,1.0,—,,4644,1.0,4700,1.0,4659,1.0,4623,1.0,4691,1.0,4681,1.0,4679,1.0,4637,1.0,4630,1.0,4629,1.0,4600,1.0,4619,1.0,4618,1.0,4619,1.0,4619,1.0,4618,1.0,4617,1.0,4618,1.0,4618,1.0,4617,1.0,4655,1.0,4654,1.0,4654,1.0,4642,1.0,4640,1.0,4640,1.0,4640,1.0,4640,1.0,4639,1.0,4639,1.0,4639,1.0,4639,1.0,4639,1.0,4621,1.0
  Upstream,,—,,—,,—,,—,,4636,1.0,—,,4644,1.0,4700,1.0,4659,1.0,4623,1.0,4691,1.0,4681,1.0,4679,1.0,4637,1.0,4630,1.0,4629,1.0,4600,1.0,4619,1.0,4618,1.0,4619,1.0,4619,1.0,4618,1.0,4617,1.0,4618,1.0,4618,1.0,4617,1.0,4655,1.0,4654,1.0,4654,1.0,4642,1.0,4640,1.0,4640,1.0,4640,1.0,4640,1.0,4639,1.0,4639,1.0,4639,1.0,4639,1.0,4639,1.0,4621,1.0
