Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Duke Energy Corp (DUK US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
  Duke Energy Carolinas,,—,,—,,—,,—,,—,,—,,66300,0.641819941916747,66700,0.645692158760891,66700,0.645692158760891,66700,0.388468258590565,66600,0.388111888111888,66600,0.389246054938632,66600,0.386535113174695,66600,0.38209982788296,66600,0.382319173363949,66600,0.383199079401611,66600,0.383861671469741,66600,0.384083044982699,66600,0.383640552995392,66600,0.389246054938632
  Duke Energy Progress,,—,,—,,—,,—,,—,,—,,—,,—,,—,,44600,0.259755387303436,44600,0.25990675990676,44100,0.257744009351257,45000,0.261172373766686,46400,0.266207687894435,46500,0.266934557979334,46500,0.267548906789413,46400,0.267435158501441,46400,0.267589388696655,46300,0.266705069124424,44300,0.258912916423144
  Duke Energy Florida,,—,,—,,—,,—,,—,,—,,—,,—,,—,,24100,0.140361094933023,24100,0.14044289044289,24200,0.141437755698422,24600,0.142774230992455,25200,0.144578313253012,25600,0.146957520091848,25200,0.144994246260069,25100,0.144668587896254,25200,0.145328719723183,25300,0.14573732718894,25000,0.146113383985973
  Duke Energy Indiana,,—,,—,,—,,—,,—,,—,,23000,0.222652468538238,22600,0.218780251694095,22600,0.218780251694095,22500,0.131042516016308,22500,0.131118881118881,22400,0.130917592051432,22400,0.130005803830528,22400,0.1285140562249,22200,0.12743972445465,22200,0.127733026467204,22100,0.127377521613833,21900,0.126297577854671,22100,0.127304147465438,21900,0.127995324371712
  Duke Ohio - Electric,,—,,—,,—,,—,,—,,—,,14000,0.135527589545015,14000,0.135527589545015,14000,0.135527589545015,13800,0.0803727431566686,13800,0.0804195804195804,13800,0.0806545879602572,13700,0.0795124782356355,13700,0.0786001147446931,13300,0.0763490241102181,13300,0.0765247410817031,13300,0.076657060518732,13300,0.0767012687427912,13300,0.0766129032258065,13300,0.0777323202805377
Distribution Underground Lines - Cable Miles,,—,,—,,—,,—,,—,,—,,48900,1.0,48900,1.0,48900,1.0,90000,1.0,91300,1.0,92800,1.0,96400,1.0,102800,1.0,106000,1.0,106300,1.0,108900,1.0,109800,1.0,116100,1.0,111800,1.0
  Duke Energy Carolinas,,—,,—,,—,,—,,—,,—,,35400,0.723926380368098,35000,0.715746421267894,35000,0.715746421267894,35600,0.395555555555556,36000,0.394304490690033,36500,0.393318965517241,37100,0.384854771784232,37800,0.367704280155642,38500,0.363207547169811,39500,0.371589840075259,40400,0.370982552800735,40000,0.364298724954463,41900,0.360895779500431,43600,0.389982110912343
  Duke Energy Progress,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23000,0.255555555555556,23400,0.256297918948521,23700,0.255387931034483,24600,0.255186721991701,29400,0.285992217898833,30000,0.283018867924528,30700,0.288805268109125,31800,0.292011019283747,32600,0.296903460837887,35200,0.303186907838071,28900,0.258497316636851
  Duke Energy Florida,,—,,—,,—,,—,,—,,—,,—,,—,,—,,17300,0.192222222222222,17700,0.193866374589266,18200,0.196120689655172,20000,0.20746887966805,20800,0.202334630350195,22500,0.212264150943396,20900,0.196613358419567,21100,0.193755739210285,21500,0.195810564663024,22700,0.195521102497847,22900,0.204830053667263
  Duke Energy Indiana,,—,,—,,—,,—,,—,,—,,8000,0.16359918200409,8300,0.169734151329243,8300,0.169734151329243,8400,0.0933333333333333,8500,0.0930996714129244,8600,0.0926724137931035,8800,0.0912863070539419,8900,0.0865758754863813,9000,0.0849056603773585,9100,0.0856067732831609,9400,0.086317722681359,9400,0.0856102003642987,9800,0.0844099913867356,9900,0.0885509838998211
