Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
    Power Products,,2270,0.265434985968195,2519,0.2637972562572,2645,0.298364354201918,2677,0.307312593272873,2310,0.285467128027682,2662,0.280210526315789,2986,0.332590777456004,2531,0.275557974959173,2491,0.284881061299177,3319,0.289262680843646,3045,0.308917520543776,3506,0.302920338690168,3568,0.274103095951448,4303,0.286313127952625
    Construction & Mining Products,,1899,0.222053320860617,2112,0.221174992145774,1845,0.208121827411168,1696,0.194696360922971,1646,0.203410776075136,1957,0.206,1585,0.176542659835153,1781,0.193903102885139,1700,0.194419030192132,2414,0.21038870489803,1815,0.18413310337831,2268,0.195956454121306,2959,0.227318122455251,3267,0.217379732517134
    North America Marketing,,1535,0.179490177736202,1854,0.194156456173421,1493,0.168415115623237,1215,0.139478819882907,1309,0.161764705882353,1683,0.177157894736842,1331,0.148251280908888,1401,0.152531301034295,1373,0.157021957913998,1856,0.161757015861949,1595,0.161813939332454,1898,0.163988249524797,2123,0.163094414995775,2487,0.165480071861069
    EAME Marketing,,1048,0.122544434050515,1047,0.109644989004084,970,0.109419063733785,1007,0.115600964298014,1053,0.130128521997034,1303,0.137157894736842,1179,0.13132100690577,1234,0.134349482852477,1204,0.137694419030192,1566,0.136482482133519,1287,0.130567109668256,1471,0.127095213409366,1684,0.129369286317892,1985,0.132077982567037
    All Other,,733,0.085710944808232,821,0.085977589276364,741,0.0835871404399323,785,0.0901159453564459,627,0.0774839347503707,702,0.0738947368421053,727,0.0809757184228113,855,0.0930865541643985,735,0.0840576395242452,903,0.0786996688164546,761,0.0772040174495282,846,0.073094867807154,929,0.0713682108012599,994,0.0661387983232417
    Asia/Pacific Marketing,,322,0.0376520112254443,359,0.0375955597444759,345,0.038917089678511,397,0.0455745609000115,351,0.0433761739990114,401,0.0422105263157895,414,0.0461127199821787,491,0.0534567229178008,459,0.0524931381518756,507,0.0441868572424612,459,0.0465658922593081,561,0.0484707102125454,643,0.0493969424598602,709,0.0471754607758334
    Latin America Marketing,,327,0.0382366697848456,406,0.0425175411037805,387,0.0436548223350254,504,0.0578578808403168,382,0.0472071181413742,341,0.0358947368421053,310,0.0345288482958343,424,0.0461622210125204,307,0.0351097895699908,405,0.0352971936552205,382,0.0387541848432586,496,0.0428546742699153,579,0.0444802949988477,638,0.0424512608956018
  Financing & Insurance Services,,418,0.0488774555659495,431,0.0451356162949,439,0.0495205865764241,430,0.0493628745264608,414,0.0511616411270391,451,0.0474736842105263,446,0.0496769881933615,468,0.0509526401741971,475,0.0543229643183898,504,0.0439253965487188,513,0.0520442325251091,528,0.0456194919647486,532,0.0408696320196666,646,0.0429835651074589
Operating Income,,309,1.0,458,1.0,341,1.0,203,1.0,170,1.0,393,1.0,324,1.0,437,1.0,222,1.0,586,1.0,385,1.0,499,1.0,574,1.0,763,1.0
  Machinery & Engines,,—,,—,,—,,—,,-39,-0.886363636363636,202,0.773946360153257,125,0.661375661375661,409,0.866525423728814,162,0.701298701298701,567,0.861702127659574,295,0.741206030150754,395,0.840425531914894,774,0.879545454545455,923,0.8900675024108
    Construction & Mining Products,,130,0.37463976945245,192,0.372815533980582,114,0.277372262773723,90,0.276923076923077,10,0.227272727272727,113,0.432950191570881,5,0.0264550264550265,172,0.364406779661017,90,0.38961038961039,186,0.282674772036474,90,0.226130653266332,201,0.427659574468085,310,0.352272727272727,323,0.311475409836066
    All Other,,48,0.138328530259366,76,0.147572815533981,63,0.153284671532847,61,0.187692307692308,42,0.954545454545455,43,0.164750957854406,73,0.386243386243386,89,0.188559322033898,91,0.393939393939394,104,0.158054711246201,84,0.21105527638191,75,0.159574468085106,161,0.182954545454545,157,0.151398264223722
    North America Marketing,,44,0.126801152737752,48,0.0932038834951456,-6,-0.0145985401459854,-32,-0.0984615384615385,0,,3,0.0114942528735632,3,0.0158730158730159,8,0.0169491525423729,20,0.0865800865800866,70,0.106382978723404,49,0.123115577889447,75,0.159574468085106,87,0.0988636363636364,145,0.139826422372228
    EAME Marketing,,51,0.146974063400576,59,0.114563106796117,27,0.0656934306569343,27,0.0830769230769231,14,0.318181818181818,44,0.168582375478927,8,0.0423280423280423,32,0.0677966101694915,46,0.199134199134199,100,0.151975683890578,24,0.0603015075376884,25,0.0531914893617021,101,0.114772727272727,125,0.120540019286403
    Power Products,,-21,-0.0605187319884726,60,0.116504854368932,68,0.165450121654501,88,0.270769230769231,-129,-2.93181818181818,-29,-0.111111111111111,5,0.0264550264550265,47,0.0995762711864407,-120,-0.519480519480519,42,0.0638297872340425,13,0.0326633165829146,-25,-0.0531914893617021,19,0.0215909090909091,85,0.0819672131147541
    Latin America Marketing,,8,0.0230547550432277,16,0.0310679611650485,25,0.0608272506082725,10,0.0307692307692308,13,0.295454545454545,11,0.0421455938697318,8,0.0423280423280423,21,0.0444915254237288,-1,-0.00432900432900433,26,0.0395136778115502,15,0.0376884422110553,29,0.0617021276595745,50,0.0568181818181818,47,0.0453230472516876
    Asia/Pacific Marketing,,8,0.0230547550432277,3,0.0058252427184466,6,0.0145985401459854,1,0.00307692307692308,11,0.25,17,0.0651340996168582,23,0.121693121693122,40,0.0847457627118644,36,0.155844155844156,39,0.0592705167173252,20,0.050251256281407,15,0.0319148936170213,46,0.0522727272727273,41,0.0395371263259402
  Financing & Insurance Services,,79,0.227665706051873,61,0.118446601941748,114,0.277372262773723,80,0.246153846153846,83,1.88636363636364,59,0.226053639846743,64,0.338624338624339,63,0.133474576271186,69,0.298701298701299,91,0.138297872340426,103,0.258793969849246,75,0.159574468085106,106,0.120454545454545,114,0.1099324975892
  Consolidating Adjustments,,-38,,-57,,-70,,-122,,126,,132,,135,,-35,,-9,,-72,,-13,,29,,-306,,-274,
Assets,,29225,1.0,30277,1.0,29903,1.0,30657,1.0,31147,1.0,32734,1.0,32374,1.0,32851,1.0,33538,1.0,34220,1.0,35067,1.0,36465,1.0,37858,1.0,38718,1.0
  Financing & Insurance Services,,14955,0.551885748025685,15579,0.554057898854826,15291,0.551245538772126,15439,0.561601978829435,15811,0.565344870740516,17449,0.583149522090769,17417,0.597372753464124,17417,0.592334376275337,17704,0.594692643600941,20235,0.646444316657083,18972,0.608837970540098,20234,0.614940432774131,20867,0.646177190103118,21606,0.64976542764345
  Machinery & Engines,,—,,—,,—,,—,,12156,0.434655129259484,12473,0.416850477909231,11739,0.402627246535876,11987,0.407665623724663,12066,0.405307356399059,11067,0.353555683342917,12189,0.391162029459902,12670,0.385059567225869,11426,0.353822809896882,11646,0.35023457235655
    Power Products,,3741,0.138054468964499,3861,0.137314175972687,3977,0.143372147517935,3907,0.14211923902368,3860,0.138019809060679,3943,0.131775950805427,3757,0.128858553985458,4025,0.136886137940416,3665,0.123110513940208,3710,0.118522778097246,3651,0.11716568787908,3795,0.115335521517141,3746,0.11600037159756,3859,0.116053169734151
    All Other,,2333,0.0860949147538564,2317,0.0824027313464684,2344,0.0845019647427809,2462,0.0895565821541596,2416,0.0863875281581864,2382,0.0796069781431722,2297,0.0787830978186308,2371,0.080635287715957,2258,0.075848169297951,2537,0.0810491342406236,2226,0.0714354481563493,2251,0.0684111354242645,2729,0.0845074784008918,2809,0.0844761217370384
    Construction & Mining Products,,2267,0.0836593106502325,2261,0.0804111245465538,2262,0.0815458379898338,2432,0.0884653159215743,2431,0.0869238745664533,2357,0.0787714724951541,2214,0.0759363424338044,2184,0.0742756087607128,2217,0.0744709439032583,2190,0.0699635806018785,2161,0.0693495073970668,2127,0.0646425966447848,2402,0.0743814448951785,2507,0.0753939612654878
    EAME Marketing,,948,0.034984131670234,949,0.033750622377125,884,0.0318684884098201,896,0.0325924848132116,903,0.0322880537776665,932,0.0311476505581178,991,0.0339895733296749,912,0.0310161882737043,1103,0.0370507222035606,1018,0.0325218835857134,1043,0.0334713263374089,1114,0.0338560661317773,1162,0.0359830303781005,1138,0.0342235053530615
    Latin America Marketing,,567,0.0209240534356779,554,0.0197026815562985,592,0.0213417931432279,574,0.0208795605834637,605,0.0216326384667644,554,0.0185148051600829,470,0.0161201810948004,485,0.0164943545095905,488,0.016392341283171,692,0.0221072135965753,523,0.0167838002631494,548,0.0166545100899587,660,0.020437865791348,701,0.0210814387104535
    Asia/Pacific Marketing,,349,0.0128791792752233,343,0.0121985916494772,426,0.0153574389848228,413,0.0150230984685897,431,0.0154110201308685,431,0.0144041173718334,436,0.014954040334751,436,0.0148279145694463,514,0.0172657037285858,627,0.0200306689668392,512,0.0164307949038863,637,0.0193593484074885,624,0.0193230731118199,612,0.0184049079754601
    North America Marketing,,1938,0.0715181932245922,2254,0.0801621736965645,1963,0.0707667904394535,1368,0.0497617402058856,1510,0.0539922050988665,1874,0.0626295033754428,1574,0.053985457538757,1574,0.0535301319548361,1821,0.0611689620423245,293,0.00936042425404127,2073,0.0665254645229614,2198,0.0668003890104547,103,0.00318954572198309,20,0.00060146758089739
  Consolidating Adjustments,,2127,,2159,,2164,,3166,,3180,,2812,,3218,,3447,,3768,,2918,,3906,,3561,,5565,,5466,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
