Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
CSX Corp (CSX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/26/2003,,12/31/2004,,12/30/2005,,12/29/2006,,12/28/2007,,12/26/2008,,12/25/2009,,12/31/2010,,12/30/2011,,12/28/2012,,12/27/2013,,12/26/2014,,12/25/2015,,12/30/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
      Food and Consumer,,351,0.0471837612582336,377,0.0468905472636816,438,0.0508238570433975,477,0.0498641020280159,441,0.0439680957128614,281,0.0249666814749,233,0.0257714854551488,245,0.0230349755547198,263,0.0223963212126373,273,0.0232083652129559,269,0.0223682022285049,265,0.0209171994632568,—,,—,,—,,—,,—,,—,,—,,—,,—,
      Agriculture  Products,,497,0.0668100551149348,512,0.063681592039801,550,0.0638199118124855,681,0.0711896299393686,786,0.0783649052841476,1010,0.0897378942692137,960,0.106182944364561,1056,0.0992854456562618,1048,0.0892446563910415,1007,0.0856074130748959,1013,0.0842341593214701,1130,0.0891940958244534,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Industrial,,—,,—,,—,,—,,—,,—,,2177,0.240791947793386,2805,0.263726965024445,3145,0.267819126288001,3471,0.29507778627901,3757,0.312406452685847,4092,0.32299313284395,4182,0.354076708153416,—,,—,,—,,—,,—,,—,,—,,—,
      Metals,,435,0.0584756015593494,511,0.0635572139303483,570,0.0661406358783941,673,0.0703533347271587,702,0.0699900299102692,752,0.0668147490004442,399,0.0441322862515209,520,0.048890560361038,613,0.0522013114195691,635,0.053982827509989,644,0.0535506402793946,701,0.0553319125424264,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Coal,,1600,0.215082672402205,1780,0.221393034825871,2080,0.241355302854491,2378,0.248588751829396,2603,0.259521435692921,3285,0.291870279875611,2727,0.301625926335582,3267,0.30716434749906,3709,0.3158477390786,3190,0.271189322451755,2895,0.240728421752869,2849,0.224879627437051,2300,0.194733722800779,1833,0.165597614960701,2107,0.184694950911641,2246,0.18334693877551,2070,0.173410404624277,1397,0.132004157611263,1790,0.142948410796997,2434,0.163872618326264,2484,0.16947533601692
    Coal,,1543,0.207420352197876,1714,0.21318407960199,1992,0.231144116964493,2259,0.236148860547773,2483,0.247557328015952,3110,0.276321634828965,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Coke and Iron Ore,,57,0.00766232020432854,66,0.0082089552238806,88,0.0102111858899977,119,0.0124398912816224,120,0.0119641076769691,175,0.0155486450466459,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Intermodal,,1257,0.168974324505982,1346,0.167412935323383,1362,0.158041308888373,1412,0.147606104955049,1356,0.135194416749751,1466,0.13025322079076,1184,0.130958964716292,1291,0.121380218127115,1434,0.122115302733543,1594,0.13550964889909,1697,0.141110926326293,1790,0.141289762412187,1762,0.149182965032597,1726,0.155930978408167,1799,0.157696353436185,1931,0.157632653061224,1760,0.147440730501801,1702,0.160823962959463,2039,0.162833413192781,2306,0.155254830673938,2060,0.140547178822406
    International,,469,0.0630461083478962,795,0.0988805970149254,499,0.0579020654444187,580,0.0606314028852185,525,0.0523429710867398,509,0.045224344735673,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,4,0.000537706681005512,50,0.00621890547263682,125,0.0145045254119285,46,0.00480869747020698,24,0.00239282153539382,30,0.00266548200799645,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
