Date,Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,      Parts For Production,      Others,      Others,      Parts,      Vehicles,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,      Information & Communication Business,      Housing Business,      Others,      Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue - Supplementary Breakdown,  Others,  Others,    Information & Communication Business,    Housing Business,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,    Parts For Production,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Parts,    Vehicles,Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue Including Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Operating Income,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Revenue Growth %,  Other,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,Revenue Including Intersegment Growth%,  Others,  Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,Assets,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Adjustments,  Adjustments,  Adjustments,Number of Employees,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Source: Bloomberg
12/31/2010,4673.113,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,95.146,206.771,83.888,403.383,3546.911,127.584,—,—,110.459,238.043,13.391,—,—,10.107,33.589,206.771,83.888,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,—,—,5.2,—,—,127.584,—,—,110.459,238.043,13.391,—,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,—,-12.5,-12.5,—,127.584,—,—,110.459,238.043,13.391,—,—,—,—,117.552,4379.795,113.367,4493.162,-14.137,—,—,127.584,—,—,110.459,238.043,13.391,—,—,4252.211,2.908,4255.119,-27.528,—,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,4790.665,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,—,—,110.459,238.043,13.391,—,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,99.07,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,—,—,110.459,238.043,13.391,—,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,-3.233,—,—,—,-3.4,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,—,-12.5,-12.5,—,—,5.2,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,—,-12.5,-12.5,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,—,—,110.459,238.043,13.391,—,—,-3.233,—,—,—,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,—,—,110.459,238.043,13.391,—,—,293.318,—,4.185,297.503,116.44,-2.9,-3.1,—,—,-3.233,—,—,
03/31/2011,4642.083,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,70.742,258.906,91.864,358.567,3523.858,144.993,—,—,142.847,287.84,7.12,1146.72,26848,12.072,41.057,258.906,91.864,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,—,—,—,—,—,144.993,—,—,142.847,287.84,7.12,1146.72,26848,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,—,—,—,—,144.993,—,—,142.847,287.84,7.12,1146.72,26848,—,—,155.095,4357.066,149.385,4506.451,-9.047,12488.278,304889,144.993,—,—,142.847,287.84,7.12,1146.72,26848,4212.073,6.538,4218.611,-16.167,11341.558,278041,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,4797.178,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,—,—,142.847,287.84,7.12,1146.72,26848,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,46.089,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,—,—,142.847,287.84,7.12,1146.72,26848,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,-2.994,3964.494,4568,—,—,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,—,—,—,—,—,—,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,—,—,—,29818.166,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,—,—,142.847,287.84,7.12,1146.72,26848,-2.994,3964.494,4568,317716,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,—,—,142.847,287.84,7.12,1146.72,26848,285.017,—,5.71,290.727,58.13,—,—,13365.394,8259,-2.994,3964.494,4568,
06/30/2011,3441.05,3162.347,89.022,3251.369,-204.492,—,—,3055.743,5.087,3060.83,-202.542,—,—,—,—,—,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,—,—,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,—,—,-10.5,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,—,—,-31.5,—,106.604,—,—,83.935,190.539,-1.95,—,—,—,—,96.091,3162.347,89.022,3251.369,-204.492,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,3055.743,5.087,3060.83,-202.542,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,3537.141,3162.347,89.022,3251.369,-204.492,—,—,3055.743,5.087,3060.83,-202.542,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,-107.963,3162.347,89.022,3251.369,-204.492,—,—,3055.743,5.087,3060.83,-202.542,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,1.918,—,—,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,—,—,-31.5,—,—,-10.5,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,—,—,-31.5,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,3162.347,89.022,3251.369,-204.492,—,—,3055.743,5.087,3060.83,-202.542,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,1.918,—,—,—,3162.347,89.022,3251.369,-204.492,—,—,3055.743,5.087,3060.83,-202.542,—,—,106.604,—,—,83.935,190.539,-1.95,—,—,278.703,—,7.069,285.772,94.611,—,-7.1,—,—,1.918,—,—,
09/30/2011,4574.872,4310.813,127.503,4438.316,2.469,—,—,4176.146,7.026,4183.172,-7.468,—,—,—,—,—,—,—,134.667,—,—,120.477,255.144,9.937,—,—,—,—,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,—,—,—,—,—,134.667,—,—,120.477,255.144,9.937,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,—,—,—,—,134.667,—,—,120.477,255.144,9.937,—,—,—,—,134.491,4310.813,127.503,4438.316,2.469,—,—,134.667,—,—,120.477,255.144,9.937,—,—,4176.146,7.026,4183.172,-7.468,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,4709.363,4310.813,127.503,4438.316,2.469,—,—,4176.146,7.026,4183.172,-7.468,—,—,134.667,—,—,120.477,255.144,9.937,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,75.39,4310.813,127.503,4438.316,2.469,—,—,4176.146,7.026,4183.172,-7.468,—,—,134.667,—,—,120.477,255.144,9.937,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,-3.473,—,—,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,—,—,—,—,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,—,—,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,4310.813,127.503,4438.316,2.469,—,—,4176.146,7.026,4183.172,-7.468,—,—,134.667,—,—,120.477,255.144,9.937,—,—,-3.473,—,—,—,4310.813,127.503,4438.316,2.469,—,—,4176.146,7.026,4183.172,-7.468,—,—,134.667,—,—,120.477,255.144,9.937,—,—,264.059,—,6.988,271.047,76.394,—,—,—,—,-3.473,—,—,
12/31/2011,4865.205,4601.657,141.968,4743.625,72.439,—,—,4464.15,7.311,4471.461,57.171,—,—,—,—,—,—,—,137.507,—,—,134.657,272.164,15.268,—,—,—,—,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,—,—,—,—,—,137.507,—,—,134.657,272.164,15.268,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,—,—,—,—,137.507,—,—,134.657,272.164,15.268,—,—,—,—,149.898,4601.657,141.968,4743.625,72.439,—,—,137.507,—,—,134.657,272.164,15.268,—,—,4464.15,7.311,4471.461,57.171,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,5015.103,4601.657,141.968,4743.625,72.439,—,—,4464.15,7.311,4471.461,57.171,—,—,137.507,—,—,134.657,272.164,15.268,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,149.684,4601.657,141.968,4743.625,72.439,—,—,4464.15,7.311,4471.461,57.171,—,—,137.507,—,—,134.657,272.164,15.268,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,-6.259,—,—,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,—,—,—,—,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,—,—,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,4601.657,141.968,4743.625,72.439,—,—,4464.15,7.311,4471.461,57.171,—,—,137.507,—,—,134.657,272.164,15.268,—,—,-6.259,—,—,—,4601.657,141.968,4743.625,72.439,—,—,4464.15,7.311,4471.461,57.171,—,—,137.507,—,—,134.657,272.164,15.268,—,—,263.548,—,7.93,271.478,83.504,—,—,—,—,-6.259,—,—,
03/31/2012,5702.526,5437.099,173.052,5610.151,193.329,13423.038,312852,5268.339,10.744,5279.083,174.522,12261.814,286167,—,—,—,—,—,168.76,—,—,162.308,331.068,18.807,1161.224,26685,—,—,—,—,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,—,—,—,—,—,168.76,—,—,162.308,331.068,18.807,1161.224,26685,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,—,—,—,—,168.76,—,—,162.308,331.068,18.807,1161.224,26685,—,—,179.652,5437.099,173.052,5610.151,193.329,13423.038,312852,168.76,—,—,162.308,331.068,18.807,1161.224,26685,5268.339,10.744,5279.083,174.522,12261.814,286167,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,5882.178,5437.099,173.052,5610.151,193.329,13423.038,312852,5268.339,10.744,5279.083,174.522,12261.814,286167,168.76,—,—,162.308,331.068,18.807,1161.224,26685,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,238.516,5437.099,173.052,5610.151,193.329,13423.038,312852,5268.339,10.744,5279.083,174.522,12261.814,286167,168.76,—,—,162.308,331.068,18.807,1161.224,26685,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,-6.742,4055.379,4534,—,—,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,—,—,—,—,—,—,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,—,—,—,30650.965,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,5437.099,173.052,5610.151,193.329,13423.038,312852,5268.339,10.744,5279.083,174.522,12261.814,286167,168.76,—,—,162.308,331.068,18.807,1161.224,26685,-6.742,4055.379,4534,325905,5437.099,173.052,5610.151,193.329,13423.038,312852,5268.339,10.744,5279.083,174.522,12261.814,286167,168.76,—,—,162.308,331.068,18.807,1161.224,26685,265.427,—,6.6,272.027,51.929,—,—,13172.548,8519,-6.742,4055.379,4534,
06/30/2012,5501.573,5233.688,129.673,5363.361,268.023,—,—,5110.683,9.422,5120.105,258.693,—,—,—,—,—,—,—,123.005,—,—,120.251,243.256,9.33,—,—,—,—,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,—,—,27.7,—,—,123.005,—,—,120.251,243.256,9.33,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,—,67.3,67.3,—,123.005,—,—,120.251,243.256,9.33,—,—,—,—,136.256,5233.688,129.673,5363.361,268.023,—,—,123.005,—,—,120.251,243.256,9.33,—,—,5110.683,9.422,5120.105,258.693,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,5637.829,5233.688,129.673,5363.361,268.023,—,—,5110.683,9.422,5120.105,258.693,—,—,123.005,—,—,120.251,243.256,9.33,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,353.143,5233.688,129.673,5363.361,268.023,—,—,5110.683,9.422,5120.105,258.693,—,—,123.005,—,—,120.251,243.256,9.33,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,-1.614,—,—,—,27.7,267.885,—,6.583,274.468,86.734,-4,-4,—,—,—,67.3,67.3,—,—,27.7,267.885,—,6.583,274.468,86.734,-4,-4,—,—,—,67.3,67.3,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,5233.688,129.673,5363.361,268.023,—,—,5110.683,9.422,5120.105,258.693,—,—,123.005,—,—,120.251,243.256,9.33,—,—,-1.614,—,—,—,5233.688,129.673,5363.361,268.023,—,—,5110.683,9.422,5120.105,258.693,—,—,123.005,—,—,120.251,243.256,9.33,—,—,267.885,—,6.583,274.468,86.734,-4,-4,—,—,-1.614,—,—,
09/30/2012,5406.781,5142.201,119.237,—,252.497,—,—,4998.955,9.794,—,239.368,—,—,—,—,—,—,—,143.246,—,—,109.443,—,13.129,—,—,—,—,—,—,264.58,—,7.42,—,87.772,—,—,—,—,—,—,—,—,—,143.246,—,—,109.443,—,13.129,—,—,264.58,—,7.42,—,87.772,—,—,—,—,—,—,—,—,143.246,—,—,109.443,—,13.129,—,—,—,—,126.657,5142.201,119.237,—,252.497,—,—,143.246,—,—,109.443,—,13.129,—,—,4998.955,9.794,—,239.368,—,—,264.58,—,7.42,—,87.772,—,—,—,—,—,5142.201,119.237,—,252.497,—,—,4998.955,9.794,—,239.368,—,—,143.246,—,—,109.443,—,13.129,—,—,264.58,—,7.42,—,87.772,—,—,—,—,340.607,5142.201,119.237,—,252.497,—,—,4998.955,9.794,—,239.368,—,—,143.246,—,—,109.443,—,13.129,—,—,264.58,—,7.42,—,87.772,—,—,—,—,0.338,—,—,—,—,264.58,—,7.42,—,87.772,—,—,—,—,—,—,—,—,—,—,264.58,—,7.42,—,87.772,—,—,—,—,—,—,—,—,264.58,—,7.42,—,87.772,—,—,—,—,5142.201,119.237,—,252.497,—,—,4998.955,9.794,—,239.368,—,—,143.246,—,—,109.443,—,13.129,—,—,0.338,—,—,—,5142.201,119.237,—,252.497,—,—,4998.955,9.794,—,239.368,—,—,143.246,—,—,109.443,—,13.129,—,—,264.58,—,7.42,—,87.772,—,—,—,—,0.338,—,—,
12/31/2012,5318.752,5024.823,126.505,5151.328,59.145,—,—,4879.235,9.999,4889.234,43.724,—,—,—,—,—,—,—,145.588,—,—,116.506,262.094,15.421,—,—,—,—,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,—,—,—,—,—,145.588,—,—,116.506,262.094,15.421,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,—,—,—,—,145.588,—,—,116.506,262.094,15.421,—,—,—,—,133.887,5024.823,126.505,5151.328,59.145,—,—,145.588,—,—,116.506,262.094,15.421,—,—,4879.235,9.999,4889.234,43.724,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,5452.639,5024.823,126.505,5151.328,59.145,—,—,4879.235,9.999,4889.234,43.724,—,—,145.588,—,—,116.506,262.094,15.421,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,124.757,5024.823,126.505,5151.328,59.145,—,—,4879.235,9.999,4889.234,43.724,—,—,145.588,—,—,116.506,262.094,15.421,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,-3.436,—,—,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,—,—,—,—,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,—,—,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,5024.823,126.505,5151.328,59.145,—,—,4879.235,9.999,4889.234,43.724,—,—,145.588,—,—,116.506,262.094,15.421,—,—,-3.436,—,—,—,5024.823,126.505,5151.328,59.145,—,—,4879.235,9.999,4889.234,43.724,—,—,145.588,—,—,116.506,262.094,15.421,—,—,293.929,—,7.382,301.311,69.048,—,—,—,—,-3.436,—,—,
03/31/2013,5837.086,5513.438,195.996,5709.434,418.655,14489.856,319800,5389.889,11.123,5401.012,402.919,13179.741,293020,—,—,—,—,—,123.549,—,—,184.873,308.422,15.736,1310.115,26780,—,—,—,—,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,—,—,—,—,—,123.549,—,—,184.873,308.422,15.736,1310.115,26780,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,—,—,—,—,123.549,—,—,184.873,308.422,15.736,1310.115,26780,—,—,195.239,5513.438,195.996,5709.434,418.655,14489.856,319800,123.549,—,—,184.873,308.422,15.736,1310.115,26780,5389.889,11.123,5401.012,402.919,13179.741,293020,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,6032.325,5513.438,195.996,5709.434,418.655,14489.856,319800,5389.889,11.123,5401.012,402.919,13179.741,293020,123.549,—,—,184.873,308.422,15.736,1310.115,26780,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,502.381,5513.438,195.996,5709.434,418.655,14489.856,319800,5389.889,11.123,5401.012,402.919,13179.741,293020,123.549,—,—,184.873,308.422,15.736,1310.115,26780,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,11.46,4761.988,4709,—,—,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,—,—,—,—,—,—,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,—,—,—,35483.317,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,5513.438,195.996,5709.434,418.655,14489.856,319800,5389.889,11.123,5401.012,402.919,13179.741,293020,123.549,—,—,184.873,308.422,15.736,1310.115,26780,11.46,4761.988,4709,333498,5513.438,195.996,5709.434,418.655,14489.856,319800,5389.889,11.123,5401.012,402.919,13179.741,293020,123.549,—,—,184.873,308.422,15.736,1310.115,26780,323.648,—,-0.757,322.891,72.266,—,—,16231.473,8989,11.46,4761.988,4709,
