Date,Revenue,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Operating Income,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Adjustment,  Reconciliation,Operating Margin,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Operating Income Growth %,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Revenue Growth %,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Goodwill,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Assets,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,SG&A,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Same Store Sales % with fuel,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Total Square Feet/Meter,  United States,  United States,    Wal-Mart Stores,    Wal-Mart Stores,      Supercenters,      Supercenters,      Discount store,      Discount store,      Wal-Mart US Neighborhood Markets,      Wal-Mart US Neighborhood Markets,    Sam’s Club,    Sam’s Club,  International,  International,  International,  International,  International,  International,  International,  International,  International,Number of Locations,  United States,  United States,    Wal-Mart Stores,    Wal-Mart Stores,      Supercenters,      Supercenters,      Discount store,      Discount store,      Wal-Mart US Neighborhood Markets,      Wal-Mart US Neighborhood Markets,    Sam’s Club,    Sam’s Club,    Neighborhood Markets,    Supercenters,    Supercenters,  International,  International,  International,  International,  International,  International,  International,  International,  International,    Sam's Club,    Discount Store,    Neighborhood Market,    Supercenters,    Supercenters,Source: Bloomberg
07/31/2001,52799,33870,2618,—,7.7,14.2,—,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,7270,267,—,3.7,9.1,—,—,—,3297,-236,—,21.6,5.7,—,—,2494,33870,2618,—,7.7,14.2,—,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,7270,267,—,3.7,9.1,—,—,—,3297,-236,—,21.6,5.7,—,—,-470,—,—,33870,2618,—,7.7,14.2,—,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,7270,267,—,3.7,9.1,—,—,—,3297,-236,—,21.6,5.7,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,7270,267,—,3.7,9.1,—,—,—,33870,2618,—,7.7,14.2,—,—,—,—,3297,-236,—,21.6,5.7,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,33870,2618,—,7.7,14.2,—,—,—,—,7270,267,—,3.7,9.1,—,—,—,3297,-236,—,21.6,5.7,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,7270,267,—,3.7,9.1,—,—,—,3297,-236,—,21.6,5.7,—,—,33870,2618,—,7.7,14.2,—,—,—,—,—,3297,-236,—,21.6,5.7,—,—,7270,267,—,3.7,9.1,—,—,—,8362,315,—,3.3,12.9,—,—,—,1106,33870,2618,—,7.7,14.2,—,—,—,—,—,33870,2618,—,7.7,14.2,—,—,—,—,—,7270,267,—,3.7,9.1,—,—,—,33870,2618,—,7.7,14.2,—,—,—,—,—,—,3174,—,1667,—,—,—,—,—,—,—,486,8362,315,—,3.3,12.9,—,—,—,1106,4280,—,3174,—,1667,—,—,—,—,—,—,—,486,23,998,—,8362,315,—,3.3,12.9,—,—,—,1106,—,—,—,998,—,
10/31/2001,52738,33601,2346,—,7,15,—,—,—,—,8678,344,—,4,16.7,—,—,—,1133,7295,246,—,3.4,11,—,—,—,3164,-224,—,21.5,6.7,—,—,2237,33601,2346,—,7,15,—,—,—,—,8678,344,—,4,16.7,—,—,—,1133,7295,246,—,3.4,11,—,—,—,3164,-224,—,21.5,6.7,—,—,-475,—,—,33601,2346,—,7,15,—,—,—,—,8678,344,—,4,16.7,—,—,—,1133,7295,246,—,3.4,11,—,—,—,3164,-224,—,21.5,6.7,—,—,—,8678,344,—,4,16.7,—,—,—,1133,7295,246,—,3.4,11,—,—,—,33601,2346,—,7,15,—,—,—,—,3164,-224,—,21.5,6.7,—,—,—,8678,344,—,4,16.7,—,—,—,1133,33601,2346,—,7,15,—,—,—,—,7295,246,—,3.4,11,—,—,—,3164,-224,—,21.5,6.7,—,—,—,8678,344,—,4,16.7,—,—,—,1133,7295,246,—,3.4,11,—,—,—,3164,-224,—,21.5,6.7,—,—,33601,2346,—,7,15,—,—,—,—,—,3164,-224,—,21.5,6.7,—,—,7295,246,—,3.4,11,—,—,—,8678,344,—,4,16.7,—,—,—,1133,33601,2346,—,7,15,—,—,—,—,—,33601,2346,—,7,15,—,—,—,—,—,7295,246,—,3.4,11,—,—,—,33601,2346,—,7,15,—,—,—,—,—,—,3214,—,1637,—,—,—,—,—,—,—,492,8678,344,—,4,16.7,—,—,—,1133,4347,—,3214,—,1637,—,—,—,—,—,—,—,492,26,1059,—,8678,344,—,4,16.7,—,—,—,1133,—,—,—,1059,—,
01/31/2002,64210,40909,3119,—,—,15.3,—,21890,—,—,10809,584,—,—,7.4,—,26324,9440.425,1170,8296,297,—,—,10.9,—,3958,—,4196,-809,—,—,18.7,—,31279,3274,40909,3119,—,—,15.3,—,21890,—,—,10809,584,—,—,7.4,—,26324,9440.425,1170,8296,297,—,—,10.9,—,3958,—,4196,-809,—,—,18.7,—,31279,83,—,—,40909,3119,—,—,15.3,—,21890,—,—,10809,584,—,—,7.4,—,26324,9440.425,1170,8296,297,—,—,10.9,—,3958,—,4196,-809,—,—,18.7,—,31279,—,10809,584,—,—,7.4,—,26324,9440.425,1170,8296,297,—,—,10.9,—,3958,—,40909,3119,—,—,15.3,—,21890,—,—,4196,-809,—,—,18.7,—,31279,—,10809,584,—,—,7.4,—,26324,9440.425,1170,40909,3119,—,—,15.3,—,21890,—,—,8296,297,—,—,10.9,—,3958,—,4196,-809,—,—,18.7,—,31279,—,10809,584,—,—,7.4,—,26324,9440.425,1170,8296,297,—,—,10.9,—,3958,—,4196,-809,—,—,18.7,—,31279,40909,3119,—,—,15.3,—,21890,—,—,83451,4196,-809,—,—,18.7,—,31279,8296,297,—,—,10.9,—,3958,—,10809,584,—,—,7.4,—,26324,9440.425,1170,40909,3119,—,—,15.3,—,21890,—,—,—,40909,3119,—,—,15.3,—,21890,—,—,—,8296,297,—,—,10.9,—,3958,—,40909,3119,—,—,15.3,—,21890,—,—,454022.454,444582.029,3244,382803.226,2744,197442.347,1066,157685.708,1647,27675.171,31,61778.803,500,10809,584,—,—,7.4,—,26324,9440.425,1170,4414,444582.029,3244,382803.226,2744,197442.347,1066,157685.708,1647,27675.171,31,61778.803,500,—,—,455,10809,584,—,—,7.4,—,26324,9440.425,1170,64,648,3,—,455,
04/30/2002,52126,35418,2545,7.2,16.1,15.2,—,—,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,7295,216,3,-0.5,11.6,305,—,—,421,-311,0,0,0,277,—,2789,35418,2545,7.2,16.1,15.2,—,—,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,7295,216,3,-0.5,11.6,305,—,—,421,-311,0,0,0,277,—,0,—,—,35418,2545,7.2,16.1,15.2,—,—,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,7295,216,3,-0.5,11.6,305,—,—,421,-311,0,0,0,277,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,7295,216,3,-0.5,11.6,305,—,—,35418,2545,7.2,16.1,15.2,—,—,—,—,421,-311,0,0,0,277,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,35418,2545,7.2,16.1,15.2,—,—,—,—,7295,216,3,-0.5,11.6,305,—,—,421,-311,0,0,0,277,—,8477,8992,339,3.8,108,17.8,7895,—,—,1186,7295,216,3,-0.5,11.6,305,—,—,421,-311,0,0,0,277,—,35418,2545,7.2,16.1,15.2,—,—,—,—,—,421,-311,0,0,0,277,—,7295,216,3,-0.5,11.6,305,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,35418,2545,7.2,16.1,15.2,—,—,—,—,—,35418,2545,7.2,16.1,15.2,—,—,—,—,—,7295,216,3,-0.5,11.6,305,—,—,35418,2545,7.2,16.1,15.2,—,—,—,—,—,—,3269,—,2766,—,1113,—,1622,—,31,—,503,8992,339,3.8,108,17.8,7895,—,—,1186,4455,—,3269,—,2766,—,1113,—,1622,—,31,—,503,—,—,—,8992,339,3.8,108,17.8,7895,—,—,1186,—,—,—,—,—,
07/31/2002,56271,38080,3046,7.9,17.2,14.1,0,—,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,7939,275,3.5,3,9.2,305,—,—,561,-362,10.6,66.1,3.8,276,—,2841,38080,3046,7.9,17.2,14.1,0,—,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,7939,275,3.5,3,9.2,305,—,—,561,-362,10.6,66.1,3.8,276,—,-628,—,—,38080,3046,7.9,17.2,14.1,0,—,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,7939,275,3.5,3,9.2,305,—,—,561,-362,10.6,66.1,3.8,276,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,7939,275,3.5,3,9.2,305,—,—,38080,3046,7.9,17.2,14.1,0,—,—,—,561,-362,10.6,66.1,3.8,276,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,38080,3046,7.9,17.2,14.1,0,—,—,—,7939,275,3.5,3,9.2,305,—,—,561,-362,10.6,66.1,3.8,276,—,9031,9691,510,5.3,61.9,15.9,8450,—,—,1205,7939,275,3.5,3,9.2,305,—,—,561,-362,10.6,66.1,3.8,276,—,38080,3046,7.9,17.2,14.1,0,—,—,—,—,561,-362,10.6,66.1,3.8,276,—,7939,275,3.5,3,9.2,305,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,38080,3046,7.9,17.2,14.1,0,—,—,—,—,38080,3046,7.9,17.2,14.1,0,—,—,—,—,7939,275,3.5,3,9.2,305,—,—,38080,3046,7.9,17.2,14.1,0,—,—,—,—,—,3313,—,2801,—,1156,—,1611,—,34,—,512,9691,510,5.3,61.9,15.9,8450,—,—,1205,4518,—,3313,—,2801,—,1156,—,1611,—,34,—,512,—,—,—,9691,510,5.3,61.9,15.9,8450,—,—,1205,—,—,—,—,—,
10/31/2002,55241,37049,2676,7.1,15.5,11.8,—,—,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,7742,240,3.1,-2,6.1,305,—,—,524,-307,0,0,0,278,—,3048,37049,2676,7.1,15.5,11.8,—,—,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,7742,240,3.1,-2,6.1,305,—,—,524,-307,0,0,0,278,—,—,—,—,37049,2676,7.1,15.5,11.8,—,—,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,7742,240,3.1,-2,6.1,305,—,—,524,-307,0,0,0,278,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,7742,240,3.1,-2,6.1,305,—,—,37049,2676,7.1,15.5,11.8,—,—,—,—,524,-307,0,0,0,278,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,37049,2676,7.1,15.5,11.8,—,—,—,—,7742,240,3.1,-2,6.1,305,—,—,524,-307,0,0,0,278,—,9173,9926,439,4.4,44.9,14.4,8590,—,—,1227,7742,240,3.1,-2,6.1,305,—,—,524,-307,0,0,0,278,—,37049,2676,7.1,15.5,11.8,—,—,—,—,—,524,-307,0,0,0,278,—,7742,240,3.1,-2,6.1,305,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,37049,2676,7.1,15.5,11.8,—,—,—,—,—,37049,2676,7.1,15.5,11.8,—,—,—,—,—,7742,240,3.1,-2,6.1,305,—,—,37049,2676,7.1,15.5,11.8,—,—,—,—,—,—,3371,—,2849,—,1243,—,1567,—,39,—,522,9926,439,4.4,44.9,14.4,8590,—,—,1227,4598,—,3371,—,2849,—,1243,—,1567,—,39,—,522,—,—,—,9926,439,4.4,44.9,14.4,8590,—,—,1227,—,—,—,—,—,
01/31/2003,66400,45490,3592,—,16.2,12.9,—,24748,—,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,8726,295,—,0,7.8,305,4404,—,—,-1042,—,-109.1,8.1,99,34824,3602,45490,3592,—,16.2,12.9,—,24748,—,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,8726,295,—,0,7.8,305,4404,—,—,-1042,—,-109.1,8.1,99,34824,—,—,—,45490,3592,—,16.2,12.9,—,24748,—,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,8726,295,—,0,7.8,305,4404,—,—,-1042,—,-109.1,8.1,99,34824,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,8726,295,—,0,7.8,305,4404,—,45490,3592,—,16.2,12.9,—,24748,—,—,—,-1042,—,-109.1,8.1,99,34824,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,45490,3592,—,16.2,12.9,—,24748,—,—,8726,295,—,0,7.8,305,4404,—,—,-1042,—,-109.1,8.1,99,34824,9389,12184,757,—,55.8,15,8985,30709,106368.21,1288,8726,295,—,0,7.8,305,4404,—,—,-1042,—,-109.1,8.1,99,34824,45490,3592,—,16.2,12.9,—,24748,—,—,94685,—,-1042,—,-109.1,8.1,99,34824,8726,295,—,0,7.8,305,4404,—,12184,757,—,55.8,15,8985,30709,106368.21,1288,45490,3592,—,16.2,12.9,—,24748,—,—,—,45490,3592,—,16.2,12.9,—,24748,—,—,—,8726,295,—,0,7.8,305,4404,—,45490,3592,—,16.2,12.9,—,24748,—,—,560800.326,454432.116,3400,388685.164,2875,234611.27,1258,151913.061,1568,2160.833,49,65746.952,525,12184,757,—,55.8,15,8985,30709,106368.21,1288,4688,454432.116,3400,388685.164,2875,234611.27,1258,151913.061,1568,2160.833,49,65746.952,525,—,—,238,12184,757,—,55.8,15,8985,30709,106368.21,1288,71,942,37,—,238,
04/30/2003,56718,38112,2752,7.1,8.1,9,—,—,10216,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,7822,204,2.6,-5.6,7.2,305,—,—,506,-250,—,—,—,99,—,3090,38112,2752,7.1,8.1,9,—,—,10216,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,7822,204,2.6,-5.6,7.2,305,—,—,506,-250,—,—,—,99,—,0,—,—,38112,2752,7.1,8.1,9,—,—,10216,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,7822,204,2.6,-5.6,7.2,305,—,—,506,-250,—,—,—,99,—,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,7822,204,2.6,-5.6,7.2,305,—,—,38112,2752,7.1,8.1,9,—,—,10216,—,506,-250,—,—,—,99,—,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,38112,2752,7.1,8.1,9,—,—,10216,—,7822,204,2.6,-5.6,7.2,305,—,—,506,-250,—,—,—,99,—,9317,10278,384,3.7,13.3,14.3,8913,—,—,1295,7822,204,2.6,-5.6,7.2,305,—,—,506,-250,—,—,—,99,—,38112,2752,7.1,8.1,9,—,—,10216,—,—,506,-250,—,—,—,99,—,7822,204,2.6,-5.6,7.2,305,—,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,38112,2752,7.1,8.1,9,—,—,10216,—,10216,38112,2752,7.1,8.1,9,—,—,10216,—,—,7822,204,2.6,-5.6,7.2,305,—,—,38112,2752,7.1,8.1,9,—,—,10216,—,—,—,3422,—,2896,—,1309,—,1536,—,51,—,526,10278,384,3.7,13.3,14.3,8913,—,—,1295,4717,—,3422,—,2896,—,1309,—,1536,—,51,—,526,—,—,—,10278,384,3.7,13.3,14.3,8913,—,—,1295,—,—,—,—,—,
07/31/2003,62637,41975,3317,7.8,9.3,10.2,—,—,11142,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,8553,309,3.6,12.8,7.7,305,—,—,595,-431,—,—,—,0,—,3197,41975,3317,7.8,9.3,10.2,—,—,11142,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,8553,309,3.6,12.8,7.7,305,—,—,595,-431,—,—,—,0,—,-559,—,—,41975,3317,7.8,9.3,10.2,—,—,11142,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,8553,309,3.6,12.8,7.7,305,—,—,595,-431,—,—,—,0,—,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,8553,309,3.6,12.8,7.7,305,—,—,41975,3317,7.8,9.3,10.2,—,—,11142,—,595,-431,—,—,—,0,—,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,41975,3317,7.8,9.3,10.2,—,—,11142,—,8553,309,3.6,12.8,7.7,305,—,—,595,-431,—,—,—,0,—,9573,11514,561,4.9,18.9,18.8,9268,—,—,1305,8553,309,3.6,12.8,7.7,305,—,—,595,-431,—,—,—,0,—,41975,3317,7.8,9.3,10.2,—,—,11142,—,—,595,-431,—,—,—,0,—,8553,309,3.6,12.8,7.7,305,—,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,41975,3317,7.8,9.3,10.2,—,—,11142,—,11142,41975,3317,7.8,9.3,10.2,—,—,11142,—,—,8553,309,3.6,12.8,7.7,305,—,—,41975,3317,7.8,9.3,10.2,—,—,11142,—,—,—,3445,—,2917,—,1356,—,1508,—,53,—,528,11514,561,4.9,18.9,18.8,9268,—,—,1305,4750,—,3445,—,2917,—,1356,—,1508,—,53,—,528,—,—,—,11514,561,4.9,18.9,18.8,9268,—,—,1305,—,—,—,—,—,
10/31/2003,62480,41831,2967,7,10.9,12.8,—,—,11344,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,8607,270,3.1,12.5,11.2,305,—,—,555,-402,—,—,—,0,—,3399,41831,2967,7,10.9,12.8,—,—,11344,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,8607,270,3.1,12.5,11.2,305,—,—,555,-402,—,—,—,0,—,—,—,—,41831,2967,7,10.9,12.8,—,—,11344,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,8607,270,3.1,12.5,11.2,305,—,—,555,-402,—,—,—,0,—,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,8607,270,3.1,12.5,11.2,305,—,—,41831,2967,7,10.9,12.8,—,—,11344,—,555,-402,—,—,—,0,—,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,41831,2967,7,10.9,12.8,—,—,11344,—,8607,270,3.1,12.5,11.2,305,—,—,555,-402,—,—,—,0,—,9446,11487,564,4.9,28.5,15.7,9141,—,—,1320,8607,270,3.1,12.5,11.2,305,—,—,555,-402,—,—,—,0,—,41831,2967,7,10.9,12.8,—,—,11344,—,—,555,-402,—,—,—,0,—,8607,270,3.1,12.5,11.2,305,—,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,41831,2967,7,10.9,12.8,—,—,11344,—,11344,41831,2967,7,10.9,12.8,—,—,11344,—,—,8607,270,3.1,12.5,11.2,305,—,—,41831,2967,7,10.9,12.8,—,—,11344,—,—,—,3499,—,2966,—,1430,—,1476,—,60,—,533,11487,564,4.9,28.5,15.7,9141,—,—,1320,4819,—,3499,—,2966,—,1430,—,1476,—,60,—,533,—,—,—,11487,564,4.9,28.5,15.7,9141,—,—,1320,—,—,—,—,—,
01/31/2004,29539,4995,3880,—,8.3,11.3,—,26230,12205,3.9,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,9555,558,—,17.1,9.5,305,4645,5.3,696,-1249,—,—,—,0,40019,4050,4995,3880,—,8.3,11.3,—,26230,12205,3.9,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,9555,558,—,17.1,9.5,305,4645,5.3,696,-1249,—,—,—,0,40019,—,—,—,4995,3880,—,8.3,11.3,—,26230,12205,3.9,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,9555,558,—,17.1,9.5,305,4645,5.3,696,-1249,—,—,—,0,40019,—,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,9555,558,—,17.1,9.5,305,4645,5.3,4995,3880,—,8.3,11.3,—,26230,12205,3.9,696,-1249,—,—,—,0,40019,—,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,4995,3880,—,8.3,11.3,—,26230,12205,3.9,9555,558,—,17.1,9.5,305,4645,5.3,696,-1249,—,—,—,0,40019,9882,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,9555,558,—,17.1,9.5,305,4645,5.3,696,-1249,—,—,—,0,40019,4995,3880,—,8.3,11.3,—,26230,12205,3.9,104912,696,-1249,—,—,—,0,40019,9555,558,—,17.1,9.5,305,4645,5.3,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,4995,3880,—,8.3,11.3,—,26230,12205,3.9,12205,4995,3880,—,8.3,11.3,—,26230,12205,3.9,—,9555,558,—,17.1,9.5,305,4645,5.3,4995,3880,—,8.3,11.3,—,26230,12205,3.9,606480.244,491054.479,3551,422910.17,3013,275067.679,1471,145064.854,1478,2777.637,64,68144.309,538,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,4906,491054.479,3551,422910.17,3013,275067.679,1471,145064.854,1478,2777.637,64,68144.309,538,—,—,257,14293,861,—,15.2,17.3,9577,34018,115425.765,1355,36,982,80,—,257,
04/30/2004,64763,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,12551,563,4.5,46.6,19.4,9829,—,121000,1483,8641,267,3.1,30.9,10.5,305,—,8.8,680,-1026,—,—,—,0,—,2925,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,12551,563,4.5,46.6,19.4,9829,—,121000,1483,8641,267,3.1,30.9,10.5,305,—,8.8,680,-1026,—,—,—,0,—,—,—,—,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,12551,563,4.5,46.6,19.4,9829,—,121000,1483,8641,267,3.1,30.9,10.5,305,—,8.8,680,-1026,—,—,—,0,—,—,12551,563,4.5,46.6,19.4,9829,—,121000,1483,8641,267,3.1,30.9,10.5,305,—,8.8,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,680,-1026,—,—,—,0,—,—,12551,563,4.5,46.6,19.4,9829,—,121000,1483,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,8641,267,3.1,30.9,10.5,305,—,8.8,680,-1026,—,—,—,0,—,10134,12551,563,4.5,46.6,19.4,9829,—,121000,1483,8641,267,3.1,30.9,10.5,305,—,8.8,680,-1026,—,—,—,0,—,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,—,680,-1026,—,—,—,0,—,8641,267,3.1,30.9,10.5,305,—,8.8,12551,563,4.5,46.6,19.4,9829,—,121000,1483,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,11869,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,—,8641,267,3.1,30.9,10.5,305,—,8.8,42891,3121,7.2,13.4,12.8,—,—,11869,5.9,620200,499200,3568,431100,3030,286300,1498,141900,1460,2900,72,68100,538,12551,563,4.5,46.6,19.4,9829,—,121000,1483,5051,499200,3568,431100,3030,286300,1498,141900,1460,2900,72,68100,538,—,—,—,12551,563,4.5,46.6,19.4,9829,—,121000,1483,—,—,—,—,—,
