Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
  Snacks & Beverages,,4139,0.10505076142132,3801,0.0941914060564008,3238,0.0740148121056963,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty Care,,7257,0.184187817258883,8079,0.200203201665262,12221,0.279349913138886,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,16214,0.235309484072273,17918,0.231382120120353,17782,0.213821050226663,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,14578,0.175294301552373,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Baby & Family Care,,—,,—,,9933,0.227050379445918,10494,0.203344507528049,11652,0.202428727784437,11972,0.173746462520862,12726,0.164335799790803,13898,0.167117588350589,14103,0.180754392935416,14736,0.186720729853016,15606,0.186198009879018,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty & Grooming,,—,,—,,—,,—,,—,,21801,0.316392134097671,25326,0.327044512454965,27769,0.333910513088753,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric & Home Care,,—,,—,,—,,—,,—,,25,,24,,28,,29,,30,,30,,32,,11.9,,11.7,,11.8,,13.4,,13.1,,32,,33,,33,,34,,35,,35,,36,
"  Baby , Feminine & Family Care",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,19,,14.9,,14,,14.5,,14.3,,13.7,,27,,27,,26,,25,,25,,25,,24,
  Beauty,,—,,—,,—,,—,,—,,31,,30,,23,,23,,24,,24,,24,,12.4,,14,,14.2,,17.2,,16.7,,19,,19,,19,,19,,18,,18,,18,
  Health Care,,—,,—,,—,,—,,—,,11,,12,,—,,17,,14,,14,,15,,14.2,,13.9,,15.1,,17,,17,,12,,12,,13,,13,,14,,14,,14,
  Grooming,,—,,—,,—,,—,,—,,—,,—,,10,,9,,10,,9,,10,,22.9,,24.4,,24,,22.7,,23.1,,10,,9,,9,,9,,8,,8,,8,
  Gillette,,—,,—,,—,,—,,—,,9,,12,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,—,,—,,—,,—,,—,,5,,7,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,—,,—,,—,,—,,—,,4,,5,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,—,,—,,—,,42,,42,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Family Health,,—,,—,,—,,—,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,—,,—,,—,,—,,32,,49,,46,,44,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,—,,—,,—,,6,,6,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,—,,—,,6,,4,,4,,4,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Beauty,,—,,—,,—,,—,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23.7,,22,,20.4,,15.4,,16.4,,—,,—,,—,,—,,—,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,—,,—,,23,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,17,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Baby & Family Care,,—,,—,,—,,—,,—,,18,,16,,16,,18,,18,,19,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty & Grooming,,—,,—,,—,,—,,—,,—,,—,,33,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
% of Revenue - Supplementary,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20,,20,,21,,20,,20,,22,,22,,22,,22,,22,,22,,23,,23,,24,
  Home Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,,7,,8,,8,,8,,10,,10,,10,,10,,11,,12,,12,,12,,12,
  Skin and Personal Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,6,,8,,8,,9,,10,,10,,10,,9,,9,,9,
  Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,,6,,7,,7,,7,,8,,8,,8,,9,,9,,9,,6,,8,,9,
  Hair Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11,,11,,12,,11,,11,,10,,10,,10,,10,,9,,9,,9,,9,,9,
  Baby Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12,,13,,13,,13,,14,,14,,14,,13,,12,,11,,10,,10,,10,,9,
  Oral Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,7,,7,,7,,8,,8,,8,,8,,8,,8,,8,,8,,8,
  Grooming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,
  Personal Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4,,5,,5,,6,,6,,6,
  Feminine Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,6,,5,,6,,6,,6,,6,,6,,6,,6,,9,,7,,6,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,,2,,2,,2,,0,,0,
  Shave Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9,,9,,9,,9,,9,,9,,9,,8,,8,,7,,7,,6,,8,,—,
  Beauty Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,,7,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,15,,15,,11,,14,,12,,5,,5,,6,,—,,—,,—,,—,,—,,—,
Pretax Income,,4616,1.0,6383,1.0,7530,1.0,8905,1.0,9981,1.0,12413,1.0,14710,1.0,17097.5,1.0,14413,1.0,14868,1.0,14997,1.0,12528,1.0,14179,1.0,13509,1.0,11012,1.0,13369,1.0,13257,1.0,13326,1.0,6069,1.0,15834,1.0,17615,1.0,17995,1.0,18353,1.0,18761,1.0
  Fabric & Home Care,,2427,0.362401075108257,2728,0.351909184726522,3080,0.345252774352651,3270,0.329073160913757,3186,0.289347016619744,3905,0.282438883263417,4650,0.283536585365854,5060,0.285198962912862,4663,0.289232105197866,4897,0.285872737886748,4867,0.293936465756734,4485,0.282662128946871,4379,0.271296697850195,4264,0.2702154626109,4059,0.264516129032258,4249,0.288106861947383,4249,0.292107795957652,4191,0.289373748532763,4601,0.301962328542364,5426,0.316089945240592,5986,0.317509149737442,5729,0.31144332699103,6303,0.323230769230769,7339,0.346457064627295
"  Baby , Feminine & Family Care",,1735,0.259071225922055,1961,0.25296697626419,—,,—,,—,,—,,—,,—,,—,,—,,—,,4271,0.269175017331569,4507,0.279226813704231,4310,0.273130544993663,4317,0.281329423264907,4042,0.274071060482777,3868,0.265915028186443,3527,0.243526893599392,3593,0.235807573669358,4534,0.264126762204357,4723,0.250517159072827,4267,0.231965207936939,4623,0.237076923076923,5253,0.247981872256054
  Beauty,,—,,—,,—,,3448,0.346986011874811,3977,0.361184270275179,3262,0.235932301461015,3440,0.209756097560976,3528,0.198850185999324,3558,0.220692221808709,3648,0.212959719789842,3415,0.206244715545356,3196,0.201424339824794,3215,0.199182206802552,3020,0.191381495564005,2895,0.188660801564027,2636,0.178736099810144,2546,0.175030936339887,3042,0.210039356486916,3282,0.215396731640087,3437,0.20022136782011,4018,0.213122579960749,3946,0.2145148138081,4009,0.205589743589744,3805,0.179625171127791
  Health Care,,584,0.0872032253247723,795,0.102554179566563,1034,0.115906288532676,1113,0.112005635503673,1210,0.10989010989011,2785,0.201432084478519,3365,0.205182926829268,—,,2786,0.172807344001985,2809,0.163981319322825,2720,0.164271047227926,1520,0.0957963068002773,1582,0.0980112756334799,1597,0.101204055766793,1700,0.110785272075595,1812,0.12286411716843,1898,0.130482606902241,1922,0.13270731202099,1984,0.130209358797664,2156,0.125597110567401,2398,0.127194610937251,2618,0.142321282957325,2759,0.141487179487179,2941,0.138837747250153
  Grooming,,—,,—,,—,,—,,—,,1176,0.0850571387241429,1895,0.115548780487805,2299,0.129579528801713,1900,0.117851383203077,2007,0.117162872154116,2375,0.143435197487619,2395,0.15094220709649,2458,0.152283006009541,2589,0.164068441064639,2374,0.154708374063213,2009,0.136221860591267,1985,0.136463632613777,1801,0.124352689359939,1777,0.116624007350528,1613,0.0939648141675405,1728,0.0916565002917308,1835,0.0997553683066051,1806,0.0926153846153846,1845,0.0870981447387056
  Corporate,,-2081,,-1369,,-1391,,-1032,,-1030,,-1413,,-1690,,-2110,,-1709,,-2262,,-1561,,-3339,,-1962,,-2271,,-4333,,-1379,,-1289,,-1157,,-9168,,-1332,,-1238,,-400,,-1147,,-2422,
  Gillette,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,—,,4561,0.458991647378484,5187,0.471074380165289,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,—,,—,,—,,5376,0.541008352621516,5824,0.528925619834711,5976,0.432229133516563,6941,0.423231707317073,7760,0.437380227708263,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,—,,594,0.0597765925329576,714,0.0648442466624285,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,627,0.0453493418197599,759,0.046280487804878,409,0.0230526434449329,388,0.0240664929909441,499,0.0291301809690601,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Snacks & Beverages,,547,0.0816783634463192,604,0.0779153766769866,460,0.0515637260396817,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty Care,,1404,0.209646110198596,1664,0.214654282765738,2899,0.324963569106602,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,1465.5,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,3412,0.246781426298279,4124,0.251463414634146,4155,0.2341900574907,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,3746,0.211137414045767,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Baby & Family Care,,—,,—,,1448,0.162313641968389,1512,0.152158599174801,1924,0.174734356552538,2071,0.149790250253146,2291,0.13969512195122,2700,0.152181264795401,2827,0.17535045279742,3270,0.190893169877408,3181,0.192112573982365,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty & Grooming,,—,,—,,—,,—,,—,,4438,0.320989440185158,5335,0.32530487804878,5827,0.328429714801037,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Income,,2922,1.0,4352,1.0,5186,1.0,6156,1.0,6923,1.0,8684,1.0,10340,1.0,13540.5,1.0,13436,1.0,12736,1.0,13593,1.0,10756,1.0,11312,1.0,11643,1.0,7036,1.0,10508,1.0,15326,1.0,9750,1.0,3897,1.0,13027,1.0,14306,1.0,14742,1.0,14653,1.0,14879,1.0
  Fabric & Home Care,,1641,0.374743092030144,1831,0.360220342317529,2059,0.346808152265454,2176,0.337207500387417,2129,0.29033137869903203,2609,0.278144989339019,3127,0.27743767190134,3411,0.276979293544458,3032,0.263789803375674,3339,0.283856159143076,3109,0.23741886216113,2816,0.224061107574793,3089,0.267422733962427,3039,0.25994354631768,2634,0.246007284953769,2778,0.260063658490919,2713,0.179919092778036,2708,0.274005868663361,3518,0.296427367711493,4154,0.313249377874972,4622,0.332064085063582,4386,0.30763835308971,4828,0.320754716981132,5687,0.348681790312692
"  Baby , Feminine & Family Care",,1043,0.238182233386618,1170,0.230179028132992,—,,—,,—,,—,,—,,—,,—,,—,,—,,2927,0.232893061744112,3047,0.263786685135486,2940,0.25147549396972,2938,0.274399925282525,2650,0.248080883729639,2503,0.165992439816964,2251,0.227764848730143,2734,0.230367374452309,3465,0.261292511876932,3629,0.260722753071341,3266,0.229080451707933,3545,0.235516874833909,4020,0.246474555487431
  Beauty,,—,,—,,—,,2246,0.34805516813885,2752,0.375289785899359,2412,0.257142857142857,2611,0.231656463490374,2730,0.221680876979294,2531,0.220201844440578,2712,0.230553430247386,2542,0.194119893088965,2390,0.190165499681731,2474,0.214180590425071,2739,0.234282781626893,2181,0.203698514990193,1975,0.184890469949448,1914,0.126931494130911,2320,0.234746534453101,2637,0.222194135490394,2737,0.206394691199759,3210,0.230620015805733,3160,0.221645507470015,3178,0.211134732925857,2963,0.181667688534641
  Health Care,,390,0.0890614295501256,521,0.102498524493409,706,0.118915277075964,745,0.115450178211684,811,0.110595936178917,1829,0.19498933901919,2233,0.198119066631177,—,,2435,0.211849660692535,1860,0.158122927824535,1796,0.137151584574265,1022,0.0813176320814768,1093,0.0946238420915938,1083,0.0926353605337439,1167,0.108994115998879,1250,0.117019284778131,1280,0.0848862656674846,1283,0.129818880906607,1519,0.12799123693967,1652,0.124575823844356,1851,0.132983691357138,2006,0.140702812653433,2125,0.1411772521924,2258,0.138442673206622
  Grooming,,—,,—,,—,,—,,—,,846,0.0901918976545842,1383,0.122704285334043,1679,0.136337799431587,1492,0.129806855750827,1477,0.125563206664966,1775,0.135547919053074,1807,0.143777848504137,1837,0.159033849883127,1954,0.167137114019331,1787,0.166900158774633,1548,0.144916682269238,1537,0.101929836196034,1432,0.144895274714156,1529,0.128833838894506,1329,0.100218686373577,1427,0.102521732883109,1490,0.104510065231115,1461,0.0970635131543981,1477,0.0905579399141631
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1895,0.14471172203131,1606,0.127784850413749,11,0.000952298502294174,-64,-0.00547429646736806,—,,481,0.045029020782625,5132,0.340340871410571,-111,-0.0112314074673682,-69,-0.00581395348837209,-76,-0.00573109116959505,-820,-0.0589122781809038,-51,-0.00357719015220593,-85,-0.00564709008769599,-95,-0.00582464745554874
  Corporate,,-1457,,-731,,-751,,-297,,-410,,-696,,-931,,-240,,1942,,973,,498,,-1812,,-239,,-48,,-2420,,-174,,247,,-133,,-7971,,-234,,387,,485,,-399,,-1431,
  Gillette,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,—,,2991,0.463505346350535,3563,0.485885722078276,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,—,,—,,—,,3462,0.536494653649465,3770,0.514114277921724,3908,0.416631130063966,4567,0.405199183745897,5139,0.417295980511571,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,—,,367,0.0568727723539439,444,0.0605482067366699,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,385,0.041044776119403,477,0.0423210007985095,261,0.0211936662606577,234,0.0203584478858535,326,0.0277140185326872,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Snacks & Beverages,,333,0.0760447590774149,384,0.0755459374385206,306,0.0515411824153613,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
