Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13769,13631,13514,13989,15423,15669,15406,15226,14926,14199,14003,13934,13799,13664,13230,12809,12751,12855,12838,12826,12464,12517,12535,12566,12474,12592,12686,12772,12925,13088,13213,13300,13365,14559,13593,13748,13845,14211,14477,16280,16432,16807,17135,17527,17660,18175,18584,19201,19449,19900,20397,20751,21265,21877,22094,23208,23144,23530,24009,24681,25435,26085,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,208.832,192.737,207.265,203.795,210.049,209.574,265.094,256.473,262.302,262.843,253.832,282.141,297.657,292.971,291.693,378.386,391.89,411.515,420.414,425.431,453.832,606.928,609.503,601.1,0,0,0,619.6,639,638.1,666.8,639,681,686,762,767,739,752,780,844,1076,1117,1444,1275,2261,2270,2354,2213,2360,2815,2906,3030,3066,3772,3755,3656,3693,3623,3767,3842,3835,3875,4031,4143,4227,4371,5386,5257,5437,5598,5928,5793,6715,7081,7319,7500,6802,6387,6051,6147,6451,6563,6924,7101,7564,7960,9265,8975,9055,9525,9476,9675,9673,9877,9880,9945,10245,10199,10182,10236,11681,12072,11995,11916,15837,15720,15763,15727,16115,16442,16931,17366,16244,16194,16793,19069,19454,19834,19951,19852,20172,19277,19361,19208,18886,19393,20191,20954,22572,24560,25102,25366,25499,25295,24755,24159,23670,23498,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,527,,,,657,,,,700,,,892,897,1143,1168,1190,1161,1078,984,956,908,943,956,1043,1066,1168,1207,1609,1598,1687,1713,1734,1699,1693,1719,1815,1827,1828,1889,1876,1881,1864,1855,1838,1852,2851,2916,2909,2789,2857,2935,2990,3479,3094,3172,3326,4182,4249,4383,4430,4492,4598,4786,4705,4821,4914,5016,5389,5743,6180,6558,6473,6381,6484,6395,6350,6026,5831,5775,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,256,,,,271,,,,402,,,486,479,691,698,674,607,594,543,582,438,497,520,518,509,629,638,974,897,916,902,941,883,855,861,854,849,872,900,926,850,839,855,856,778,2519,2464,2461,2506,2676,2787,2805,2568,2228,2213,2232,2625,2678,2727,2695,2700,2751,2644,2712,2541,2727,2949,3290,3192,3537,3750,3750,3464,3365,3532,3501,3345,3327,3440,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,1201,,,,1217,,,,1817,,,1766,1781,2422,2468,2453,2580,2606,2444,2072,1975,1958,1992,2099,2180,2320,2423,3316,3114,3234,3229,3207,3187,3266,3296,3313,3212,3430,3447,3371,3333,3512,3516,3503,3369,4461,4289,4287,4033,4195,4199,4338,4505,4188,4117,4150,4541,4789,4708,4737,4821,5011,4906,4645,4412,4528,4502,4446,4530,5031,5396,5776,5739,5955,5545,5243,4969,5062,5060,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,1858,,,,1998,,,,2338,,,2784,2636,2459,2747,3002,3152,2524,2416,2441,2826,3053,3095,3264,3346,3447,3692,3366,3366,3218,3681,3594,3906,3859,4001,3898,4057,4115,3963,4009,4172,5466,5846,5798,5917,6006,6051,6106,6399,6387,6521,6798,6814,6734,6692,7085,7721,7738,8016,8089,7839,7812,6941,7299,7434,6717,6926,7066,7489,7824,8856,9103,9782,9695,9823,9661,9819,9450,9223,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5561,0,0,6332,0,6399,5308,4242,0,0,18954,0,0,0,,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,
