Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total Current Assets,BS_CUR_ASSET_REPORT,872.707,985.036,895.395,1156.468,1429.58,1662.7469,1434.954,1922.944,1741.271,1617.225,1927.535,2165.1321,1854.802,1896.058,2254.4529,2741.7739,2617.364,2483.564,2398.366,1279.912,1435.252,2486.666,3273.228,4023.8,2919.8999,2308.1001,2286.8999,37680.1,3609.6001,3405.2,2884.2,3352.8999,3516,9539,9554,82580,83227,82388,78737,82967,79838,83310,84070,90125,81819,83519,83504,124744,90211,94805,126164,126732,126463,128450,127621,131008,165580,156893,134892,143337,146126,149613,150896,151667,152476,153941,156444,164129,173939,180800,187172,182208,181935,177656,180890,164146,157948,172634,186893,191779,186318,179136,191947,199182,202630,207602,199670,204392,221148,220432,230485,231516,244175,246540,255377,267271,272257,278424,286490,286132,286219,293110,295790,301473,287310,291894,300265,316106,345362,354665,362341,392908,373822,382871,403747,392426,415718,434288,460265,485428,429240,464606,503387,531434,541483,568568,576909,611187,623002,562633,555005,587415,608877,651114,627283,674407,673549,710732,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,209.066,208.463,211.438,209.87,208.017,204.714,219.517,222.139,217.238,215.436,212.751,224.51,238.763,237.752,234.126,259.736,257.85,261.167,269.5,275.667,270.734,339.733,335.917,333.3,,,,1034.2,1040.7,1066.3,1189.6,1056.5,1092,1127,1325,1491,1616,1667,1782,1903,2034,2182,2406,2699,4543,4597,4699,4776,4880,5120,5157,5368,5466,5993,6040,6260,6202,6247,6308,6516,6583,6770,7026,7500,29762,30551,32317,33342,34088,34567,35407,36190,42776,43708,44390,45157,45869,47003,46999,46656,90514,91147,92024,93126,93773,94952,98446,100391,101727,102831,104847,106872,107267,108349,110556,122214,125080,127635,129802,137244,138740,140879,143333,145166,149535,150711,152068,152773,153645,154909,156829,158219,162112,163229,165017,166706,173624,175560,177486,180282,173421,174789,176253,192596,187356,188311,188875,196373,191760,192413,192989,201940,205855,209188,211498,221870,217500,219469,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9932,,,,11407,,,,50678,,,,54323,,,,64618,65843,67760,68255,68226,112495,113611,115222,116990,118353,119928,123875,126545,128749,130399,133309,137264,138294,140066,143215,159261,164626,168194,171566,179426,181618,185097,188557,190972,196627,198559,201366,202991,205854,208582,211969,214247,221444,223514,226697,229879,238562,242169,245108,248841,242406,245245,248331,269509,266036,268832,271133,279828,278098,280064,282181,292982,299087,304479,307787,319866,317415,321449,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416,,,,3907,,,,17336,,,,18133,,,,19461,19974,20757,21256,21570,21981,22464,23198,23864,24580,24976,25429,26154,27022,27568,28462,30392,31027,31717,32659,37047,39546,40559,41764,42182,42878,44218,45224,45806,47092,47848,49298,50218,52209,53673,55140,56028,59332,60285,61680,63173,64938,66609,67622,68559,68985,70456,72078,76913,78680,80521,82258,83455,86338,87651,89192,91042,93232,95291,96289,97996,99915,101980,
  + LT Investments & Receivables,BS_LT_INVEST,7974.0708,8676.7969,7949.4141,8747.0576,9392.876,9515.1113,10514.3154,11520.4775,12137.9756,13030.3145,13072.9746,13755.2676,14330.3721,13741.252,14031.751,14648.7988,14885.0234,15501.5781,16374.7354,18080.6445,19877.0059,21123.1953,22745.9258,22440.8,27368.9004,31161.8008,32107.6992,0,34743.3984,41114.1992,41496.3008,46545.5,50469,47112,36262,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,236.575,237.376,209.332,557.027,554.711,557.134,602.222,796.341,806.441,786.327,847.06,799.868,807.255,1446.502,1571.316,1870.16,1819.343,1741.807,1682.682,1701.958,1706.036,1920.255,2028.109,1913.5,4820.2998,3924,4812.1001,4695.1,4743.7002,4968.1001,5043.2998,5156,6089,6169,6969,38166,38931,41111,46073,46546,52329,49305,44006,42968,60328,60660,66383,33232,69533,67572,36428,37444,37687,38487,38578,38772,39172,40286,40660,39021,38366,38452,38788,39158,47968,47839,51241,50966,53651,53684,53937,54762,56336,56428,56449,58096,56725,56009,58118,58684,79488,78904,80008,79921,80093,80142,87378,87864,88487,88093,88783,89064,90860,91674,92148,95446,97607,98320,101071,102491,106117,106785,106345,105618,149470,150211,151705,151975,155444,156016,162384,150968,166717,165832,167695,148662,149382,150260,150731,152019,157787,148738,150306,149699,155554,155614,154974,151224,154744,154814,154302,159110,182340,181271,181152,173701,178986,178659,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110.3,,,,,3433,3410,4042,18446,18326,18371,18270,18281,18409,18285,18526,18875,21389,21244,21611,21510,22035,22143,22281,22298,22302,22358,22742,22948,22958,22965,23027,23012,23009,23208,23652,23644,29501,29867,32216,32238,32610,32428,32729,32862,33544,33524,33531,33781,33779,33922,33974,38726,48714,49113,49196,55910,55828,55732,63423,63375,63174,62944,63923,64516,64106,63851,64274,66194,68157,68524,74616,70620,76887,73245,72892,72505,115021,114984,116686,113572,114026,113986,114507,114440,114256,113844,113617,113173,113124,112927,112629,113528,112936,102172,102077,104418,104080,103791,103575,103512,103165,102722,102163,108598,122238,123519,122856,121766,121298,120767,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110.3,,,,,,,,18446,18326,18371,18270,18281,18409,18285,18526,18875,21389,21244,21611,21510,22035,22143,22281,22298,22302,22358,22742,22948,22958,22965,23027,23012,23009,23208,23652,23644,29501,29867,32216,32238,32610,32428,32729,32862,33544,33524,33531,33781,33779,33922,33974,33972,48714,49113,49196,49006,49080,49125,53310,53213,53166,53145,54143,54523,54407,54372,54735,57011,58264,58792,58669,60714,62879,62799,62692,62708,79114,79177,79392,79486,79951,80175,80882,81258,81337,81250,81327,81025,81220,81269,81228,81882,81659,71753,71865,73734,73695,73758,73770,73875,73822,73618,73335,78119,83502,85853,85652,84626,84549,84411,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754,0,0,0,6904,6748,6607,10113,10162,10008,9799,9780,9993,9699,9479,9539,9183,9893,9732,15947,9906,14008,10446,10200,9797,35907,35807,37294,34086,34075,33811,33625,33182,32919,32594,32290,32148,31904,31658,31401,31646,31277,30419,30212,30684,30385,30033,29805,29637,29343,29104,28828,30479,38736,37666,37204,37140,36749,36356,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,452,421,720,962,751,880,917,988,896,477,583,525,258,653,220,203,91,85,87,93,90,86,108,107,116,109,103,114,109,105,142,128,123,136,142,141,149,154,172,171,150,144,145,180,213,261,270,301,414,540,329,636,669,731,589,504,355,470,334,238,241,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1771,1827,1826,2569,2723,3816,3651,3741,3816,3760,3899,4037,4067,,,4069,4033,4075,4125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,236.575,237.376,209.332,557.027,554.711,557.134,602.222,796.341,806.441,786.327,847.06,799.868,807.255,1446.502,1571.316,1870.16,1819.343,1741.807,1682.682,1701.958,1706.036,1920.255,2028.109,1913.5,4820.2998,3924,4812.1001,1584.8,4743.7002,4968.1001,5043.2998,5156,2656,2759,2927,19720,20605,22740,27803,28265,33920,31020,25480,24093,37240,37645,42945,9896,44929,42706,10331,11495,11644,12313,12076,11925,12177,13254,17633,16009,11288,11211,11061,11389,18467,17972,19025,18728,21041,21256,21208,21900,22792,22904,22918,24315,22747,21635,23723,19160,29812,29040,29932,23021,23277,23514,23478,23848,24788,24891,24207,24268,26551,27732,27789,28190,29357,29706,26369,31402,29123,33424,33344,32554,34335,35118,34914,37617,41290,41907,47741,35210,52320,51839,53924,34807,36087,37183,37958,37489,44671,46353,47968,43660,51173,51409,50859,45429,50943,51423,51408,48413,59598,57397,57826,49778,57450,57651,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,8419.7118,9122.6359,8370.1841,9513.9546,10155.604,10276.9593,11336.0544,12538.9575,13161.6546,14032.0775,14132.7856,14779.6456,15376.3901,15425.5059,15837.193,16778.6949,16962.2165,17504.5521,18326.9174,20058.2695,21853.7759,23383.1833,25109.9518,24687.6,32189.2002,35085.8008,36919.7993,5729.3,40527.7986,47148.5994,47729.2006,52758,57650,54408,44556,39657,40547,42778,47855,48449,54363,51487,46412,45667,64871,65257,71082,38008,74413,72692,41585,42812,43153,44480,44618,45032,45374,46533,46968,45537,44949,45222,45814,46658,77730,78390,83558,84308,87739,88251,89344,90952,99112,100136,100839,103253,102594,103012,105117,105340,170002,170051,172032,173047,173866,175094,185824,188255,190214,190924,193630,195936,198127,200023,202704,217660,222687,225955,230873,239735,244857,247664,249678,250784,299005,300922,303773,304748,309089,310925,319213,309187,328829,329061,332712,315368,323006,325820,328217,332301,331208,323527,326559,342295,342910,343925,343849,347597,346504,347227,347291,361050,388195,390459,392650,395571,396486,398128,
Total Assets,BS_TOT_ASSET,9292.4189,10107.6719,9265.5791,10670.4229,11585.1836,11939.7061,12771.0078,14461.9023,14902.9258,15649.3018,16060.3213,16944.7773,17231.1914,17321.5645,18091.6465,19520.4688,19579.5801,19988.1152,20725.2832,21338.1816,23289.0273,25869.8496,28383.1797,28711.4,35109.1016,37393.8984,39206.6992,43409.4,44137.3984,50553.8008,50613.3984,56110.8984,61166,63947,54110,122237,123774,125166,126592,131416,134201,134797,130482,135792,146690,148776,154586,162752,164624,167497,167749,169544,169616,172930,172239,180559,210954,203426,181860,188874,191075,194835,196710,198325,230206,232331,240002,248437,261678,269051,276516,273160,281047,277792,281729,267399,260542,275646,292010,297119,356320,349187,363979,372229,376496,382696,385494,392647,411362,411356,424115,427452,442302,446563,458081,484931,494944,504379,517363,525867,531076,540774,545468,552257,586315,592816,604038,620854,654451,665590,681554,702095,702651,711932,736459,707794,738724,760108,788482,817729,760448,788133,829946,873729,884393,912493,920758,958784,969506,909860,902296,948465,997072,1041573,1019933,1069978,1070035,1108860,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,84.476,93.958,90.214,125.445,145.004,117.624,93.244,84.036,67.429,98.044,38.333,203.479,29.751,111.963,22.794,523.613,132.89,164.647,105.82,91.441,139.2,192,194.5,269.2,1668.7,191.2,264,364.7,284.4,277.8,366.6,972.8,722,1176,365,567,541,572,420,24,807,640,797,1084,606,773,-679,95,916,1045,1141,1184,1730,,1806,2386,1550,-268,1137,3339,1363,1449,586,5130,2313,,,3583,2595,3118,4553,2947,940,2880,1057,117,-1534,3295,3238,3056,3633,1968,2989,4377,1511,3417,2278,3048,3245,3108,3920,4551,4892,4541,5053,4990,4705,6395,4617,4155,5164,4013,9428,5478,5589,5001,7198,6286,4060,4262,4067,32551,-1138,12011,18540,-25392,21661,14073,16524,29159,-49746,26295,30137,35835,11711,28094,10344,39646,5580,-43621,-2798,18080,35504,35912,-12767,37574,12702,30348,
Cash from Operating Activities,CF_CASH_FROM_OPER,55.966,28,95.31,343.292,160.231,156.715,197.747,194.48,320.967,125.447,352.934,197.837,64.217,151.378,272.882,237.692,5,194.614,264.15,465.344,314.8,197.5,317.6,298,347.7,-1.6,496.3,417.6,490.1,676.6,688,480.9,-31,-100,145,643,-165,572,420,667,276,667,940,1064,733,1881,1680,2220,3427,-108,2564,1893,2641,972,2407,2237,2420,-2278,2985,1858,1359,1734,2560,3793,2359,1092,7882,2313,4625,2807,3919,1199,3353,1638,3437,2824,4642,2855,4529,3820,3313,3547,6971,4064,3502,6481,5999,4494,4650,4859,6651,4790,6055,6856,7826,6967,4928,6905,12324,7853,5963,7980,10212,7336,7454,7810,9833,7550,18295,8327,10877,8229,7556,8535,10464,10845,7577,9185,9848,12077,6798,10668,11761,10546,9306,10253,12067,7795,6826,8531,11682,10311,8693,12434,13669,14400,10566,13602,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,-811,0,0,0,-928,0,0,0,-1002,0,0,0,0,-303,-384,-365,-1143,-747,-1083,-3141,-1430,-1228,-1324,-1365,-1456,-1041,-1497,-1663,-1937,-1373,-1260,-1170,-1134,-1170,-1546,-1575,-1689,-1482,-1962,-2229,-2518,-2160,-2419,-2614,-2582,-2207,-2551,-2969,-3360,-2794,-3299,-4079,-5013,-3447,-3389,-4967,-4279,-2843,-3301,-3285,-3525,-2355,-2794,-3262,-3297,-2589,-3740,-3711,-4497,-3151,-3596,-4392,-4840,-2968,-3219,-3329,-3496,-2519,-3144,-3581,-4032,-3090,-3743,-4074,-4557,-3713,-4685,-5303,-5708,-4393,-4535,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,-811,0,0,0,-928,0,0,0,-1002,0,0,,,-303,-384,-365,-1143,-747,-1083,-3141,-1430,-1228,-1324,-1365,-1456,-1041,-1497,-1663,-1937,-1373,-1260,-1170,-1134,-1170,-1546,-1575,-1689,-1482,-1962,-2229,-2518,-2160,-2419,-2614,-2582,-2207,-2551,-2969,-3360,-2794,-3299,-4079,-5013,-3447,-3389,-4967,-4279,-2843,-3301,-3285,-3525,-2355,-2794,-3262,-3297,-2589,-3740,-3711,-4497,-3151,-3596,-4392,-4840,-2968,-3219,-3329,-3496,-2519,-3144,-3581,-4032,-3090,-3743,-4074,-4557,-3713,-4685,-5303,-5708,-4393,-4535,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5,-678,-936.8,-173.7,435,6257,-14,1366,1325,-10667,-135,-1561,111,398,46,-270,-811,35,-5275,2262,615,1628,581,-494,749,1021,-141,1627,2116,1645,-11,-1413,-1279,-1989,-2823,-4929,-11,-1166,774,-1165,-748,-1146,-3442,-1915,-8309,-4112,478,-8784,-4547,-3396,-526,1173,920,400,1000,1783,4352,-6967,-1529,1768,-2389,960,3102,899,-432,-14949,0,6574,-575,2258,-1798,-538,-697,-1752,-5815,1082,-9641,-11949,-27534,-2327,-11259,-3917,9595,-16590,35687,5053,-17079,-14196,-7391,10161,33587,-18514,-23054,-23456,-2742,22405,9434,-20648,24267,21900,-14380,-7657,188,-5667,-7169,7915,-28045,-2205,-15601,-78406,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.8,1608.2,2794.8999,1084.8,2138,8469,1081,1946,2648,2701,3392,0,360,512,112,158,99,673,856,2262,1449,1628,1116,,1450,1360,771,2020,4495,3180,3783,4085,2376,2243,3918,4388,4565,3757,13791,3103,6195,6995,7829,5243,4392,16499,10575,9460,4182,2515,3272,6025,4597,4956,5762,6021,7675,,12368,7359,3346,5578,6433,3491,2843,4487,3049,9658,2681,4674,2856,11893,3130,2193,5989,15054,4893,6734,18799,14998,34135,20586,47687,35348,48765,42283,19863,42169,23541,46174,38888,45438,9092,58175,37997,76318,41758,46815,30949,68068,44366,33952,39192,38896,38346,61460,51398,54299,87566,47932,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-766.3,-2286.2,-3731.7,-1258.5,-1703,-2212,-1095,-580,-1323,-13368,-3527,-1561,-249,-114,-66,-428,-910,-638,-6131,,-834,,-535,-494,-701,-339,-912,-393,-2379,-1535,-3794,-5498,-3655,-4232,-6741,-9317,-4576,-4923,-13017,-4268,-6943,-8141,-11271,-7158,-12701,-20611,-10097,-18244,-8729,-5911,-3798,-4852,-3677,-4556,-4762,-4238,-3323,,-13897,-5591,-5735,-4618,-3331,-2592,-3275,-19436,-3049,-3084,-3256,-2416,-4654,-12431,-3827,-3945,-11804,-13972,-14534,-18683,-46333,-17325,-45394,-24503,-38092,-51938,-13078,-37230,-36942,-56365,-30932,-36013,-5301,-63952,-32146,-81631,-40739,-53913,-32324,-67463,-6682,-46168,-58746,-41609,-39004,-44563,-45515,-53545,-79443,-56504,-103167,-126338,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-530,309,146,-33,-14911,-452,-13,-548,-131,-41,-7812,-701,-339,-130,-1362,-1357,-92,-62,-676,-5601,-700,24,-393,-3755,-3995,-505,-302,-100,-30185,-255,-375,-584,-1599,-122,-919,-68,-112,-261,-148,-2758,-262,-318,-152,-951,-26,-56,-29,-2421,-47,-57,-100,-252,-34,-69,-80,-10411,-7629,-887,-48,-40,-327,-15,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-530,309,146,-33,-14911,-452,-13,-548,-131,-41,-7812,-701,-339,-130,-1362,-1357,-92,-62,-676,-5601,-700,24,-393,-3755,-3995,-505,-302,-100,-30185,-255,-375,-584,-1599,-122,-919,-68,-112,-261,-148,-2758,-262,-318,-152,-951,-26,-56,-29,-2421,-47,-57,-100,-252,-34,-69,-80,-10411,-7629,-887,-48,-40,-327,-15,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
