Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,2269.518,1.0,2561.804,1.0,3164.461,1.0,2159.217,1.0,2213.588,1.0,2630.772,1.0,3248.008,1.0,2456.632,1.0,2552.902,1.0,2859.223,1.0,3319.096,1.0,2519.779,1.0,2754.05,1.0,3008.9,1.0
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2588,1.0,2916,1.0
    Total Retail,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2144,0.828438948995363,2478,0.849794238683128
    Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,351,0.135625965996909,344,0.117969821673525
    Other Electric,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,93,0.035935085007728,94,0.032235939643347
      Affiliates,,75.133,0.0463795974957375,44.99,0.0239806363956661,69.196,0.0299769225004105,55.87,0.0203748580014259,54.677,0.0324746211284303,42.497,0.021376244436754,25.547,0.0101347625489442,65.442,0.0247989504725829,61.987,0.0344168015866142,54.741,0.0256465035608822,96.84,0.038593405086885,63.719,0.019974883666107,65.788,0.026364945378941,53.945,0.0195540891952103
    Georgia Power,,123.368,0.0761550608102185,128.041,0.0682486033504664,137.082,0.0593863299930815,77.005,0.0280824403150135,66.557,0.0395305769966336,97.604,0.0490953940749922,98.456,0.0390585266966315,106.384,0.0403137365464879,121.472,0.0674444274175101,105.817,0.0495759315193706,91.588,0.0365003385491287,115.354,0.0361616273077121,119.598,0.0479296336327382,110.547,0.0400712929513934
      Non-affiliates,,87.591,0.0540699203312678,92.76,0.0494430725063789,121.37,0.0525796156407136,64.364,0.0234724782603146,50.05,0.0297264807410417,72.322,0.0363783973022784,72.106,0.0286052056348756,76.2,0.0288756460073167,73.986,0.0410789598171751,59.452,0.0278536367567557,59.783,0.0238251707590794,66.155,0.020738530562804,65.456,0.0262318943382374,61.597,0.0223278011336986
      Affiliates,,35.777,0.0220851404789507,35.281,0.0188055308440875,15.712,0.0068067143523679,12.641,0.00460996205469885,16.507,0.0098040962555919,25.282,0.0127169967727137,26.35,0.0104533210617559,30.184,0.0114380905391712,47.486,0.0263654676003349,46.365,0.0217222947626149,31.805,0.0126751677900493,49.199,0.0154230967449081,54.142,0.0216977392945009,48.95,0.0177434918176948
    Mississippi Power,,52.276,0.032269972431384,73.041,0.0389324219376717,87.373,0.0378515181459675,77.585,0.0282939566500918,61.765,0.0366844372221866,62.638,0.0315072875504012,79.38,0.0314908776425877,66.806,0.0253158321150236,76.648,0.0425569717523158,64.985,0.0304458821341212,73.364,0.0292375730152234,61.712,0.0193457213829909,77.609,0.0311022837890532,77.493,0.0280898143294917
      Non - Affiliates,,40.288,0.0248697805745581,49.437,0.0263509829182606,67.514,0.0292482505591756,47.384,0.0172801552092279,52.152,0.0309749335385975,52.182,0.0262478571945949,64.421,0.0255564856212288,55.52,0.0210390533638612,70.425,0.0391017995989046,59.32,0.0277917939246914,67.396,0.0268591607727767,52.845,0.0165660592183717,65.8,0.0263697544527014,68.935,0.0249876937375442
      Affiliates,,11.988,0.00740019185682592,23.604,0.012581439019411,19.859,0.00860326758679189,30.201,0.0110138014408639,9.613,0.00570950368358908,10.456,0.0052594303558063,14.959,0.00593439202135889,11.286,0.00427677875116242,6.223,0.0034551721534112,5.665,0.00265408820942981,5.968,0.00237841224244661,8.867,0.0027796621646192,11.809,0.00473252933635183,8.558,0.00310212059194754
    Gulf Power,,28.757,0.0177516947970256,29.353,0.0156457795092684,29.727,0.0128782585000535,21.671,0.00790305258186685,20.015,0.011887622618021,26.198,0.0131777502354068,35.836,0.0142165166439881,35.513,0.0134574910322551,28.942,0.0160693544052751,30.322,0.0142060481352746,36.921,0.0147140345850153,43.85,0.0137462711084416,40.183,0.0161035842427492,40.434,0.0146565954679606
      Affiliates,,8.61,0.00531495260988248,9.056,0.00482704252498671,3.507,0.00151929399400167,6.083,0.00221836873496821,2.581,0.00153294798786471,7.514,0.00377958681078123,14.139,0.00560908943044277,16.157,0.00612262221181385,10.217,0.00567274528224365,12.414,0.00581603725187321,17.313,0.00689970696271416,23.324,0.00731169959711043,20.695,0.0082936484559066,21.964,0.0079615537136639
      Non-Affiliates,,20.147,0.0124367421871431,20.297,0.0108187369842817,26.22,0.0113589645060518,15.588,0.00568468384689864,17.434,0.0103546746301563,18.684,0.00939816342462556,21.697,0.00860742721354528,19.356,0.00733486882044123,18.725,0.0103966091230314,17.908,0.00839001088340143,19.608,0.00781432762230112,20.526,0.00643457151133119,19.488,0.00780993578684261,18.47,0.00669504175429668
