Date,Revenue,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Health Care,    Health Care,    Health Care,    Health Care,    Health Care,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,  Corporate,  Corporate,  Corporate,  Corporate,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",Percentage of Revenue,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Health Care,    Health Care,    Health Care,    Health Care,    Health Care,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,Pretax Income,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Health Care,    Health Care,    Health Care,    Health Care,    Health Care,  Corporate,  Corporate,  Corporate,  Corporate,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",Net Income,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Health Care,    Health Care,    Health Care,    Health Care,    Health Care,  Corporate,  Corporate,  Corporate,  Corporate,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",Revenue Growth %,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",Foreign Currency Growth,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,Acquisition/Divestiture & Other Growth,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,Goodwill,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,  P&G Family Health,    Health Care,    Health Care,    Health Care,    Health Care,    Health Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,    Baby & Family Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,  P&G Household Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Fabric & Home Care,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,    Snacks & Coffee,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",Assets,  Corporate,  Corporate,  Corporate,  Corporate,  Beauty Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,"  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care","  Baby , Feminine & Family Care",  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,Sales Change - Volume %,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,Sales Change - Prices %,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,Sales Change - Acquisitions & Divestitures %,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,  Snacks & Beverages,Sales Change - Mix %,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Snacks & Coffee,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Baby & Family Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Fabric & Home Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  Health Care,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,  P&G Beauty,Source: Bloomberg
09/30/2000,9969,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,3075,—,736,498,—,—,—,—,—,—,-53,-169,-95,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,3075,—,736,498,—,—,—,—,—,—,1703,—,—,—,—,—,3075,—,736,498,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-53,-169,-95,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,1155,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,3075,—,736,498,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-53,-169,-95,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3075,—,736,498,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,—,-53,-169,-95,—,—,—,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,3039,513,329,3.04,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1053,122,75,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3.08,—,—,—,—,—,—,—,990,117,81,—,24,—,—,—,—,—,—,—,—,—,1865,—,384,267,2,—,—,—,—,—,—,—,
12/31/2000,10182,—,—,—,—,—,—,—,—,—,—,1150,—,252,164,—,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,2929,—,590,390,—,—,—,—,—,—,20,-151,-65,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,—,—,—,—,—,—,—,—,—,—,—,1150,—,252,164,—,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,2929,—,590,390,—,—,—,—,—,—,1781,—,—,—,—,—,2929,—,590,390,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1150,—,252,164,—,20,-151,-65,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,1194,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,2929,—,590,390,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1150,—,252,164,—,20,-151,-65,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,—,—,—,—,—,1150,—,252,164,—,—,—,—,—,—,—,—,—,—,—,2929,—,590,390,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,—,20,-151,-65,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,3047,483,295,3.05,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1178,195,124,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—,—,31,—,—,—,—,—,—,—,—,—,—,1858,—,412,286,5,—,—,—,—,—,—,—,
03/31/2001,9511,—,—,—,—,—,—,—,—,—,—,1097,—,144,91,—,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,2773,—,510,348,—,—,—,—,—,—,-13,-206,-92,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,—,—,—,—,—,—,—,—,—,—,—,1097,—,144,91,—,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,2773,—,510,348,—,—,—,—,—,—,1325,—,—,—,—,—,2773,—,510,348,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1097,—,144,91,—,-13,-206,-92,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,893,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,2773,—,510,348,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1097,—,144,91,—,-13,-206,-92,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,—,—,—,—,—,1097,—,144,91,—,—,—,—,—,—,—,—,—,—,—,2773,—,510,348,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,—,-13,-206,-92,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,2936,403,236,3,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,938,118,67,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,1780,—,356,243,6,—,—,—,—,—,—,—,
