Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2000,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
"      Yanbul,Saudi Arabia",,—,,—,,—,,—,,—,,—,,—,,—,,700,0.0255474452554745,700,0.0324074074074074,700,0.0325581395348837,700,0.0325581395348837,700,0.031390134529148,700,0.0300429184549356,700,0.0289256198347107,700,0.029535864978903,700,0.029535864978903,700,0.027027027027027,700,0.0255474452554745,700,0.0249110320284698,700,0.0249110320284698,700,0.0232558139534884,700,0.0265151515151515,700,0.0264150943396226
"      Al Jubail,Saudi Arabia",,—,,—,,—,,—,,—,,—,,—,,—,,700,0.0255474452554745,600,0.0277777777777778,600,0.027906976744186,600,0.027906976744186,600,0.0269058295964126,700,0.0300429184549356,700,0.0289256198347107,700,0.029535864978903,700,0.029535864978903,700,0.027027027027027,700,0.0255474452554745,700,0.0249110320284698,700,0.0249110320284698,700,0.0232558139534884,700,0.0265151515151515,700,0.0264150943396226
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,1300,0.0474452554744525,1300,0.0601851851851852,1300,0.0604651162790698,1300,0.0604651162790698,1300,0.0582959641255605,1300,0.055793991416309,1300,0.0537190082644628,1300,0.0548523206751055,1300,0.0548523206751055,1300,0.0501930501930502,1300,0.0474452554744525,1300,0.0462633451957295,1200,0.0427046263345196,1300,0.0431893687707641,1300,0.0492424242424242,1300,0.0490566037735849
"      Meerhout,Belgium",,—,,—,,—,,—,,—,,—,,—,,—,,500,0.0182481751824818,500,0.0231481481481482,500,0.0232558139534884,500,0.0232558139534884,500,0.0224215246636771,500,0.0214592274678112,500,0.0206611570247934,500,0.0210970464135021,500,0.0210970464135021,500,0.0193050193050193,500,0.0182481751824818,500,0.0177935943060498,400,0.0142348754448399,500,0.0166112956810631,500,0.0189393939393939,500,0.0188679245283019
"      Gravenchon
,France",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,400,0.0186046511627907,400,0.0179372197309417,400,0.0171673819742489,400,0.0165289256198347,400,0.0168776371308017,400,0.0168776371308017,400,0.0154440154440154,400,0.0145985401459854,400,0.0142348754448399,400,0.0142348754448399,400,0.0132890365448505,400,0.0151515151515152,400,0.0150943396226415
"      Antwerp, Belgium",,—,,—,,—,,—,,—,,—,,—,,—,,400,0.0145985401459854,400,0.0185185185185185,400,0.0186046511627907,400,0.0186046511627907,400,0.0179372197309417,400,0.0171673819742489,400,0.0165289256198347,400,0.0168776371308017,400,0.0168776371308017,400,0.0154440154440154,400,0.0145985401459854,400,0.0142348754448399,400,0.0142348754448399,400,0.0132890365448505,400,0.0151515151515152,400,0.0150943396226415
"      Fife,UK",,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
      Netherlands,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,
"      Notre-Dame-de-Gravenchon,
France",,—,,—,,—,,—,,—,,—,,—,,—,,400,0.0145985401459854,400,0.0185185185185185,400,0.0186046511627907,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Polypropylene,,—,,—,,—,,—,,—,,—,,—,,—,,2700,0.0985401459854015,2200,0.101851851851852,2200,0.102325581395349,2200,0.102325581395349,2700,0.121076233183857,2600,0.111587982832618,2700,0.111570247933884,2700,0.113924050632911,2700,0.113924050632911,2700,0.104247104247104,2700,0.0985401459854015,2700,0.096085409252669,2700,0.096085409252669,2800,0.0930232558139535,3200,0.121212121212121,3300,0.124528301886792
    North America,,—,,—,,—,,—,,—,,—,,—,,—,,1100,0.0401459854014599,1200,0.0555555555555556,1200,0.0558139534883721,1200,0.0558139534883721,1200,0.0538116591928251,1100,0.0472103004291846,1100,0.0454545454545455,1100,0.0464135021097046,1100,0.0464135021097046,1100,0.0424710424710425,1100,0.0401459854014599,1100,0.0391459074733096,1100,0.0391459074733096,1200,0.0398671096345515,1600,0.0606060606060606,1700,0.0641509433962264
      Louisiana,,—,,—,,—,,—,,—,,—,,—,,—,,400,0.0145985401459854,400,0.0185185185185185,400,0.0186046511627907,400,0.0186046511627907,400,0.0179372197309417,400,0.0171673819742489,400,0.0165289256198347,400,0.0168776371308017,400,0.0168776371308017,400,0.0154440154440154,400,0.0145985401459854,400,0.0142348754448399,400,0.0142348754448399,500,0.0166112956810631,900,0.0340909090909091,900,0.0339622641509434
"      Baytown,Texas",,—,,—,,—,,—,,—,,—,,—,,—,,700,0.0255474452554745,800,0.037037037037037,800,0.0372093023255814,800,0.0372093023255814,800,0.0358744394618834,700,0.0300429184549356,700,0.0289256198347107,700,0.029535864978903,700,0.029535864978903,700,0.027027027027027,700,0.0255474452554745,700,0.0249110320284698,700,0.0249110320284698,700,0.0232558139534884,700,0.0265151515151515,800,0.030188679245283
